"Date","American.Express.Company","Price"
2004-04-30,100,48.95
2004-05-07,71,48.49
2004-05-14,71,48.86
2004-05-21,71,49.63
2004-05-28,72,50.7
2004-06-04,74,50.98
2004-06-18,77,51.96
2004-06-25,79,51.35
2004-07-02,84,51.24
2004-07-09,89,50.01
2004-07-16,94,48.73
2004-07-23,72,48.11
2004-07-30,72,50.25
2004-08-06,72,49.34
2004-10-01,61,51.65
2004-11-19,73,55.7
2004-11-26,66,56.11
2004-12-03,66,56.25
2004-12-10,67,55.18
2004-12-17,57,55.91
2004-12-31,57,56.37
2005-01-07,57,53.76
2005-01-14,57,52.72
2005-01-21,62,51.93
2005-01-28,70,52.8
2005-02-04,75,55.82
2005-02-11,62,55.19
2005-02-18,48,54.13
2005-02-25,48,54.58
2005-03-04,48,54.95
2005-03-11,48,53.54
2005-04-22,52,49.81
2005-04-29,69,52.7
2005-05-06,45,53
2005-05-13,45,51.75
2005-05-20,50,53.06
2005-05-27,45,53.25
2005-06-03,45,54.18
2005-06-10,45,54.71
2005-06-17,96,54.83
2005-06-24,61,53.61
2005-07-01,61,53.54
2005-07-08,61,53.93
2005-07-15,61,53.76
2005-07-22,56,54.57
2005-09-02,43,55.36
2005-09-09,40,58.19
2005-09-16,40,59.46
2005-09-23,49,56.9
2005-09-30,54,57.44
2005-10-07,66,49.82
2005-10-14,78,47.95
2005-10-21,49,47.15
2005-10-28,38,49.54
2005-11-04,38,49.4
2005-11-11,39,50.45
2005-11-18,40,49.91
2005-11-25,48,52.62
2005-12-02,63,51.61
2005-12-09,40,51.15
2005-12-16,40,51.93
2005-12-23,40,52.31
2005-12-30,40,51.46
2006-01-06,41,52.68
2006-01-13,34,53.44
2006-01-20,42,51.4
2006-01-27,36,53.3
2006-02-03,62,52.33
2006-02-10,35,53
2006-02-17,40,54.45
2006-02-24,45,54.87
2006-03-03,34,53.75
2006-03-10,41,54.23
2006-03-17,48,54.65
2006-03-24,45,53.18
2006-03-31,51,52.55
2006-04-07,45,51.7
2006-04-21,40,52.25
2006-04-28,36,53.81
2006-05-05,44,53.75
2006-05-12,41,52.89
2006-05-19,32,52.23
2006-05-26,41,54.41
2006-06-02,46,54.72
2006-06-09,42,53.46
2006-06-16,42,52.92
2006-06-23,54,52.59
2006-06-30,51,53.22
2006-07-07,39,51.98
2006-07-14,39,51.27
2006-07-21,34,50.62
2006-07-28,42,52.19
2006-08-04,41,52.21
2006-08-11,35,51.8
2006-08-18,32,53.26
2006-08-25,30,52.92
2006-09-01,30,52.55
2006-09-08,46,52.62
2006-09-15,29,53.75
2006-09-22,31,54.11
2006-09-29,46,56.08
2006-10-06,28,56.59
2006-10-13,39,58.02
2006-10-20,49,58.04
2006-10-27,25,57.27
2006-11-03,44,57.06
2006-11-10,24,58.86
2006-11-17,46,59.84
2006-11-24,24,59.9
2006-12-01,32,58.55
2006-12-08,41,59.83
2006-12-15,23,61.64
2006-12-22,32,60.85
2006-12-29,30,60.67
2007-01-05,30,59.13
2007-01-12,30,59.01
2007-01-19,28,58.09
2007-01-26,60,57.85
2007-02-02,31,58.16
2007-02-09,21,57.53
2007-02-16,21,59.02
2007-02-23,42,58.02
2007-03-02,30,55.44
2007-03-09,28,56.9
2007-03-16,22,55.55
2007-03-23,32,57.43
2007-03-30,24,56.4
2007-04-13,37,57.36
2007-04-20,35,61
2007-04-27,35,62.14
2007-05-04,45,63.39
2007-05-11,47,62.97
2007-05-18,31,63.96
2007-05-25,41,63.63
2007-06-01,44,65.07
2007-06-08,29,63.04
2007-06-15,21,63.77
2007-06-22,24,61.79
2007-06-29,21,61.18
2007-07-06,20,61.51
2007-07-13,26,62.83
2007-07-20,37,64.51
2007-07-27,40,58.55
2007-08-03,42,57.49
2007-08-10,26,60.78
2007-08-17,32,58.89
2007-08-24,28,60.89
2007-08-31,24,58.62
2007-09-07,29,57.75
2007-09-14,28,58.94
2007-09-21,28,59.28
2007-09-28,30,59.37
2007-10-05,38,61.1
2007-10-12,25,63.23
2007-10-19,37,57.11
2007-10-26,36,60.67
2007-11-02,29,58.42
