"Date","CVX","Price"
2004-02-06,48,85.42
2004-02-13,50,86.52
2004-02-20,52,86.61
2004-02-27,54,88.35
2004-04-30,50,91.5
2004-05-07,50,91.65
2004-05-14,60,92.69
2004-05-21,50,89.61
2004-05-28,50,90.4
2004-06-04,50,90.2
2004-06-18,72,93.42
2004-06-25,54,93.39
2004-07-02,40,93.25
2004-07-09,40,93.95
2004-07-16,40,95.4
2004-07-23,40,93.7
2004-07-30,40,95.65
2004-08-06,51,93.82
2004-08-13,69,95.6
2004-08-20,42,94.18
2004-08-27,44,95.25
2004-09-03,47,99.77
2004-09-10,50,100.05
2004-09-17,87,51.94
2004-09-24,59,52.83
2004-10-01,46,53.92
2004-10-08,51,55.29
2004-10-15,55,53.4
2004-10-22,32,53.34
2004-10-29,52,53.06
2004-11-05,54,54.53
2004-11-12,43,54.57
2004-11-19,43,53.9
2004-11-26,41,54.84
2004-12-03,51,52.59
2004-12-10,45,52.6
2004-12-17,34,51.72
2004-12-31,30,52.51
2005-01-07,30,51.15
2005-01-14,45,52.3
2005-01-21,42,51.98
2005-01-28,27,53.72
2005-02-04,60,56.74
2005-02-11,56,58.16
2005-02-18,51,59.73
2005-02-25,54,61.94
2005-03-04,41,61.71
2005-03-11,62,58.3
2005-03-18,49,60.38
2005-04-01,30,59.31
2005-04-08,46,56.69
2005-04-15,43,52.21
2005-04-22,72,53.87
2005-04-29,48,52
2005-05-06,50,52.74
2005-05-13,39,51.28
2005-05-20,54,51.72
2005-05-27,81,54.58
2005-06-03,63,55.06
2005-06-10,68,56.3
2005-06-17,42,58.97
2005-06-24,69,56.69
2005-07-01,53,56.97
2005-07-08,38,57.36
2005-07-15,41,56.67
2005-07-22,40,57.79
2005-07-29,37,58.01
2005-08-05,53,60.34
2005-08-12,62,62.28
2005-08-19,57,59.92
2005-08-26,47,59.38
2005-09-02,63,62.3
2005-09-09,29,63.81
2005-09-16,47,63.38
2005-09-23,68,63.27
2005-09-30,46,64.73
2005-10-07,47,61
2005-10-14,53,59.48
2005-10-21,57,56.3
2005-10-28,49,57.38
2005-11-04,45,58.01
2005-11-11,40,56.63
2005-11-18,49,58.11
2005-11-25,42,58.54
2005-12-02,47,59.18
2005-12-09,52,58.82
2005-12-16,55,57.51
2005-12-23,51,57.13
2005-12-30,64,56.77
2006-01-06,65,59.25
2006-01-13,75,60.36
2006-01-20,65,61.12
2006-01-27,66,60.38
2006-02-03,76,57.5
2006-02-10,55,56.61
2006-02-17,56,57.17
2006-02-24,55,57.65
2006-03-03,66,56.97
2006-03-10,43,54.08
2006-03-17,48,57.18
2006-03-24,57,57.57
2006-03-31,81,57.97
2006-04-07,47,58.65
2006-04-21,64,61.48
2006-04-28,63,61.02
2006-05-05,78,62.35
2006-05-12,71,61.38
2006-05-19,60,58.47
2006-05-26,62,59.83
2006-06-02,41,60.75
2006-06-09,63,57.53
2006-06-16,61,58.71
2006-06-23,34,58.71
2006-06-30,60,62.06
2006-07-07,60,63.68
2006-07-14,59,66.38
2006-07-21,67,64.45
2006-07-28,59,66.05
2006-08-04,74,65.66
2006-08-11,99,67.85
2006-08-18,83,67.26
2006-08-25,69,66.77
2006-09-01,65,64.83
2006-09-08,100,64.22
2006-09-15,56,61.79
2006-09-22,64,61.94
2006-09-29,54,64.86
2006-10-06,64,63.66
2006-10-13,54,64.2
2006-10-20,36,65.28
2006-10-27,67,67.68
2006-11-03,64,68.91
2006-11-10,65,69.54
2006-11-17,62,69.1
2006-11-24,61,68.84
2006-12-01,60,73.11
2006-12-08,47,72.83
2006-12-15,83,75.38
2006-12-22,58,72.73
2006-12-29,55,73.53
2007-01-05,66,70.55
2007-01-12,74,70.35
2007-01-19,67,72.32
2007-01-26,53,71.5
2007-02-02,63,74.04
2007-02-09,56,73.32
2007-02-16,66,70.81
2007-02-23,75,71.07
2007-03-02,70,66.79
2007-03-09,69,68.47
2007-03-16,58,68.08
