"Date","X3M","Price"
2004-02-06,91,79.81
2004-02-13,83,79.68
2004-02-20,82,79.7
2004-02-27,81,78.02
2004-03-05,87,78.66
2004-03-12,80,76.22
2004-03-19,85,79.76
2004-03-26,66,79.98
2004-04-02,89,81.78
2004-04-16,89,83.73
2004-04-23,100,87.9
2004-04-30,81,86.48
2004-05-07,83,84.43
2004-05-14,83,83.81
2004-05-21,79,82.92
2004-05-28,79,84.56
2004-06-04,78,84.86
2004-06-18,76,87.09
2004-06-25,83,88.66
2004-07-02,84,87.5
2004-07-09,79,87.65
2004-07-16,83,87.84
2004-07-23,91,82.62
2004-07-30,93,82.36
2004-08-06,85,79.87
2004-08-13,83,77.66
2004-08-20,88,80.27
2004-08-27,89,81.48
2004-09-03,81,83.94
2004-09-10,85,84.69
2004-09-17,78,82.32
2004-09-24,84,78.68
2004-10-01,80,79.69
2004-10-08,77,79.26
2004-10-15,76,77.98
2004-10-22,84,75.88
2004-10-29,83,77.57
2004-11-05,79,81.4
2004-11-12,71,82.68
2004-11-19,83,80.95
2004-11-26,77,80.16
2004-12-03,72,81.08
2004-12-10,75,78.8
2004-12-17,70,80.62
2004-12-31,61,82.07
2005-01-07,72,82.3
2005-01-14,79,83.97
2005-01-21,80,81.27
2005-01-28,80,83.25
2005-02-04,75,84.08
2005-02-11,69,84.04
2005-02-18,79,85.55
2005-02-25,83,84.6
2005-03-04,80,86.46
2005-03-11,74,85.63
2005-03-18,78,86.16
2005-04-01,69,85.12
2005-04-08,74,84.55
2005-04-15,82,80.86
2005-04-22,75,77.06
2005-04-29,74,76.47
2005-05-06,71,77.33
2005-05-13,76,75.61
2005-05-20,74,77.06
2005-05-27,74,76.98
2005-06-03,75,76
2005-06-10,76,75.79
2005-06-17,75,76.92
2005-06-24,85,75.48
2005-07-01,79,73
2005-07-08,77,75
2005-07-15,81,75.45
2005-07-22,84,74.71
2005-07-29,79,75
2005-08-05,76,72.99
2005-08-12,76,71.94
2005-08-19,74,72.07
2005-08-26,76,70.99
2005-09-02,75,71.5
2005-09-09,71,73.52
2005-09-16,76,73.35
2005-09-23,76,72.55
2005-09-30,72,73.36
2005-10-07,72,71.73
2005-10-14,77,70.72
2005-10-21,79,74.89
2005-10-28,76,76.24
2005-11-04,71,75.13
2005-11-11,72,77.55
2005-11-18,76,78.16
2005-11-25,72,78.32
2005-12-02,75,79.4
2005-12-09,75,77.86
2005-12-16,70,77.09
2005-12-23,63,78.6
2005-12-30,50,77.5
2006-01-06,62,78.63
2006-01-13,70,77.5
2006-01-20,69,75.24
2006-01-27,75,72.65
2006-02-03,71,71.1
2006-02-10,71,72.61
2006-02-17,71,73.77
2006-02-24,73,73.91
2006-03-03,71,72.88
2006-03-10,68,72.32
2006-03-17,73,74.79
2006-03-24,71,76.8
2006-03-31,66,75.69
2006-04-07,76,81.03
2006-04-21,70,85.06
2006-04-28,71,85.43
2006-05-05,69,87.3
2006-05-12,72,86.57
2006-05-19,72,84.31
2006-05-26,71,83.87
2006-06-02,71,84.78
2006-06-09,72,80.57
2006-06-16,74,80.51
2006-06-23,70,79.92
2006-06-30,66,80.77
2006-07-07,69,74.1
2006-07-14,72,71.22
2006-07-21,71,70.72
2006-07-28,69,70.52
2006-08-04,69,69.45
2006-08-11,74,68.53
2006-08-18,69,71.21
2006-08-25,72,69.92
2006-09-01,69,71.72
2006-09-08,68,71.51
2006-09-15,67,74.14
2006-09-22,72,73.07
2006-09-29,68,74.42
2006-10-06,68,75.95
2006-10-13,68,75.4
2006-10-20,64,78.47
2006-10-27,67,78.95
2006-11-03,63,78.58
2006-11-10,66,79.19
2006-11-17,67,81.4
2006-11-24,60,81.15
2006-12-01,61,79.98
2006-12-08,62,78.56
2006-12-15,56,78.31
2006-12-22,55,78.35
2006-12-29,46,77.93
2007-01-05,54,77.42
2007-01-12,61,79.36
2007-01-19,60,79.25
2007-01-26,63,78.69
2007-02-02,66,73.87
2007-02-09,62,74.54
2007-02-16,61,76.84
2007-02-23,62,76.21
2007-03-02,59,73.01
2007-03-09,64,74.73
2007-03-16,63,75.28
2007-03-23,62,77.97
2007-03-30,65,76.43
2007-04-13,61,76.72
2007-04-20,65,77.75
2007-04-27,65,81.55
2007-05-04,58,84.21
2007-05-11,66,85.55
2007-05-18,61,86.9
2007-05-25,64,87.35
2007-06-01,61,88.43
2007-06-08,61,85.94
2007-06-15,63,87.67
2007-06-22,63,86.43
2007-06-29,61,86.79
2007-07-06,60,88.11
2007-07-13,65,90.22
2007-07-20,62,90.21
2007-07-27,66,90.05
2007-08-03,64,87.56
2007-08-10,64,85.97
2007-08-17,59,87.83
2007-08-24,65,89.15
2007-08-31,62,90.99
2007-09-07,56,88.92
2007-09-14,59,89.02
2007-09-21,62,91.68
2007-09-28,61,93.58
2007-10-05,61,95.85
2007-10-12,64,94.17
2007-10-19,58,86.62
2007-10-26,63,86.13
2007-11-02,60,84.89
2007-11-09,61,79.51
2007-11-16,61,81.57
2007-11-23,52,82.75
2007-11-30,59,83.26
2007-12-07,57,86.19
2007-12-14,56,85.93
2007-12-21,53,86.05
2007-12-28,39,85.09
2008-01-04,43,81.76
2008-01-11,60,77.58
2008-01-18,60,74.91
2008-01-25,58,75.51
2008-02-01,61,81.21
2008-02-08,58,78.56
2008-02-15,60,79.95
2008-02-22,59,79.67
2008-02-29,59,78.4
2008-03-07,60,76.51
2008-03-14,58,77.53
2008-03-28,57,77.95
2008-04-04,59,80.52
2008-04-11,63,78.47
2008-04-18,63,82.9
2008-04-25,58,77.82
2008-05-02,56,78.55
2008-05-09,60,76.32
2008-05-16,61,78.66
2008-05-23,59,75.81
2008-05-30,57,77.56
2008-06-06,57,74.86
2008-06-13,58,76.12
2008-06-20,60,73.02
2008-06-27,59,69.51
2008-07-11,58,68.72
2008-07-18,60,68.94
2008-07-25,61,70.95
2008-08-01,56,70.15
2008-08-08,57,73.48
2008-08-15,57,73.49
2008-08-22,57,72.28
2008-08-29,58,71.6
2008-09-05,57,69.19
2008-09-12,60,70.15
2008-09-19,58,72.68
2008-09-26,61,69.45
2008-10-03,54,64.6
2008-10-10,58,54.26
2008-10-17,56,56.49
2008-10-24,60,59.61
2008-10-31,59,64.3
2008-11-07,55,64.83
2008-11-14,58,63.06
2008-11-21,59,61.3
2008-11-28,55,66.93
2008-12-05,58,59.85
2008-12-12,60,56.04
2008-12-19,53,56.62
2008-12-26,39,55.74
2009-01-02,38,59.19
2009-01-09,54,57.74
2009-01-16,59,56.42
2009-01-23,58,52.9
2009-01-30,59,53.79
