"Date","Microsoft","Price"
2004-02-06,70,27.08
2004-02-13,78,26.59
2004-02-20,71,26.57
2004-02-27,66,26.53
2004-03-05,66,26.35
2004-03-12,66,25.38
2004-03-19,64,24.63
2004-03-26,62,25.03
2004-04-02,62,25.85
2004-04-16,65,25.16
2004-04-23,63,27.54
2004-04-30,62,26.13
2004-05-07,100,25.78
2004-05-14,70,25.86
2004-05-21,62,25.89
2004-05-28,61,26.23
2004-06-04,60,25.95
2004-06-18,59,28.35
2004-06-25,60,28.57
2004-07-02,60,28.57
2004-07-09,60,27.86
2004-07-16,59,27.48
2004-07-23,61,28.03
2004-07-30,59,28.49
2004-08-06,61,27.14
2004-08-13,60,27.02
2004-08-20,61,27.2
2004-08-27,63,27.46
2004-09-03,61,27.11
2004-09-10,61,27.49
2004-09-17,63,27.51
2004-09-24,63,27.29
2004-10-01,62,28.25
2004-10-08,61,27.99
2004-10-15,62,27.99
2004-10-22,61,27.74
2004-10-29,60,27.97
2004-11-05,58,29.31
2004-11-12,63,29.97
2004-11-19,60,26.86
2004-11-26,55,26.6
2004-12-03,58,27.23
2004-12-10,56,27.08
2004-12-17,57,26.96
2004-12-31,54,26.72
2005-01-07,60,26.67
2005-01-14,66,26.12
2005-01-21,63,25.65
2005-01-28,64,26.18
2005-02-04,63,26.32
2005-02-11,65,25.97
2005-02-18,65,25.48
2005-02-25,63,25.25
2005-03-04,61,25.17
2005-03-11,62,25.09
2005-03-18,60,24.31
2005-04-01,56,24.12
2005-04-08,57,24.94
2005-04-15,60,24.46
2005-04-22,58,24.98
2005-04-29,59,25.3
2005-05-06,58,25.22
2005-05-13,57,25.3
2005-05-20,58,25.74
2005-05-27,55,26.07
2005-06-03,55,25.43
2005-06-10,55,25.43
2005-06-17,56,25.04
2005-06-24,55,25.04
2005-07-01,54,24.71
2005-07-08,53,25.09
2005-07-15,55,25.79
2005-07-22,56,25.68
2005-07-29,58,25.61
2005-08-05,63,27.76
2005-08-12,61,27.05
2005-08-19,64,26.72
2005-08-26,59,26.97
2005-09-02,58,27.02
2005-09-09,56,26.58
2005-09-16,59,26.07
2005-09-23,58,25.27
2005-09-30,57,25.73
2005-10-07,56,24.59
2005-10-14,58,24.67
2005-10-21,56,24.78
2005-10-28,57,25.53
2005-11-04,54,26.66
2005-11-11,55,27.28
2005-11-18,55,28.07
2005-11-25,54,27.76
2005-12-02,56,28.01
2005-12-09,56,27.71
2005-12-16,57,26.9
2005-12-23,53,26.64
2005-12-30,54,26.15
2006-01-06,61,26.91
2006-01-13,59,27.19
2006-01-20,57,26.41
2006-01-27,55,27.79
2006-02-03,57,27.54
2006-02-10,53,26.69
2006-02-17,55,26.7
2006-02-24,55,26.63
2006-03-03,58,26.93
2006-03-10,55,27.17
2006-03-17,54,27.5
2006-03-24,52,27.01
2006-03-31,52,27.21
2006-04-07,52,27.25
2006-04-21,50,27.15
2006-04-28,50,24.15
2006-05-05,51,23.8
2006-05-12,50,23.17
2006-05-19,49,22.56
2006-05-26,49,23.72
2006-06-02,49,22.76
2006-06-09,49,21.92
2006-06-16,50,22.1
2006-06-23,48,22.5
2006-06-30,46,23.3
2006-07-07,45,23.3
2006-07-14,47,22.29
2006-07-21,49,23.87
2006-07-28,47,24.25
2006-08-04,47,24.29
2006-08-11,48,24.43
2006-08-18,50,25.79
2006-08-25,49,25.85
2006-09-01,49,25.84
2006-09-08,49,25.6
2006-09-15,53,26.85
2006-09-22,51,26.66
2006-09-29,50,27.35
2006-10-06,50,27.87
2006-10-13,51,28.37
2006-10-20,51,28.43
