"Date","Pfizer","Price"
2004-02-06,71,38.85
2004-02-13,75,37.38
2004-02-20,71,37.27
2004-02-27,74,36.65
2004-03-05,75,37.17
2004-03-12,67,35.29
2004-03-19,63,33.95
2004-03-26,58,34.29
2004-04-02,73,36
2004-04-16,71,37.62
2004-04-23,71,36.42
2004-04-30,65,35.76
2004-05-07,68,36.36
2004-05-14,66,35.6
2004-05-21,65,34.81
2004-05-28,59,35.34
2004-06-04,66,35.62
2004-06-18,55,35.43
2004-06-25,65,33.82
2004-07-02,63,33.94
2004-07-09,66,34
2004-07-16,68,32.38
2004-07-23,77,32.3
2004-07-30,70,31.96
2004-08-06,65,31.18
2004-08-13,68,31.15
2004-08-20,67,31.74
2004-08-27,67,32.65
2004-09-03,68,32.55
2004-09-10,64,31.86
2004-09-17,66,31.72
2004-09-24,69,29.66
2004-10-01,74,30.97
2004-10-08,77,29.8
2004-10-15,73,28.5
2004-10-22,72,27.74
2004-10-29,71,28.95
2004-11-05,68,28.79
2004-11-12,58,27.45
2004-11-19,64,27.23
2004-11-26,61,27.16
2004-12-03,68,27.89
2004-12-10,59,27.09
2004-12-17,78,25.75
2004-12-31,55,26.89
2005-01-07,66,26.3
2005-01-14,67,25.25
2005-01-21,68,24.48
2005-01-28,64,24.35
2005-02-04,67,24.23
2005-02-11,72,25.15
2005-02-18,72,26.8
2005-02-25,69,26.86
2005-03-04,63,26.85
2005-03-11,59,26.36
2005-03-18,58,25.83
2005-04-01,55,26.15
2005-04-08,81,26.6
2005-04-15,66,27.71
2005-04-22,60,27.22
2005-04-29,59,27.17
2005-05-06,50,27.61
2005-05-13,52,27.86
2005-05-20,55,28.58
2005-05-27,53,28.35
2005-06-03,51,27.96
2005-06-10,59,27.68
2005-06-17,62,28.78
2005-06-24,60,28.52
2005-07-01,61,27.1
2005-07-08,54,27.14
2005-07-15,58,27.57
2005-07-22,68,26.5
2005-07-29,57,26.5
2005-08-05,52,26.25
2005-08-12,53,26.16
2005-08-19,54,25.55
2005-08-26,54,24.89
2005-09-02,48,25.33
2005-09-09,49,26.33
2005-09-16,56,25.9
2005-09-23,55,24.87
2005-09-30,55,24.97
2005-10-07,59,24.39
2005-10-14,59,24.32
2005-10-21,62,21.25
2005-10-28,62,21.5
2005-11-04,55,22.26
2005-11-11,56,22.43
2005-11-18,60,21.6
2005-11-25,51,21.67
2005-12-02,56,21.3
2005-12-09,53,20.6
2005-12-16,55,22.58
2005-12-23,48,23.96
2005-12-30,32,23.32
2006-01-06,42,24.85
2006-01-13,53,24.67
2006-01-20,54,24.71
2006-01-27,64,25.99
2006-02-03,67,25.28
2006-02-10,64,25.68
2006-02-17,58,25.82
2006-02-24,53,26.37
2006-03-03,55,26.34
2006-03-10,53,26.08
2006-03-17,52,26.39
2006-03-24,56,26.02
2006-03-31,59,24.92
2006-04-07,51,24.69
2006-04-21,51,24.87
2006-04-28,52,25.33
2006-05-05,49,25.41
2006-05-12,59,24.5
2006-05-19,54,23.82
2006-05-26,50,24
2006-06-02,47,24.19
2006-06-09,51,23.53
2006-06-16,51,23.43
2006-06-23,54,22.64
2006-06-30,61,23.47
2006-07-07,44,23.68
2006-07-14,50,22.42
2006-07-21,50,23.83
2006-07-28,48,26.11
2006-08-04,55,25.98
2006-08-11,50,25.82
2006-08-18,49,27.05
2006-08-25,46,27.23
2006-09-01,47,27.96
2006-09-08,47,27.59
2006-09-15,47,28.04
2006-09-22,44,28.16
2006-09-29,53,28.36
2006-10-06,48,27.9
2006-10-13,52,27.59
2006-10-20,48,27.68
2006-10-27,47,27.22
2006-11-03,43,26.55
2006-11-10,49,25.71
2006-11-17,42,27.21
2006-11-24,42,26.89
2006-12-01,52,27.86
2006-12-08,89,25.17
2006-12-15,47,25.64
2006-12-22,43,25.97
2006-12-29,30,25.9
2007-01-05,44,26.3
2007-01-12,51,26.64
2007-01-19,55,27.22
2007-01-26,100,26.29
2007-02-02,55,26.8
2007-02-09,47,26.38
2007-02-16,47,26.3
2007-02-23,46,25.62
2007-03-02,45,24.79
2007-03-09,43,25.41
2007-03-16,44,24.99
2007-03-23,44,25.66
2007-03-30,43,25.26
2007-04-13,42,26.67
2007-04-20,44,26.97
2007-04-27,43,26.61
2007-05-04,42,27.08
2007-05-11,40,27.04
2007-05-18,39,27.44
2007-05-25,43,27.53
2007-06-01,41,27.68
2007-06-08,46,26.52
2007-06-15,48,26.47
2007-06-22,43,25.38
2007-06-29,41,25.57
2007-07-06,38,25.92
2007-07-13,46,25.91
2007-07-20,45,24.9
2007-07-27,44,23.79
2007-08-03,41,23.51
2007-08-10,41,23.99
2007-08-17,40,23.94
2007-08-24,40,24.74
2007-08-31,41,24.84
2007-09-07,41,24.25
2007-09-14,43,24.29
2007-09-21,43,24.59
2007-09-28,42,24.43
2007-10-05,40,25.58
2007-10-12,45,25.26
2007-10-19,46,24.07
2007-10-26,42,24.31
2007-11-02,42,23.67
2007-11-09,41,22.83
2007-11-16,42,23.39
2007-11-23,38,22.98
2007-11-30,40,23.76
2007-12-07,36,24.4
2007-12-14,38,23.1
2007-12-21,36,23.24
2007-12-28,25,22.9
2008-01-04,31,22.83
2008-01-11,40,24.02
2008-01-18,40,22.5
2008-01-25,42,22.61
2008-02-01,39,23.59
2008-02-08,39,22.3
2008-02-15,38,22.33
2008-02-22,37,22.5
2008-02-29,39,22.28
2008-03-07,40,21.35
2008-03-14,39,20.64
2008-03-28,36,20.5
2008-04-04,40,21.35
2008-04-11,40,20.45
2008-04-18,39,20.47
2008-04-25,40,20.43
2008-05-02,35,20.61
2008-05-09,34,19.79
2008-05-16,36,20.03
2008-05-23,34,19.53
2008-05-30,33,19.36
2008-06-06,36,17.96
2008-06-13,35,17.99
2008-06-20,37,17.33
2008-06-27,34,17.28
2008-07-11,35,17.81
2008-07-18,35,18.32
2008-07-25,36,18.89
2008-08-01,34,18.6
2008-08-08,32,19.84
2008-08-15,32,19.97
2008-08-22,30,19.75
2008-08-29,32,19.11
2008-09-05,30,18.51
2008-09-12,36,18.62
2008-09-19,36,18.55
2008-09-26,35,18.66
2008-10-03,36,19
2008-10-10,37,15.14
2008-10-17,36,16.91
2008-10-24,39,16.57
2008-10-31,35,17.71
2008-11-07,32,16.86
2008-11-14,34,16.28
2008-11-21,35,15.67
2008-11-28,29,16.43
2008-12-05,30,16.55
