"Date","buy.BA","Price"
2007-06-08,63,98.19
2007-07-27,63,103.71
2007-08-03,60,104.24
2007-08-10,60,98.44
2007-08-17,60,95.93
2007-08-24,60,98.47
2007-08-31,61,96.7
2007-09-07,61,94.84
2007-09-14,61,99.35
2007-09-21,61,102.59
2007-09-28,48,104.99
2007-10-05,48,102.25
2007-10-12,48,96.69
2007-10-19,48,93.9
2007-10-26,47,96.02
2007-11-02,42,97.76
2007-11-09,42,94.21
2007-11-16,42,89.99
2007-11-23,57,89.54
2007-11-30,45,92.54
2007-12-07,45,93.16
2007-12-14,45,88.42
2007-12-21,49,89.07
2007-12-28,52,88.25
2008-01-04,55,85.82
2008-01-11,58,80.52
2008-01-18,56,78.4
2008-01-25,56,77.03
2008-02-01,47,82.76
2008-02-08,44,79.33
2008-02-15,77,85.18
2008-02-22,43,83.04
2008-02-29,43,82.79
2008-03-07,43,76.6
2008-03-14,43,76.23
2008-03-28,41,73.47
2008-04-04,41,75.65
2008-04-11,49,76.86
2008-04-18,45,78.66
2008-04-25,44,84.84
2008-05-02,44,85.69
2008-05-09,44,84.06
2008-05-16,44,85.17
2008-05-23,44,81.48
2008-05-30,41,82.77
2008-06-06,41,73.16
2008-06-13,41,75.12
2008-06-20,45,75.83
2008-06-27,50,66.92
2008-07-11,62,63.28
2008-07-18,54,68.14
2008-07-25,54,63.83
2008-08-01,45,62.01
2008-08-08,54,67.86
2008-08-15,53,64.45
2008-08-22,53,65.55
2008-08-29,43,65.56
2008-09-05,37,62.89
2008-09-12,37,63.3
2008-09-19,37,59.76
2008-09-26,37,58.32
2008-10-03,37,53.83
2008-10-10,38,41.8
2008-10-17,39,44.55
2008-10-24,39,45.24
2008-10-31,59,52.42
2008-11-07,36,46.58
2008-11-14,34,41.04
2008-11-21,44,39.58
2008-11-28,42,42.63
2008-12-05,34,39.53
2008-12-12,45,39.2
2008-12-19,63,41.24
2008-12-26,80,40.53
2009-01-02,62,45.25
2009-01-09,47,44.45
2009-01-16,69,42.46
2009-01-23,45,41.98
2009-01-30,38,42.31
2009-02-06,38,42.92
2009-02-13,43,40.48
2009-02-20,34,36.31
2009-02-27,34,31.44
2009-03-06,34,30.1
2009-03-13,40,33.4
2009-03-20,65,32.55
2009-03-27,33,37.53
2009-04-03,40,37.69
2009-04-17,41,38.32
2009-04-24,58,38.72
2009-05-01,47,41.21
2009-05-08,45,45.83
2009-05-15,45,43
2009-05-22,60,42.94
2009-05-29,33,44.85
2009-06-05,32,52.65
2009-06-12,35,51.44
2009-06-19,64,48.44
2009-06-26,50,41.88
2009-07-10,45,39.65
2009-07-17,40,41.36
2009-07-24,49,42.37
2009-07-31,43,42.91
2009-08-07,43,46.69
2009-08-14,55,44.87
2009-08-21,33,45.87
2009-08-28,43,51.04
2009-09-04,40,49.15
2009-09-11,56,51.35
2009-09-18,39,53.02
2009-09-25,39,51.52
2009-10-02,47,51.4
2009-10-09,54,52.69
2009-10-16,46,53.19
2009-10-23,34,49.89
2009-10-30,44,47.8
2009-11-06,36,49.68
2009-11-13,53,50.68
2009-11-20,66,51.7
2009-11-27,53,52.45
2009-12-04,43,54.68
2009-12-11,44,55.6
2009-12-18,49,53.44
2010-01-08,53,61.6
2010-01-15,51,60.82
2010-01-22,45,57.77
2010-01-29,54,60.6
2010-02-05,64,58.4
2010-02-12,54,59.65
2010-02-19,39,63.59
2010-02-26,46,63.16
2010-03-05,65,67.93
2010-03-12,49,69.83
2010-03-19,63,70.72
2010-03-26,42,72.59
2010-04-09,68,72.42
2010-04-16,42,70.79
2010-04-23,42,75.13
2010-04-30,49,72.43
2010-05-07,38,66.72
2010-05-14,55,69.82
2010-05-21,45,64.56
2010-05-28,61,64.18
2010-06-04,37,61.15
2010-06-11,55,65.38
2010-06-18,70,67.96
2010-06-25,34,68.77
2010-07-02,65,61.94
2010-07-09,63,64.66
2010-07-16,34,61.9
2010-07-23,50,67.93
2010-07-30,41,68.14
2010-08-06,53,68.7
2010-08-13,41,64.84
2010-08-20,46,64.6
2010-08-27,57,63.16
2010-09-03,61,64.64
2010-09-10,62,63.84
2010-09-17,67,62.95
2010-09-24,79,64.6
2010-10-01,89,66.83
2010-10-08,65,69.23
2010-10-15,73,70.11
2010-10-22,67,71.26
2010-10-29,61,70.64
2010-11-05,55,71.27
2010-11-12,58,63.09
2010-11-19,58,63.59
2010-11-26,74,64.8
2010-12-03,77,66.54
2010-12-10,67,64.16
2010-12-17,68,65.03
2010-12-31,88,65.26
2011-01-07,69,69.38
2011-01-14,77,70.07
2011-01-21,74,71.68
2011-01-28,59,69.23
2011-02-04,78,71.38
2011-02-11,71,72.14
2011-02-18,81,73.04
2011-02-25,73,72.3
2011-03-04,83,71.8
2011-03-11,51,71.64
2011-03-18,54,69.1
2011-03-25,68,73.34
2011-04-01,67,74.01
2011-04-08,62,73.47
2011-04-15,49,72.6
2011-04-29,76,79.78
2011-05-06,63,79.31
2011-05-13,75,79.03
2011-05-20,71,77.52
2011-05-27,67,76.99
2011-06-03,53,74.84
2011-06-10,49,72.69
2011-06-17,64,74.16
2011-06-24,64,71.26
2011-07-01,61,74.27
2011-07-08,60,75.07
2011-07-15,55,71.28
2011-07-22,64,72.67
2011-07-29,70,70.47
2011-08-05,72,62.75
2011-08-12,77,61.75
2011-08-19,94,57.54
2011-08-26,56,62.8
2011-09-02,72,64.03
2011-09-09,75,61.79
2011-09-16,52,65.38
2011-09-23,76,59.51
2011-09-30,71,60.51
2011-10-07,68,61.81
2011-10-14,67,63.89
2011-10-21,70,64.59
2011-10-28,55,68.17
2011-11-04,77,65.8
2011-11-11,57,66.92
2011-11-18,57,67.46
2011-11-25,71,62.78
2011-12-02,82,71.3
2011-12-09,69,71.93
2011-12-16,73,71.01
2011-12-23,100,73.97
2011-12-30,90,73.35
2012-01-06,90,73.98
2012-01-13,91,74.6
2012-01-20,88,75.52
2012-01-27,87,74.55
2012-02-03,79,76.34
2012-02-10,84,74.95
2012-02-17,97,75.35
2012-02-24,68,76.06
2012-03-02,82,74.9
2012-03-09,89,73.29
2012-03-16,81,75.2
2012-03-23,65,73.97
2012-03-30,65,74.37
2012-04-13,67,72.92
2012-04-20,52,73.55
2012-04-27,52,77.27
2012-05-04,74,75.84
2012-05-11,52,73.56
2012-05-18,54,69.15
2012-05-25,48,70
2012-06-01,55,67.24
2012-06-08,65,69.94
2012-06-15,50,71.99
2012-06-22,49,71.96
2012-06-29,67,74.3
2012-07-06,41,73.69
2012-07-13,54,73.51
2012-07-20,59,73.89
2012-07-27,60,75.51
2012-08-03,55,72.81
2012-08-10,59,74.21
2012-08-17,57,73.91
2012-08-24,70,71.09
2012-08-31,61,71.4
2012-09-07,56,72.89
2012-09-14,54,71.28
2012-09-21,47,69.97
2012-09-28,46,69.6
2012-10-05,61,70.89
2012-10-12,45,71.85
2012-10-19,52,74.01
2012-10-26,51,71.11
2012-11-02,45,70.05
2012-11-09,45,73.25
2012-11-16,63,70.77
2012-11-23,57,73.74
2012-11-30,52,74.28
2012-12-07,49,74.64
2012-12-14,42,74.02
2012-12-21,62,76.17
2012-12-28,51,74.69
2013-01-04,78,77.69
2013-01-11,90,75.16
2013-01-18,70,75.04
2013-01-25,52,75.03
2013-02-01,60,74.87
2013-02-08,44,76.56
2013-02-15,56,75.03
2013-02-22,51,76.66
2013-03-01,49,77.28
2013-03-08,50,81.23
2013-03-15,55,86.43
2013-03-22,57,84.82
2013-04-05,56,86.17
2013-04-12,44,88.89
2013-04-19,53,87.96
2013-04-26,65,92.85
2013-05-03,52,93.74
2013-05-10,50,94.24
2013-05-17,49,98.92
2013-05-24,62,100
2013-05-31,39,99.02
2013-06-07,50,102.49
2013-06-14,52,101.83
2013-06-21,52,99.98
2013-06-28,54,102.44
2013-07-05,43,104.2
2013-07-12,64,101.87
2013-07-19,52,106.96
2013-07-26,59,105.6
2013-08-02,79,107.9
2013-08-09,64,105.33
2013-08-16,54,103.47
2013-08-23,47,105.48
2013-08-30,75,103.92
2013-09-06,78,106.07
2013-09-13,48,111.33
2013-09-20,47,116.63
2013-09-27,60,118.74
2013-10-04,39,117.2
2013-10-11,38,117.98
2013-10-18,55,122.52
2013-10-25,48,131.19
2013-11-01,64,133.03
2013-11-08,51,133.49
2013-11-15,50,136.08
2013-11-22,48,135.97
2013-11-29,54,134.25
2013-12-06,55,135.18
2013-12-13,46,133.83
2013-12-20,52,136.67
2013-12-27,56,136.9
2014-01-03,49,137.62
2014-01-10,60,141.9
2014-01-17,48,140.46
2014-01-24,60,136.65
2014-01-31,55,125.26
2014-02-07,44,127.02
2014-02-14,49,130.16
2014-02-21,44,128.28
2014-02-28,48,128.92
2014-03-07,48,128.54
2014-03-14,55,123.11
2014-03-21,41,122.58
2014-03-28,54,124.46
2014-04-04,42,127.38
2014-04-11,42,122.07
2014-04-25,52,128.66
