"Date","buy.Chevron","Price"
2009-03-13,74,62.91
2009-09-04,56,68.96
2009-09-11,58,70.75
2009-09-18,60,72.64
2010-01-15,53,79.23
2010-07-16,45,71.5
2010-07-23,48,73.52
2010-07-30,50,76.21
2010-08-06,46,78.73
2010-09-17,58,78.46
2010-09-24,41,80.12
2010-10-01,41,81.95
2010-10-08,44,83.94
2010-10-15,48,83.61
2010-10-22,52,84.55
2010-10-29,55,82.6
2010-11-05,59,84.98
2010-11-12,63,85.44
2010-11-19,45,83.94
2010-11-26,45,82.05
2010-12-03,45,84.89
2010-12-10,46,87.03
2010-12-17,47,88.49
2010-12-31,48,91.25
2011-01-07,62,91.19
2011-01-14,40,92.83
2011-01-21,40,93.78
2011-01-28,34,93.37
2011-02-04,34,97.11
2011-02-11,51,96.45
2011-02-18,67,98.72
2011-02-25,35,102.1
2011-03-04,35,103.75
2011-03-11,35,99.93
2011-03-18,35,102.8
2011-03-25,59,106.78
2011-04-01,39,108.32
2011-04-08,39,109.66
2011-04-15,63,106.24
2011-04-29,42,109.44
2011-05-06,42,102.88
2011-05-13,49,102.39
2011-05-20,55,102.57
2011-05-27,39,103.21
2011-06-03,39,101
2011-06-10,55,99.67
2011-06-17,55,99.17
2011-06-24,55,97.9
2011-07-01,49,104.09
2011-07-08,49,105.89
2011-07-15,49,106.19
2011-07-22,49,108.97
2011-07-29,49,104.02
2011-08-05,38,97.61
2011-08-12,44,95.86
2011-08-19,48,93.29
2011-08-26,43,96.85
2011-09-02,36,96.41
2011-09-09,32,95.19
2011-09-16,45,99.63
2011-09-23,32,90.01
2011-09-30,38,92.59
2011-10-07,56,94.4
2011-10-14,51,100.47
2011-10-21,49,105.53
2011-10-28,49,109.64
2011-11-04,37,106.43
2011-11-11,43,107.05
2011-11-18,33,97.88
2011-11-25,57,92.29
2011-12-02,45,101.69
2011-12-09,36,104.25
2011-12-16,39,100.86
2011-12-23,38,107.5
2011-12-30,59,106.4
2012-01-06,30,108.31
2012-01-13,33,106.09
2012-01-20,36,106.89
2012-01-27,39,103.96
2012-02-03,44,105.5
2012-02-10,33,105.28
2012-02-17,39,106.66
2012-02-24,40,109.08
2012-03-02,42,109.61
2012-03-09,38,109.57
2012-03-16,38,110.28
2012-03-23,42,106.36
2012-03-30,61,107.21
2012-04-13,37,100.78
2012-04-20,43,102.52
2012-04-27,51,106.2
2012-05-04,47,103.72
2012-05-11,38,102.69
2012-05-18,46,98.46
2012-05-25,49,98.86
2012-06-01,49,96.41
2012-06-08,43,100.84
2012-06-15,37,104.33
2012-06-22,60,100.44
2012-06-29,46,105.5
2012-07-06,55,105.07
2012-07-13,57,106.01
2012-07-20,57,109.19
2012-07-27,69,109.26
2012-08-03,66,111.12
2012-08-10,72,113.55
2012-08-17,36,112.66
2012-08-24,42,112.01
2012-08-31,67,112.16
2012-09-07,53,114
2012-09-14,86,117.25
2012-09-21,55,117.8
2012-09-28,56,116.56
2012-10-05,64,117.5
2012-10-12,57,112.07
2012-10-19,59,113.38
2012-10-26,57,111.18
2012-11-02,47,108.37
2012-11-09,46,105.84
2012-11-16,44,102.4
2012-11-23,51,105.47
2012-11-30,47,105.69
2012-12-07,69,106.99
2012-12-14,55,107.82
2012-12-21,68,109.71
2012-12-28,86,106.45
2013-01-04,93,110.5
2013-01-11,48,111.73
2013-01-18,47,115.24
2013-01-25,45,116.2
2013-02-01,72,116.5
2013-02-08,83,115.64
2013-02-15,68,114.96
2013-02-22,67,115.96
2013-03-01,72,116.9
2013-03-08,81,118.57
2013-03-15,63,119.68
2013-03-22,65,121.18
2013-04-05,51,117.52
2013-04-12,63,119.94
2013-04-19,70,115.9
2013-04-26,66,120.04
2013-05-03,69,123.49
2013-05-10,97,123.23
2013-05-17,57,123.42
2013-05-24,99,125.45
2013-05-31,79,122.75
2013-06-07,87,121.7
2013-06-14,79,120.28
2013-06-21,70,118.93
2013-06-28,79,118.34
2013-07-05,88,120.51
2013-07-12,85,124.06
2013-07-19,83,126.91
2013-07-26,87,127.56
2013-08-02,100,124.95
2013-08-09,96,122.5
2013-08-16,98,119.88
2013-08-23,75,119.53
2013-08-30,87,120.43
2013-09-06,81,121.21
2013-09-13,77,124.14
2013-09-20,96,124.92
2013-09-27,86,122.64
2013-10-04,62,118.13
2013-10-11,52,117.67
2013-10-18,71,119.65
2013-10-25,73,120.59
2013-11-01,43,118.01
2013-11-08,66,121.19
2013-11-15,57,120.06
2013-11-22,71,124.03
2013-11-29,75,122.44
2013-12-06,87,122.29
2013-12-13,79,119.9
2013-12-20,75,122.78
2013-12-27,65,125.23
2014-01-03,72,124.35
2014-01-10,86,121.01
2014-01-17,75,119.29
2014-01-24,56,116.29
2014-01-31,83,111.63
2014-02-07,88,112.05
2014-02-14,76,113.48
2014-02-21,88,112.68
2014-02-28,74,115.33
2014-03-07,78,115.08
2014-03-14,71,114.1
2014-03-21,76,115.63
2014-03-28,85,118.5
2014-04-04,70,118.8
2014-04-11,94,117.03
2014-04-25,72,123.99
