"Date","buy.DIS","Price"
2010-10-29,94,36.13
2010-11-05,90,37.2
2010-11-12,90,37.75
2010-11-19,90,37.01
2010-11-26,90,36.7
2010-12-03,90,37.59
2010-12-10,84,36.66
2010-12-17,88,37.05
2010-12-31,84,37.51
2011-01-07,84,39.45
2011-01-14,79,39.29
2011-01-21,79,39.74
2011-03-04,75,43.55
2011-06-03,77,39.38
2011-08-12,89,33.09
2011-10-07,67,31.7
2011-10-14,71,34.47
2011-10-21,74,35.16
2011-12-02,65,36.61
2011-12-09,77,36.56
2011-12-16,72,35.32
2011-12-23,95,37.7
2011-12-30,96,37.5
2012-01-06,97,39.91
2012-01-13,92,38.4
2012-01-20,79,39.31
2012-01-27,79,39.25
2012-02-03,60,40
2012-02-10,69,41.45
2012-02-17,78,41.75
2012-02-24,67,41.31
2012-03-02,67,42.36
2012-03-09,72,42.24
2012-03-16,77,43.19
2012-05-11,58,45.56
2012-05-18,65,43.81
2012-05-25,89,44.5
2012-06-01,71,44.4
2012-06-08,71,46.24
2012-06-15,71,47.09
2012-06-22,71,47.47
2012-08-10,78,49.65
2012-08-17,72,50.46
2012-08-24,72,49.56
2012-08-31,57,49.47
2012-09-07,57,51.74
2012-09-14,57,52.35
2012-09-21,57,52.74
2012-09-28,61,52.28
2012-10-05,60,52.97
2012-10-12,60,50.59
2012-10-19,70,51.9
2012-10-26,80,50.08
2012-11-02,90,49.86
2012-11-09,74,47.06
2012-11-16,67,47.42
2012-11-23,67,49.26
2012-11-30,67,49.66
2012-12-07,67,49.24
2012-12-14,83,48.67
2012-12-21,100,50
2012-12-28,70,49.15
2013-01-04,62,52.19
2013-01-11,68,50.58
2013-01-18,74,52.34
2013-01-25,79,54.38
2013-02-01,78,54.59
2013-02-08,92,54.66
2013-02-15,54,55.61
2013-02-22,66,54.25
2013-05-03,73,64.8
2013-05-10,71,67.2
2013-05-17,57,66.58
2013-05-24,52,65.49
2013-05-31,52,63.08
2013-06-07,62,64.85
2013-06-14,52,63.8
2013-06-21,59,62.73
2013-06-28,65,63.15
2013-07-05,71,63.82
2013-07-12,78,66.98
2013-07-19,69,65.16
2013-07-26,54,64.98
2013-08-02,54,66.51
2013-08-09,54,64.73
2013-08-16,74,62.17
2013-08-23,62,61.73
2013-08-30,61,60.83
2013-09-06,59,61.39
2013-09-13,68,66.69
2013-09-20,45,65.01
2013-09-27,45,65.19
2013-10-04,45,65.3
2013-10-11,45,66.21
2013-10-18,50,67.15
2013-10-25,45,69.26
2013-11-01,45,69.01
2013-11-08,70,68.58
2013-11-15,71,70
2013-11-22,48,70.2
2013-11-29,57,70.54
2013-12-06,66,71.46
2013-12-13,75,69.62
2013-12-20,58,72.4
2013-12-27,60,74.35
2014-01-03,61,76.11
2014-01-10,47,75.39
2014-01-17,55,73.98
2014-01-24,62,72.72
2014-01-31,62,72.61
2014-02-07,58,75.67
2014-02-14,58,79.23
2014-02-21,58,80.13
2014-02-28,45,80.81
2014-03-07,75,82.21
2014-03-14,41,80.07
2014-03-21,41,80.35
2014-03-28,74,78.99
2014-04-04,45,80.43
2014-04-11,45,77.01
