"Date","buy.Goldman.Sachs","Price"
2007-11-09,58,211.33
2008-05-02,53,200.27
2008-05-09,55,188.09
2008-05-16,58,187.14
2008-05-23,60,172.64
2008-05-30,56,176.41
2008-06-06,56,169.44
2008-06-13,56,178.29
2008-06-20,56,183.77
2008-09-19,69,129.8
2008-09-26,92,137.99
2008-10-03,64,128
2008-10-10,72,88.8
2008-10-17,43,114.3
2008-10-24,43,100.4
2008-10-31,43,92.5
2008-11-07,43,77.78
2008-11-14,43,66.73
2008-11-21,68,53.31
2009-03-13,54,98.8
2009-05-01,39,127.08
2009-05-08,38,139.59
2009-05-15,41,134.4
2009-05-22,48,136.35
2009-05-29,47,144.57
2009-06-05,47,149.01
2009-06-12,47,145.64
2009-06-19,47,143.13
2009-06-26,49,146.74
2009-07-10,52,141.87
2009-07-17,53,156.84
2009-07-24,80,164.72
2009-07-31,57,163.3
2009-08-07,42,163.65
2009-08-14,49,162.73
2009-08-21,83,163.51
2009-08-28,62,164.42
2009-09-04,35,162.97
2009-09-11,56,174.7
2009-09-18,55,183.18
2009-09-25,54,179.5
2009-10-02,54,179.61
2009-10-09,37,189.3
2009-10-16,40,184.37
2009-10-23,49,180.36
2009-10-30,39,170.17
2009-11-06,39,171.78
2009-11-13,70,176.76
2009-11-20,44,170.01
2009-11-27,48,164.16
2009-12-04,51,167.24
2009-12-11,32,166
2009-12-18,49,163.19
2010-01-08,100,174.31
2010-01-15,63,165.21
2010-01-22,54,154.12
2010-01-29,55,148.72
2010-02-05,100,154.16
2010-02-12,53,153.93
2010-02-19,66,156.18
2010-02-26,46,156.35
2010-03-05,38,167.18
2010-03-12,29,174.96
2010-03-19,43,177.9
2010-03-26,47,172.87
2010-04-09,49,179.12
2010-04-16,66,160.7
2010-04-23,98,157.4
2010-04-30,83,145.2
2010-05-07,56,142.99
2010-05-14,90,143.23
2010-05-21,65,140.62
2010-05-28,48,144.26
2010-06-04,36,142.25
2010-06-11,33,135.64
2010-06-18,33,138.18
2010-06-25,33,139.66
2010-07-02,34,131.08
2010-07-09,34,138.06
2010-07-16,34,146.17
2010-07-23,51,147.38
2010-07-30,31,150.82
2010-08-06,33,155.18
2010-08-13,35,148.08
2010-08-20,37,148.24
2010-08-27,37,139.75
2010-09-03,37,147.29
2010-09-10,38,150.39
2010-09-17,38,150.98
2010-09-24,38,147.28
2010-10-01,25,147.7
2010-10-08,38,152.66
2010-10-15,25,150.69
2010-10-22,45,157.76
2010-10-29,64,161.13
2010-11-05,24,171.07
2010-11-12,46,165.83
2010-11-19,63,166.67
2010-11-26,26,158.22
2010-12-03,26,162.31
2010-12-10,33,168.47
2010-12-17,31,164.04
2010-12-31,49,168.16
2011-01-07,58,170.69
2011-01-14,43,175
2011-01-21,36,166.2
2011-01-28,47,161.77
2011-02-04,28,164.83
2011-02-11,45,166.66
2011-02-18,31,168.04
2011-02-25,24,165.12
2011-03-04,24,161
2011-03-11,24,160.68
2011-03-18,24,159.96
2011-03-25,26,157.97
2011-04-01,33,160.23
2011-04-08,24,160.96
2011-04-15,26,155.13
2011-04-29,24,151.01
2011-05-06,24,150.1
2011-05-13,22,141.46
2011-05-20,22,134.99
2011-05-27,22,138.66
2011-06-03,29,135.33
2011-07-15,24,130.16
2011-07-22,26,135.49
2011-07-29,27,134.97
2011-08-05,28,125.18
2011-08-12,30,116.47
2011-08-19,23,111.76
2011-08-26,23,111.75
2011-09-02,20,107.06
2011-09-09,20,102.25
2011-09-16,20,107.49
2011-09-23,30,95.18
2011-09-30,25,94.55
2011-11-18,22,91.91
2011-11-25,23,88.75
2011-12-02,24,97.25
2012-01-13,26,98.96
2012-01-20,24,108.74
2012-01-27,29,111.77
2012-02-03,33,117.53
2012-02-10,21,114.12
2012-02-17,17,115.91
2012-02-24,17,115.87
2012-03-02,21,119.96
2012-03-09,25,117.29
2012-03-16,29,122.93
2012-03-23,26,126.18
2012-03-30,22,124.37
2012-05-18,29,95.49
2012-05-25,19,96.7
2012-06-01,17,92.64
2012-07-20,17,94.16
2012-07-27,17,101.64
2012-08-03,19,100.98
2012-08-10,21,103.02
2012-08-17,19,103.6
2012-08-24,20,104.96
2012-08-31,20,105.72
2012-09-07,21,116.33
2012-09-14,21,121.36
2012-09-21,23,116.72
2012-09-28,15,113.68
2012-10-05,15,119.31
2012-10-12,15,120.2
2012-10-19,15,123.62
2012-10-26,15,119.44
2012-11-02,15,123.25
2012-11-09,15,116.15
2012-11-16,15,115.84
2012-11-23,17,120.31
2012-11-30,19,117.79
2012-12-07,16,116.57
2012-12-14,16,119.36
2012-12-21,16,128.44
2012-12-28,16,125.52
2013-01-04,16,134.51
2013-01-11,20,137.13
2013-01-18,22,144.45
2013-01-25,24,144.46
2013-02-01,20,149.9
2013-02-08,21,151.6
2013-02-15,18,154.99
2013-02-22,16,154.09
2013-03-01,16,150.53
2013-03-08,16,152.98
2013-03-15,15,154.84
2013-03-22,14,146.6
2013-04-05,44,143.69
2013-04-12,24,149.12
2013-04-19,24,138.72
2013-04-26,23,144.11
2013-05-03,19,145.37
2013-05-10,21,149.1
2013-05-17,16,158.18
2013-05-24,14,158.72
2013-05-31,14,162.08
2013-06-07,15,166.01
2013-06-14,15,162.92
2013-06-21,16,154.25
2013-06-28,20,151.25
2013-07-05,16,153.24
2013-07-12,16,160.11
2013-07-19,16,164.36
2013-07-26,20,165.26
2013-08-02,20,167.62
2013-08-09,20,162.13
2013-08-16,17,160.66
2013-08-23,18,158.65
2013-08-30,16,152.13
2013-09-06,16,156.66
2013-09-13,16,164
2013-09-20,16,169.75
2013-09-27,19,159.85
2013-10-04,22,156.55
2013-10-11,13,160
2013-10-18,17,158.69
2013-10-25,14,162.09
2013-11-01,14,162.05
2013-11-08,14,163.17
2013-11-15,24,164.4
2013-11-22,16,168.1
2013-11-29,19,168.94
2013-12-06,27,167.21
2013-12-13,20,168.39
2013-12-20,14,175.16
2013-12-27,17,176.35
2014-01-03,20,178.15
2014-01-10,13,178.39
2014-01-17,24,176.28
2014-01-24,22,167.64
2014-01-31,18,164.12
2014-02-07,17,161.93
2014-02-14,12,163.72
2014-02-21,13,164.5
2014-02-28,15,166.45
2014-03-07,15,174.26
2014-03-14,15,165.35
2014-03-21,15,166.95
2014-03-28,16,162.3
2014-04-04,18,163.24
2014-04-11,14,152.72
2014-04-25,18,158.24
