"Date","buy.KO","Price"
2009-04-17,89,45.02
2009-07-17,71,50.32
2009-11-06,60,54.49
2009-11-13,65,56.46
2009-11-20,69,57.48
2009-11-27,74,57.18
2009-12-04,74,57.49
2009-12-11,75,59.11
2009-12-18,76,56.92
2010-01-08,72,55.15
2010-01-15,73,56.29
2010-01-22,73,54.24
2010-01-29,56,54.25
2010-02-05,56,53.09
2010-02-12,56,53.98
2010-02-19,56,55.72
2010-02-26,59,52.72
2010-03-05,61,54.7
2010-03-12,63,53.35
2010-03-19,65,54.75
2010-03-26,65,54.65
2010-05-28,62,51.4
2010-06-04,61,51.27
2010-06-11,61,51.65
2010-06-18,68,52.31
2010-09-17,49,57.56
2010-09-24,48,58.62
2010-10-01,51,59.12
2010-10-08,54,59.41
2010-10-15,57,59.94
2010-10-22,45,61.61
2010-10-29,45,61.32
2010-11-05,45,62.58
2010-11-12,45,62.92
2010-11-19,73,64.32
2010-11-26,100,64.11
2010-12-03,70,64.5
2010-12-10,58,64.65
2010-12-17,68,65.7
2010-12-31,63,65.77
2011-01-07,65,62.92
2011-01-14,68,63.13
2011-01-21,55,62.77
2011-01-28,54,62.21
2011-02-04,48,62.56
2011-02-11,45,63.57
2011-02-18,45,64.55
2011-02-25,45,64.31
2011-03-04,45,65.21
2011-03-11,45,64.81
2011-03-18,49,62.7
2011-03-25,45,65.22
2011-04-01,45,67.22
2011-04-08,62,67.27
2011-04-15,43,68.01
2011-04-29,42,67.46
2011-05-06,70,66.9
2011-05-13,41,68.18
2011-05-20,41,68.3
2011-05-27,41,66.51
2011-06-03,42,65.53
2011-06-10,47,65.39
2011-06-17,53,65.62
2011-06-24,49,64.93
2011-07-01,49,68.09
2011-07-08,61,68.68
2011-07-15,45,67.53
2011-07-22,53,69.73
2011-07-29,61,68.01
2011-08-05,53,66.77
2011-08-12,60,67.14
2011-08-19,54,67.1
2011-08-26,54,68.5
2011-09-02,53,69.74
2011-09-09,41,69.37
2011-09-16,48,71.23
2011-09-23,37,67.42
2011-09-30,44,67.56
2011-10-07,44,65.9
2011-10-14,44,67.85
2011-10-21,44,68.19
2011-10-28,61,68.93
2011-11-04,47,67.78
2011-11-11,47,68.12
2011-11-18,80,67.39
2011-11-25,53,64.74
2011-12-02,42,66.38
2011-12-09,62,67.57
2011-12-16,80,67.44
2011-12-23,84,69.94
2011-12-30,50,69.97
2012-01-06,66,68.93
2012-01-13,63,66.99
2012-01-20,52,68.09
2012-01-27,62,67.44
2012-02-03,52,68.08
2012-02-10,38,67.94
2012-02-17,35,69.05
2012-02-24,45,69
2012-03-02,62,69.18
2012-03-09,42,69.51
2012-03-16,83,70.16
2012-03-23,39,71.49
2012-03-30,45,74.01
2012-04-13,77,71.94
2012-04-20,48,74.13
2012-04-27,51,76.63
2012-05-04,68,77
2012-05-11,59,77.47
2012-05-18,44,74.05
2012-05-25,54,75.23
2012-06-01,77,73.09
2012-06-08,60,75.24
2012-06-15,60,76.09
2012-06-22,51,74.94
2012-06-29,41,78.19
2012-07-06,67,78.15
2012-07-13,70,77.28
2012-07-20,54,77.03
2012-07-27,32,80.01
2012-08-03,48,80.83
2012-08-10,55,78.79
2012-08-17,42,39.53
2012-08-24,46,38.47
2012-08-31,49,37.4
2012-09-07,40,37.9
2012-09-14,58,38.12
2012-09-21,43,38.03
2012-09-28,48,37.93
2012-10-05,47,38.58
2012-10-12,49,38.23
2012-10-19,89,37.4
2012-10-26,44,37.04
2012-11-02,34,37.08
2012-11-09,51,36.29
2012-11-16,46,36.56
2012-11-23,68,37.93
2012-11-30,55,37.92
2012-12-07,69,37.71
2012-12-14,33,37.66
2012-12-21,54,36.89
2012-12-28,63,35.97
2013-01-04,42,37.66
2013-01-11,40,36.91
2013-01-18,40,37.7
2013-01-25,37,37.05
2013-02-01,39,37.54
2013-02-08,70,38.77
2013-02-15,45,37.42
2013-02-22,48,38.52
2013-03-01,46,38.7
2013-03-08,36,39.22
2013-03-15,83,38.83
2013-03-22,71,40.04
2013-04-05,56,40.08
2013-04-12,56,41.08
2013-04-19,56,42.66
2013-04-26,54,42.1
2013-05-03,60,42.24
2013-05-10,61,42.15
2013-05-17,43,42.97
2013-05-24,45,42.24
2013-05-31,43,39.99
2013-06-07,36,41.41
2013-06-14,48,40.34
2013-06-21,49,39.76
2013-06-28,54,40.11
2013-07-05,55,40.52
2013-07-12,57,41.03
2013-07-19,50,41.09
2013-07-26,31,40.64
2013-08-02,46,40.22
2013-08-09,55,40.16
2013-08-16,45,39.05
2013-08-23,56,38.52
2013-08-30,40,38.18
2013-09-06,68,38.35
2013-09-13,36,38.69
2013-09-20,50,39.4
2013-09-27,46,38.4
2013-10-04,55,37.2
2013-10-11,41,37.77
2013-10-18,42,38.78
2013-10-25,31,39.03
2013-11-01,67,39.61
2013-11-08,42,40.05
2013-11-15,57,40.22
2013-11-22,58,40.43
2013-11-29,52,40.19
2013-12-06,46,40.46
2013-12-13,54,39.23
2013-12-20,46,40.04
2013-12-27,58,40.66
2014-01-03,69,40.46
2014-01-10,41,40.13
2014-01-17,45,39.28
2014-01-24,42,38.84
2014-01-31,47,37.82
2014-02-07,56,37.95
2014-02-14,86,38.93
2014-02-21,55,37.18
2014-02-28,77,38.2
2014-03-07,47,38.55
2014-03-14,58,38.17
2014-03-21,49,38.44
2014-03-28,31,38.95
2014-04-04,53,38.22
2014-04-11,49,38.63
2014-04-25,39,41.01
