"Date","sell.CAT","Price"
2007-01-19,82,59.37
2007-07-20,90,83.2
2007-07-27,69,76.02
2007-08-03,69,78.96
2007-08-10,69,77.55
2007-08-17,69,72.64
2007-09-28,61,78.43
2007-10-05,83,80.33
2007-10-12,59,80.3
2007-10-19,59,73.57
2007-12-14,55,73.39
2007-12-21,64,72.73
2007-12-28,72,73.16
2008-01-04,88,68.53
2008-01-11,65,66.01
2008-01-18,82,62.81
2008-01-25,100,65.93
2008-02-01,66,71.76
2008-02-08,66,68.01
2008-02-15,66,69.95
2008-02-22,66,71.18
2008-02-29,67,72.33
2008-03-07,69,69.84
2008-03-14,54,74.79
2008-03-28,46,77.09
2008-04-04,59,77.83
2008-04-11,81,74.8
2008-04-18,81,85.28
2008-04-25,46,82.25
2008-05-02,46,82.8
2008-05-09,46,81.76
2008-05-16,45,83.7
2008-05-23,45,81.55
2008-05-30,45,82.64
2008-06-06,49,79.99
2008-06-13,54,81.5
2008-06-20,73,79.08
2008-06-27,65,73.75
2008-07-11,65,69.81
2008-07-18,65,70.89
2008-07-25,65,70.48
2008-08-01,68,68.14
2008-08-08,69,70.9
2008-08-15,47,70.35
2008-08-22,47,70.27
2008-08-29,48,70.73
2008-09-05,55,64.07
2008-09-12,61,65.46
2008-09-19,49,66.49
2008-09-26,45,64.13
2008-10-03,45,51.21
2008-10-10,48,43.13
2008-10-17,51,39.32
2008-10-24,54,33.3
2008-10-31,66,38.2
2008-11-07,52,38.45
2008-11-14,46,36.96
2008-11-21,46,34.67
2008-11-28,46,40.99
2008-12-05,68,38.26
2008-12-12,88,42.08
2008-12-19,61,42.69
2008-12-26,56,42.72
2009-01-02,37,46.91
2009-01-09,37,43.2
2009-01-16,61,39.55
2009-01-23,53,35.66
2009-01-30,39,30.85
2009-02-06,55,33.28
2009-02-13,51,30.94
2009-02-20,70,26.66
2009-02-27,69,24.61
2009-03-06,65,23.23
2009-03-13,51,26.78
2009-03-20,41,27.07
2009-03-27,63,30.35
2009-04-03,55,32.15
2009-04-17,59,32.29
2009-04-24,54,33.63
2009-05-01,65,37.26
2009-05-08,43,39.64
2009-05-15,36,35.74
2009-05-22,36,34.31
2009-05-29,36,35.46
2009-06-05,49,38.47
2009-06-12,33,37.73
2009-06-19,55,33.65
2009-06-26,58,34.56
2009-07-10,43,30.53
2009-07-17,57,33.99
2009-07-24,54,42
2009-07-31,64,44.06
2009-08-07,74,47.78
2009-08-14,34,46
2009-08-21,56,47.3
2009-08-28,57,46.71
2009-09-04,34,46.11
2009-09-11,65,48.53
2009-09-18,52,53.42
2009-09-25,80,51.2
2009-10-02,33,48.83
2009-10-09,48,53.64
2009-10-16,50,54.57
2009-10-23,64,57.6
2009-10-30,57,55.06
2009-11-06,66,57.6
2009-11-13,45,58.78
2009-11-20,62,57.95
2009-11-27,52,57.45
2009-12-04,36,58.3
2009-12-11,59,57.51
2009-12-18,57,57.19
2010-01-08,69,60.34
2010-01-15,43,60.12
2010-01-22,56,54.25
2010-01-29,49,52.24
2010-02-05,49,51.75
2010-02-12,67,56.2
2010-02-19,59,58.25
2010-02-26,53,57.05
2010-03-05,36,59.23
2010-03-12,28,60.36
2010-03-19,38,59.37
2010-03-26,51,62.44
2010-04-09,51,65.27
2010-04-16,46,66.88
2010-04-23,66,68.78
2010-04-30,62,68.09
2010-05-07,55,62.1
2010-05-14,40,64.88
2010-05-21,45,60.09
2010-05-28,45,60.76
2010-06-04,57,57.76
2010-06-11,58,60.23
2010-06-18,56,65.85
2010-06-25,35,64.71
2010-07-02,64,59.18
2010-07-09,74,64.72
2010-07-16,67,63.94
2010-07-23,68,69.31
2010-07-30,65,69.75
2010-08-06,67,71.56
2010-08-13,37,68.01
2010-08-20,63,68.86
2010-08-27,55,65.9
2010-09-03,65,70.08
2010-09-10,24,71.26
2010-09-17,67,73.18
2010-09-24,48,79.73
2010-10-01,58,78.22
2010-10-08,45,80.37
2010-10-15,58,79.75
2010-10-22,44,78.33
2010-10-29,81,78.6
2010-11-05,67,83.54
2010-11-12,49,81.04
2010-11-19,65,83.97
2010-11-26,32,84.13
2010-12-03,60,89.38
2010-12-10,49,89.94
2010-12-17,47,92.59
2010-12-31,41,93.66
2011-01-07,51,93.73
2011-01-14,66,94.01
2011-01-21,52,92.75
2011-01-28,48,95.68
2011-02-04,36,99.59
2011-02-11,47,103.54
2011-02-18,48,105.86
2011-02-25,50,102
2011-03-04,49,103.04
2011-03-11,66,100.02
2011-03-18,42,105.06
2011-03-25,38,109.09
2011-04-01,45,113.12
2011-04-08,43,109.82
2011-04-15,53,107.21
2011-04-29,52,115.41
2011-05-06,50,110.34
2011-05-13,62,106.33
2011-05-20,60,104.33
2011-05-27,77,104.6
2011-06-03,39,101.1
2011-06-10,59,96.79
2011-06-17,63,95.95
2011-06-24,60,100.01
2011-07-01,65,108.62
2011-07-08,48,110.41
2011-07-15,68,109.36
2011-07-22,63,105.15
2011-07-29,70,98.79
2011-08-05,52,90.99
2011-08-12,49,89.81
2011-08-19,55,79.97
2011-08-26,60,85.16
2011-09-02,52,85.38
2011-09-09,56,83.96
2011-09-16,58,85.9
2011-09-23,66,73.86
