"Date","sell.Microsoft","Price"
2006-11-17,52,29.4
2006-11-24,51,29.76
2006-12-01,51,29.12
2007-02-02,47,30.19
2007-02-09,49,28.98
2007-02-16,51,28.74
2007-02-23,52,28.9
2007-03-02,46,27.76
2007-03-09,46,27.29
2007-03-16,46,27.33
2007-07-27,45,29.39
2007-08-03,42,28.96
2007-08-10,42,28.71
2007-08-17,42,28.25
2007-08-24,42,28.81
2007-08-31,42,28.73
2007-09-07,42,28.44
2007-09-14,36,29.04
2007-09-21,36,28.65
2007-09-28,57,29.46
2007-10-05,50,29.84
2007-10-12,47,30.17
2007-10-19,37,30.17
2007-10-26,37,35.03
2007-11-02,33,37.06
2007-11-09,33,33.73
2007-11-16,33,34.09
2007-11-23,35,34.11
2007-11-30,36,33.6
2007-12-07,43,34.53
2007-12-14,38,35.31
2007-12-21,38,36.06
2007-12-28,38,36.12
2008-01-04,38,34.38
2008-01-11,31,33.91
2008-01-18,31,33.01
2008-01-25,31,32.94
2008-02-01,40,30.45
2008-02-08,37,28.56
2008-02-15,37,28.42
2008-02-22,36,27.68
2008-02-29,35,27.2
2008-03-07,38,27.87
2008-03-14,41,27.96
2008-03-28,47,27.91
2008-04-04,50,29.16
2008-04-11,38,28.28
2008-04-18,38,30
2008-04-25,38,29.83
2008-05-02,38,29.24
2008-05-09,38,29.39
2008-05-16,40,29.99
2008-05-23,46,28.05
2008-05-30,29,28.32
2008-06-06,29,27.49
2008-06-13,29,29.07
2008-06-20,29,28.23
2008-06-27,45,27.63
2008-07-11,53,25.25
2008-07-18,39,25.86
2008-07-25,36,26.16
2008-08-01,50,25.44
2008-08-08,33,28.13
2008-08-15,33,27.81
2008-08-22,49,27.84
2008-08-29,30,27.29
2008-09-05,30,25.65
2008-09-12,48,27.62
2008-09-19,26,25.16
2008-09-26,31,27.4
2008-10-03,29,26.32
2008-10-10,33,21.5
2008-10-17,30,23.93
2008-10-24,25,21.96
2008-10-31,53,22.33
2008-11-07,32,21.5
2008-11-14,32,20.06
2008-11-21,32,19.68
2008-11-28,29,20.22
2008-12-05,31,19.87
2008-12-12,42,19.36
2008-12-19,34,19.12
2008-12-26,33,19.13
2009-01-02,34,20.33
2009-01-09,35,19.52
2009-01-16,23,19.71
2009-01-23,32,17.2
2009-01-30,44,17.1
2009-02-06,38,19.66
