"Date","ABBV","Price"
2013-01-04,100,34.39
2013-01-11,52,33.85
2013-01-18,43,37.32
2013-01-25,39,37.6
2013-02-01,29,37.18
2013-02-08,26,36.25
2013-02-15,31,37.58
2013-02-22,31,38.46
2013-03-01,24,37.81
2013-03-08,27,37.34
2013-03-15,22,38.5
2013-03-22,19,38.97
2013-04-05,25,41.31
2013-04-12,28,43.09
2013-04-19,27,42.39
2013-04-26,27,45.84
2013-05-03,29,44.68
2013-05-10,27,45.01
2013-05-17,30,47.17
2013-05-24,19,45.44
2013-05-31,22,42.69
2013-06-07,28,44
2013-06-14,11,43.21
2013-06-21,16,42.62
2013-06-28,15,41.34
2013-07-05,14,42.72
2013-07-12,18,45.05
2013-07-19,21,44.52
2013-07-26,28,44.79
2013-08-02,20,45.32
2013-08-09,24,44.71
2013-08-16,16,43
2013-08-23,18,43.43
2013-08-30,19,42.61
2013-09-06,18,43.89
2013-09-13,19,44.89
2013-09-20,26,47.84
2013-09-27,22,44.33
2013-10-04,16,46.8
2013-10-11,19,45.65
2013-10-18,24,48.33
2013-10-25,23,49.3
2013-11-01,25,48.96
2013-11-08,21,48.03
2013-11-15,18,48.44
2013-11-22,27,48.94
2013-11-29,13,48.45
2013-12-06,21,51.35
2013-12-13,31,52.37
2013-12-20,27,52.59
2013-12-27,12,52.55
2014-01-03,16,52.3
2014-01-10,23,50.9
2014-01-17,21,50.06
2014-01-24,23,47.79
2014-01-31,29,49.23
2014-02-07,21,48.89
2014-02-14,19,50.73
2014-02-21,23,51.04
2014-02-28,26,50.91
2014-03-07,28,51.46
2014-03-14,23,51.21
2014-03-21,22,53.46
2014-03-28,21,50.98
2014-04-04,16,52.2
2014-04-11,26,46.46
2014-04-25,24,49.14
