"Date","ACE","Price"
2004-02-06,40,44.6
2004-02-13,41,45.14
2004-02-20,43,44.48
2004-02-27,41,44.96
2004-03-05,39,45.11
2004-03-12,37,44.18
2004-03-19,41,42.46
2004-03-26,44,42.34
2004-04-02,41,44.04
2004-04-16,42,43.35
2004-04-23,40,43.1
2004-04-30,42,43.84
2004-05-07,39,41.83
2004-05-14,43,41.38
2004-05-21,42,41.18
2004-05-28,43,41.18
2004-06-04,42,42.27
2004-06-18,41,42.4
2004-06-25,42,42.7
2004-07-02,44,41.9
2004-07-09,44,41.93
2004-07-16,44,42.28
2004-07-23,45,38.65
2004-07-30,45,40.59
2004-08-06,44,38.43
2004-08-13,45,38.28
2004-08-20,44,39.28
2004-08-27,45,39.02
2004-09-03,44,38.95
2004-09-10,44,38.85
2004-09-17,42,39.96
2004-09-24,41,39.19
2004-10-01,43,41.1
2004-10-08,42,41.04
2004-10-15,40,34.98
2004-10-22,43,34.55
2004-10-29,44,38.06
2004-11-05,45,39.09
2004-11-12,42,39.2
2004-11-19,42,38.99
2004-11-26,42,40.18
2004-12-03,39,41.04
2004-12-10,43,40.61
2004-12-17,42,42.45
2004-12-31,44,42.75
2005-01-07,41,42.5
2005-01-14,42,42.5
2005-01-21,44,42.83
2005-01-28,47,42.13
2005-02-04,46,45.98
2005-02-11,43,47.25
2005-02-18,43,44.91
2005-02-25,43,44.98
2005-03-04,41,45.62
2005-03-11,40,45.63
2005-03-18,39,43.05
2005-04-01,41,39.93
2005-04-08,41,40.2
2005-04-15,40,39.29
2005-04-22,41,40.02
2005-04-29,40,42.96
2005-05-06,42,43.38
2005-05-13,40,41.81
2005-05-20,42,43.36
2005-05-27,41,43.4
2005-06-03,41,43.27
2005-06-10,39,44.69
2005-06-17,40,45.9
2005-06-24,43,43.84
2005-07-01,40,45.29
2005-07-08,40,45.4
2005-07-15,41,45.88
2005-07-22,42,46.51
2005-07-29,40,46.21
2005-08-05,42,45.73
2005-08-12,39,44.88
2005-08-19,41,45.11
2005-08-26,39,45.05
2005-09-02,39,44.63
2005-09-09,38,44.18
2005-09-16,38,47.31
2005-09-23,39,45.88
2005-09-30,39,47.07
2005-10-07,39,47.96
2005-10-14,40,49.07
2005-10-21,38,50.14
2005-10-28,38,51.55
2005-11-04,37,53.49
2005-11-11,37,55.9
2005-11-18,36,55.74
2005-11-25,38,56.05
2005-12-02,37,55.5
2005-12-09,39,54.94
2005-12-16,38,54.8
2005-12-23,37,53.83
2005-12-30,38,53.44
2006-01-06,39,56.06
2006-01-13,39,54.9
2006-01-20,38,52.9
2006-01-27,36,53.64
2006-02-03,38,54.08
2006-02-10,36,52.91
2006-02-17,36,54.52
2006-02-24,41,55.35
2006-03-03,38,54.82
2006-03-10,39,54.93
2006-03-17,38,56.43
2006-03-24,40,53.91
2006-03-31,40,52.01
2006-04-07,39,51.19
2006-04-21,45,53.97
2006-04-28,40,55.54
2006-05-05,40,54.34
2006-05-12,40,53
2006-05-19,39,52.51
2006-05-26,41,52.67
2006-06-02,40,50.94
2006-06-09,40,50.12
