"Date","ADP","Price"
2004-02-06,39,43.13
2004-02-13,43,43.84
2004-02-20,49,43.07
2004-02-27,42,42.45
2004-03-05,41,43.19
2004-03-12,37,42.07
2004-03-19,45,41.3
2004-03-26,38,41.18
2004-04-02,40,44.25
2004-04-16,42,45.62
2004-04-23,35,45.33
2004-04-30,35,43.81
2004-05-07,36,46.03
2004-05-14,44,45.48
2004-05-21,38,44.28
2004-05-28,47,44.43
2004-06-04,42,44.42
2004-06-18,40,43.54
2004-06-25,42,42.44
2004-07-02,43,39.9
2004-07-09,46,40.51
2004-07-16,47,40.01
2004-07-23,46,39.62
2004-07-30,50,41.98
2004-08-06,40,39.27
2004-08-13,44,39.2
2004-08-20,43,39.95
2004-08-27,47,39.86
2004-09-03,42,41.14
2004-09-10,41,41.45
2004-09-17,46,42.63
2004-09-24,42,41.52
2004-10-01,40,42.06
2004-10-08,38,41.66
2004-10-15,37,40.85
2004-10-22,39,40.04
2004-10-29,42,43.39
2004-11-05,41,44.62
2004-11-12,44,45.37
2004-11-19,42,44.99
2004-11-26,35,45.29
2004-12-03,38,45.99
2004-12-10,44,44.79
2004-12-17,40,43.94
2004-12-31,41,44.35
2005-01-07,46,42.6
2005-01-14,44,42.4
2005-01-21,45,42.83
2005-01-28,45,43.2
2005-02-04,42,44.15
2005-02-11,48,42.94
2005-02-18,46,41.96
2005-02-25,53,43
2005-03-04,59,42.86
2005-03-11,43,43.51
2005-03-18,47,44.78
2005-04-01,39,44.83
2005-04-08,45,45.23
2005-04-15,46,43.46
2005-04-22,44,44.34
2005-04-29,44,43.44
2005-05-06,46,44.02
2005-05-13,44,43.99
2005-05-20,41,44.7
2005-05-27,43,44.52
2005-06-03,42,43.65
2005-06-10,40,42.92
2005-06-17,46,42.77
2005-06-24,49,40.69
2005-07-01,49,42.28
2005-07-08,48,41.97
2005-07-15,44,42.84
2005-07-22,46,43.94
2005-07-29,46,44.41
2005-08-05,47,43.99
2005-08-12,47,44.52
2005-08-19,43,43.99
2005-08-26,48,43.39
2005-09-02,53,42.47
2005-09-09,39,42.68
2005-09-16,42,41.7
2005-09-23,45,42.07
2005-09-30,43,43.04
2005-10-07,49,43.15
2005-10-14,42,43.11
2005-10-21,38,42.69
2005-10-28,40,46.84
2005-11-04,44,46.57
2005-11-11,40,47.43
2005-11-18,44,47.7
2005-11-25,37,47.03
2005-12-02,42,47.31
2005-12-09,42,46.66
2005-12-16,48,46.6
2005-12-23,48,46.5
2005-12-30,46,45.9
2006-01-06,49,46.49
2006-01-13,47,45.75
2006-01-20,48,45.31
2006-01-27,46,44.77
2006-02-03,51,44
2006-02-10,47,45.7
2006-02-17,44,44.84
2006-02-24,43,44.89
2006-03-03,44,46.28
2006-03-10,43,47.69
2006-03-17,43,47.16
2006-03-24,40,46.75
2006-03-31,45,45.68
2006-04-07,47,46.46
2006-04-21,45,45.71
2006-04-28,48,44.08
2006-05-05,43,44.48
2006-05-12,41,44
2006-05-19,39,45.41
2006-05-26,43,45.98
2006-06-02,51,45.75
2006-06-09,51,44.59
2006-06-16,64,44.9
2006-06-23,56,44.29
2006-06-30,52,45.35
2006-07-07,52,44.01
2006-07-14,50,43.03
2006-07-21,51,42.71
2006-07-28,49,43.91
2006-08-04,53,46.11
2006-08-11,51,46.11
2006-08-18,51,47.28
2006-08-25,46,46.6
2006-09-01,58,48
2006-09-08,45,47.42
2006-09-15,44,47.37
2006-09-22,46,46.83
2006-09-29,44,47.34
