"Date","AZO","Price"
2004-02-06,36,88.62
2004-02-13,41,88.84
2004-02-20,42,90.3
2004-02-27,48,89.7
2004-03-05,42,85.01
2004-03-12,42,83.02
2004-03-19,51,83.68
2004-03-26,39,85.52
2004-04-02,29,85.6
2004-04-16,40,83.26
2004-04-23,44,85.95
2004-04-30,36,87.57
2004-05-07,24,83.5
2004-05-14,36,84.25
2004-05-21,37,82.64
2004-05-28,42,86.75
2004-06-04,36,87.53
2004-06-18,37,88.76
2004-06-25,37,89.8
2004-07-02,40,78.8
2004-07-09,33,78.28
2004-07-16,37,75.35
2004-07-23,53,76.37
2004-07-30,29,77.2
2004-08-06,36,73.81
2004-08-13,62,74.15
2004-08-20,50,77.73
2004-08-27,24,75.36
2004-09-03,37,75.69
2004-09-10,40,75.48
2004-09-17,42,76.05
2004-09-24,38,75.73
2004-10-01,41,77.05
2004-10-08,47,77.1
2004-10-15,54,78.27
2004-10-22,26,80
2004-10-29,32,81.81
2004-11-05,38,85.83
2004-11-12,27,85.13
2004-11-19,45,86.3
2004-11-26,35,86.9
2004-12-03,29,86.14
2004-12-10,36,88.74
2004-12-17,34,89.25
2004-12-31,29,91.31
2005-01-07,33,89.73
2005-01-14,35,90.69
2005-01-21,47,90.03
2005-01-28,41,88.55
2005-02-04,48,95.95
2005-02-11,48,94.93
2005-02-18,57,94.99
2005-02-25,31,96.89
2005-03-04,32,98.4
2005-03-11,42,98.3
2005-03-18,40,86.52
2005-04-01,38,85.03
2005-04-08,40,85.29
2005-04-15,62,82.78
2005-04-22,35,82.34
2005-04-29,42,83
2005-05-06,41,84.77
2005-05-13,34,82.72
2005-05-20,37,88.83
2005-05-27,47,90.66
2005-06-03,33,91.76
2005-06-10,38,91.48
2005-06-17,44,94
2005-06-24,29,90.78
2005-07-01,37,93.19
2005-07-08,34,96.9
2005-07-15,35,98.1
2005-07-22,30,99.14
2005-07-29,23,97.44
2005-08-05,40,100.49
2005-08-12,44,98.34
2005-08-19,28,95.64
2005-08-26,44,95.45
2005-09-02,38,92.65
2005-09-09,33,95.46
2005-09-16,30,93.02
2005-09-23,32,88.06
2005-09-30,46,83.25
2005-10-07,29,82.32
2005-10-14,37,82
2005-10-21,45,78.4
2005-10-28,38,79.73
2005-11-04,36,86.04
2005-11-11,31,86.74
2005-11-18,42,88.1
2005-11-25,35,88.94
2005-12-02,41,89.04
2005-12-09,33,94.28
2005-12-16,36,92.16
2005-12-23,27,92.42
2005-12-30,27,91.75
2006-01-06,38,91.01
2006-01-13,30,95.78
2006-01-20,32,94.78
2006-01-27,31,95.82
2006-02-03,36,97.2
2006-02-10,36,98.05
2006-02-17,49,99.3
2006-02-24,31,99.42
2006-03-03,32,95.81
2006-03-10,34,96.83
2006-03-17,42,97.22
2006-03-24,31,98.26
2006-03-31,35,99.69
2006-04-07,27,99.5
2006-04-21,25,95.19
2006-04-28,32,93.61
2006-05-05,25,92.7
2006-05-12,35,91.35
2006-05-19,34,90.5
2006-05-26,34,88.92
2006-06-02,34,91.7
2006-06-09,30,92.94
2006-06-16,37,92.54
2006-06-23,33,93.52
2006-06-30,36,88.2
2006-07-07,40,86.28
2006-07-14,34,84.42
2006-07-21,30,85
2006-07-28,31,87.15
2006-08-04,35,89.01
2006-08-11,32,88.67
2006-08-18,41,89.35
2006-08-25,32,87.21
2006-09-01,33,91.25
2006-09-08,31,90.49
2006-09-15,33,95.61
2006-09-22,37,100.66
2006-09-29,39,103.3
2006-10-06,24,107.48
2006-10-13,34,108.77
2006-10-20,31,112.22
2006-10-27,32,110.9
2006-11-03,30,109.3
2006-11-10,30,113.13
2006-11-17,32,114.79
2006-11-24,24,114.92
2006-12-01,40,113.38
2006-12-08,35,117.73
2006-12-15,24,116.99
2006-12-22,24,116.5
2006-12-29,27,115.56
2007-01-05,29,118.83
2007-01-12,41,124.61
2007-01-19,30,125.09
2007-01-26,34,124.75
2007-02-02,31,126.85
2007-02-09,26,125.56
2007-02-16,34,126.82
2007-02-23,30,131
2007-03-02,30,122.53
2007-03-09,27,127.28
2007-03-16,33,124.6
2007-03-23,36,129.06
2007-03-30,31,128.14
2007-04-13,31,130.61
2007-04-20,34,133.73
2007-04-27,29,133.19
2007-05-04,24,132.3
2007-05-11,32,134.8
2007-05-18,34,134.51
2007-05-25,32,127.03
2007-06-01,28,130.09
2007-06-08,30,131.68
2007-06-15,26,137.39
2007-06-22,33,137.09
2007-06-29,30,136.62
2007-07-06,34,139.92
2007-07-13,29,135.88
2007-07-20,27,133.72
2007-07-27,36,127.45
2007-08-03,35,122.04
2007-08-10,34,115.88
2007-08-17,27,118.17
2007-08-24,32,123.26
2007-08-31,38,121.29
2007-09-07,32,111.49
2007-09-14,35,109.9
2007-09-21,35,113.91
2007-09-28,34,116.14
2007-10-05,30,124.59
2007-10-12,35,123.7
2007-10-19,43,118.67
2007-10-26,28,123.08
2007-11-02,32,121.15
2007-11-09,31,113.68
2007-11-16,34,111.64
2007-11-23,31,107.24
2007-11-30,32,111.63
2007-12-07,39,129.87
2007-12-14,31,120.07
2007-12-21,33,122.39
2007-12-28,29,118.85
2008-01-04,30,110.58
2008-01-11,34,106.09
2008-01-18,25,106.06
2008-01-25,34,112.03
2008-02-01,32,121.59
2008-02-08,28,115.62
2008-02-15,29,113.62
2008-02-22,32,115.31
2008-02-29,37,115.08
2008-03-07,39,112.83
2008-03-14,36,113.61
2008-03-28,27,113.25
2008-04-04,35,116.98
2008-04-11,36,116.96
2008-04-18,28,122.42
2008-04-25,43,123.85
2008-05-02,38,123.9
2008-05-09,33,122.44
2008-05-16,35,127.21
2008-05-23,39,127.28
2008-05-30,34,126.56
2008-06-06,36,121.74
2008-06-13,35,119.52
2008-06-20,32,115
2008-06-27,38,120.13
2008-07-11,34,117.68
2008-07-18,26,126.01
2008-07-25,36,127.87
2008-08-01,28,131.33
2008-08-08,27,138.35
2008-08-15,39,138.59
2008-08-22,33,136.72
2008-08-29,30,137.23
2008-09-05,33,138.19
2008-09-12,36,138.5
2008-09-19,31,130.79
2008-09-26,38,129.35
2008-10-03,36,117.4
2008-10-10,32,99.7
2008-10-17,35,106.6
2008-10-24,32,102.7
2008-10-31,34,127.29
2008-11-07,34,118.94
2008-11-14,35,105.76
2008-11-21,33,92.41
2008-11-28,30,109.22
2008-12-05,37,121.48
2008-12-12,35,129.6
2008-12-19,31,131.62
2008-12-26,27,132.23
2009-01-02,34,140.57
2009-01-09,40,133.06
2009-01-16,37,132.61
2009-01-23,34,133.15
2009-01-30,36,132.89
2009-02-06,33,143.96
2009-02-13,30,136.7
2009-02-20,32,146.39
2009-02-27,35,142.23
2009-03-06,39,152.76
2009-03-13,39,160.51
2009-03-20,37,160.03
2009-03-27,34,164.19
2009-04-03,36,160.3
2009-04-17,37,166.38
2009-04-24,41,161.68
2009-05-01,37,162.27
2009-05-08,38,157.47
2009-05-15,35,158.01
2009-05-22,36,155.65
2009-05-29,35,152.15
2009-06-05,37,159.57
2009-06-12,32,155.5
2009-06-19,41,155.73
2009-06-26,35,149.85
2009-07-10,30,153.92
2009-07-17,34,156.98
2009-07-24,34,157.24
2009-07-31,34,153.57
2009-08-07,37,151.32
2009-08-14,38,143.92
2009-08-21,36,153.25
2009-08-28,38,148.45
2009-09-04,30,148.18
2009-09-11,35,146.45
2009-09-18,36,152.09
2009-09-25,37,143.97
2009-10-02,39,146.05
2009-10-09,37,145.92
2009-10-16,33,144.52
2009-10-23,35,137.62
2009-10-30,33,135.31
2009-11-06,32,140.32
2009-11-13,37,143.67
2009-11-20,40,147.42
2009-11-27,32,150.05
2009-12-04,33,152.08
2009-12-11,36,155.78
2009-12-18,30,158.29
2010-01-08,36,155.28
2010-01-15,31,155.08
2010-01-22,34,155.87
2010-01-29,34,155.03
2010-02-05,36,155.38
2010-02-12,32,160.85
2010-02-19,35,163.67
2010-02-26,29,165.93
2010-03-05,36,168.79
2010-03-12,34,168.89
2010-03-19,37,172.28
2010-03-26,36,174.22
2010-04-09,35,175.29
2010-04-16,37,180.11
2010-04-23,37,184.05
2010-04-30,31,185.01
2010-05-07,33,176.08
2010-05-14,36,180.31
2010-05-21,36,183.47
2010-05-28,40,190.88
2010-06-04,36,188.89
2010-06-11,32,189.3
2010-06-18,39,195.31
2010-06-25,32,196.13
2010-07-02,37,195.01
2010-07-09,41,200.12
2010-07-16,38,202.25
2010-07-23,40,207
2010-07-30,41,211.57
2010-08-06,38,207.39
2010-08-13,40,207.86
2010-08-20,38,213.07
2010-08-27,41,214.65
2010-09-03,41,218.45
2010-09-10,39,217.9
2010-09-17,35,220.88
2010-09-24,37,225.73
2010-10-01,38,228.83
2010-10-08,38,232.81
2010-10-15,39,232.96
2010-10-22,40,234.72
2010-10-29,43,237.63
2010-11-05,36,239.87
2010-11-12,35,250.68
2010-11-19,39,251.2
2010-11-26,38,259.48
2010-12-03,38,265.2
2010-12-10,41,264.74
2010-12-17,46,269.99
2010-12-31,33,272.59
2011-01-07,38,250.67
2011-01-14,39,252.62
2011-01-21,41,252.13
2011-01-28,38,251.06
2011-02-04,36,258.7
2011-02-11,37,260.88
2011-02-18,35,255.64
2011-02-25,37,255.39
2011-03-04,42,265.42
2011-03-11,40,265.93
2011-03-18,36,262.98
2011-03-25,37,275.49
2011-04-01,42,274.67
2011-04-08,38,276.26
2011-04-15,39,280.08
2011-04-29,38,282.38
2011-05-06,37,281.56
2011-05-13,40,286.3
2011-05-20,46,276.6
2011-05-27,36,296.71
2011-06-03,37,285.48
2011-06-10,40,290.2
2011-06-17,45,291.71
2011-06-24,40,291.6
2011-07-01,41,297.62
2011-07-08,36,298.28
2011-07-15,38,297.28
2011-07-22,39,295.85
2011-07-29,41,285.45
2011-08-05,40,278.74
2011-08-12,38,287.61
2011-08-19,41,291.42
2011-08-26,36,301.3
2011-09-02,36,310.85
2011-09-09,34,314.49
