"Date","AbbVie","Price"
2013-01-04,100,34.39
2013-01-11,63,33.85
2013-01-18,46,37.32
2013-01-25,44,37.6
2013-02-01,46,37.18
2013-02-08,35,36.25
2013-02-15,41,37.58
2013-02-22,43,38.46
2013-03-01,40,37.81
2013-03-08,44,37.34
2013-03-15,43,38.5
2013-03-22,43,38.97
2013-04-05,43,41.31
2013-04-12,48,43.09
2013-04-19,45,42.39
2013-04-26,47,45.84
2013-05-03,45,44.68
2013-05-10,42,45.01
2013-05-17,53,47.17
2013-05-24,44,45.44
2013-05-31,45,42.69
2013-06-07,50,44
2013-06-14,50,43.21
2013-06-21,45,42.62
2013-06-28,46,41.34
2013-07-05,37,42.72
2013-07-12,47,45.05
2013-07-19,47,44.52
2013-07-26,48,44.79
2013-08-02,50,45.32
2013-08-09,45,44.71
2013-08-16,48,43
2013-08-23,46,43.43
2013-08-30,44,42.61
2013-09-06,45,43.89
2013-09-13,48,44.89
2013-09-20,51,47.84
2013-09-27,53,44.33
2013-10-04,50,46.8
2013-10-11,52,45.65
2013-10-18,55,48.33
2013-10-25,63,49.3
2013-11-01,56,48.96
2013-11-08,54,48.03
2013-11-15,49,48.44
2013-11-22,54,48.94
2013-11-29,41,48.45
2013-12-06,49,51.35
2013-12-13,56,52.37
2013-12-20,50,52.59
2013-12-27,25,52.55
2014-01-03,31,52.3
2014-01-10,57,50.9
2014-01-17,60,50.06
2014-01-24,57,47.79
2014-01-31,62,49.23
2014-02-07,63,48.89
2014-02-14,62,50.73
2014-02-21,60,51.04
2014-02-28,68,50.91
2014-03-07,56,51.46
2014-03-14,62,51.21
2014-03-21,60,53.46
2014-03-28,60,50.98
2014-04-04,59,52.2
2014-04-11,63,46.46
2014-04-25,63,49.14
