"Date","Alliance.Data.Systems","Price"
2004-09-10,94,39.62
2005-02-18,71,39.29
2005-02-25,75,39.45
2005-05-06,76,38.87
2005-05-13,77,35.95
2005-05-20,78,37.95
2005-05-27,79,37.71
2005-06-03,80,37
2005-06-10,90,36.9
2005-06-17,74,39.11
2005-06-24,74,39.95
2005-07-01,74,41
2005-07-08,74,41.85
2005-07-15,74,43.44
2005-07-22,100,43.55
2005-09-16,68,40.86
2005-09-23,64,40.66
2005-09-30,66,39.15
2005-10-07,60,37.93
2005-10-14,60,37.62
2005-10-21,60,36.9
2005-10-28,60,34.73
2005-11-04,60,36.04
2006-01-13,53,39.1
2006-01-20,50,40.63
2006-01-27,50,42.45
2006-02-03,50,43.73
2006-02-10,50,43.04
2006-04-07,47,46.07
2006-04-21,49,56.07
2006-06-23,52,55.8
2006-06-30,43,58.82
2006-07-07,43,57.68
2006-07-14,43,53.98
2006-07-21,43,50.41
2006-07-28,43,51.39
2006-10-20,46,60.46
2006-10-27,33,59.95
2006-11-03,33,59.2
2006-11-10,33,62.38
2006-11-17,33,64.83
2006-11-24,35,64.16
2006-12-01,36,64.95
2006-12-08,38,64.09
2006-12-15,39,63.88
2006-12-22,37,61.28
2006-12-29,37,62.47
2007-01-05,37,64.66
2007-01-12,39,65.42
2007-01-19,42,64.04
2007-01-26,45,66.95
2007-02-02,47,66.43
2007-02-09,39,63.56
2007-02-16,39,62.82
2007-02-23,39,62.95
2007-03-02,31,58.65
2007-03-09,31,57.56
2007-03-16,31,59.84
2007-03-23,31,63.39
2007-03-30,28,61.62
2007-04-13,28,65.54
2007-04-20,28,63.96
2007-04-27,28,64.27
2007-05-04,28,64.33
2007-05-11,28,62.88
2007-05-18,57,78.33
2007-05-25,39,77.75
2007-06-01,31,77.81
2007-06-08,26,77.74
2007-06-15,26,77.3
2007-06-22,26,77.56
2007-06-29,26,77.28
2007-07-06,26,78.16
2007-07-13,26,77.35
2007-08-24,25,77.15
2007-08-31,27,78.45
2007-09-07,29,78.8
2007-09-14,23,78.64
2007-09-21,24,78.54
2007-09-28,24,77.44
2007-10-05,24,79.04
2007-10-12,25,79.65
2007-10-19,24,80.6
2007-10-26,24,80.41
2007-11-02,24,80.1
2007-11-09,19,77.26
2007-11-16,19,77.74
2007-11-23,23,77.46
2007-11-30,27,77.7
2007-12-07,31,78.25
2007-12-14,33,76.46
2007-12-21,35,74.7
2007-12-28,37,73.67
2008-01-04,39,72
2008-01-11,41,68.25
2008-01-18,32,61.93
2008-01-25,21,65.6
2008-02-01,66,53.9
2008-02-08,40,55.02
2008-02-15,27,55.4
2008-02-22,24,51.36
2008-02-29,24,50.63
2008-03-07,24,45.5
2008-03-14,24,46.63
2008-03-28,23,47.38
2008-04-04,22,48.48
2008-04-11,25,47.9
2008-04-18,28,52.84
2008-04-25,21,56.06
2008-05-02,21,58.83
2008-05-09,18,59.11
2008-05-16,18,59.94
2008-05-23,19,56.55
2008-05-30,20,60.04
2008-07-11,21,51.79
2008-07-18,32,59.6
2008-07-25,23,62.26
2008-08-01,23,64.68
2008-08-08,23,65.47
2008-08-15,22,65.14
2008-08-22,22,63.98
2008-08-29,22,64.24
2008-09-05,22,63.2
2008-09-12,20,64.64
2008-09-19,20,60.67
2008-09-26,20,62.24
2008-10-03,20,59.9
2008-10-10,20,44.4
2008-10-17,16,46.93
2008-10-24,16,45.29
2009-01-09,18,44.58
2009-01-16,16,42.34
2009-01-23,16,39.75
2009-01-30,17,41.59
2009-02-06,19,41.5
2009-02-13,20,35.97
2009-02-20,21,29.6
2009-02-27,23,29.6
2009-03-06,14,23.78
2009-03-13,14,30.78
2009-03-20,14,31.44
2009-03-27,14,36.34
2009-04-03,14,38.4
2009-04-17,14,44.22
2009-04-24,15,42.4
2009-05-01,14,41.56
2009-05-08,15,42.9
2009-05-15,15,38.82
2009-05-22,16,38.62
2009-05-29,16,40.5
2009-06-05,15,43.25
2009-06-12,17,48.28
2009-06-19,18,43.48
2009-06-26,19,40.3
2009-07-10,15,37.63
2009-07-17,18,46.3
2009-07-24,21,50.48
2009-07-31,18,51
2009-08-07,19,57.26
2009-08-14,19,59.51
2009-08-21,19,56.66
2009-08-28,13,56.96
2009-09-04,13,55.71
2009-09-11,14,58.83
2009-09-18,15,63.96
2009-09-25,16,59.07
2009-10-02,15,58.9
2009-10-09,15,60.94
2009-10-16,14,66.48
2009-10-23,14,60.28
2009-10-30,12,54.98
2009-11-06,13,59.13
2009-11-13,14,60.52
2010-01-08,17,67.68
