"Date","American.Express.Co","Price"
2007-02-02,77,58.16
2007-06-01,74,65.07
2007-07-27,100,58.55
2007-10-19,68,57.11
2007-10-26,61,60.67
2007-11-02,60,58.42
2007-11-09,60,56.49
2007-11-16,60,58.67
2007-11-23,58,55.63
2007-11-30,58,58.98
2007-12-07,58,56.96
2007-12-14,61,52.29
2007-12-21,63,51.95
2007-12-28,56,50.84
2008-01-04,56,49.14
2008-01-11,56,44
2008-01-18,56,43.61
2008-01-25,51,45.44
2008-02-01,50,49.6
2008-02-08,56,44.98
2008-02-15,62,45.11
2008-02-22,68,45.06
2008-02-29,73,42.3
2008-03-07,68,41.53
2008-03-14,68,41.01
2008-03-28,49,43.15
2008-04-04,49,46.11
2008-04-11,50,43.39
2008-04-18,52,45.53
2008-04-25,53,47.77
2008-05-02,55,50.4
2008-05-09,59,48.96
2008-05-16,52,48.68
2008-05-23,57,45.45
2008-05-30,62,46.35
2008-06-06,53,44.65
2008-06-13,53,44.66
2008-06-20,56,41.18
2008-06-27,59,38.04
2008-07-11,66,39.21
2008-07-18,69,42.19
2008-07-25,50,36.62
2008-08-01,48,37.19
2008-08-08,59,37.81
2008-08-15,60,39.07
2008-08-22,57,38.79
2008-08-29,51,39.68
2008-09-05,45,39.4
2008-09-12,52,38.95
2008-09-19,43,40.4
2008-09-26,43,39.5
2008-10-03,60,30.87
2008-10-10,51,23.15
2008-10-17,42,23.33
2008-10-24,74,24.05
2008-10-31,51,27.5
2008-11-07,64,25.31
2008-11-14,48,19.99
2008-11-21,55,18.69
2008-11-28,61,23.31
2008-12-05,68,21.78
2008-12-12,49,20.34
2008-12-19,50,19.43
2008-12-26,50,17.91
2009-01-02,50,19.33
2009-01-09,51,19.23
2009-01-16,38,17.01
2009-01-23,40,16
2009-01-30,42,16.73
2009-02-06,54,17.93
2009-02-13,66,15.74
2009-02-20,41,12.97
2009-02-27,41,12.06
2009-03-06,40,10.26
2009-03-13,40,13.09
2009-03-20,47,12.26
2009-03-27,39,14.45
2009-04-03,51,15.33
2009-04-17,45,21.81
2009-04-24,43,25.3
2009-05-01,36,24.29
2009-05-08,43,28.4
2009-05-15,49,24.23
2009-05-22,42,23.4
2009-05-29,49,24.85
2009-06-05,35,24.95
2009-06-12,41,25.16
2009-06-19,41,24.64
2009-06-26,43,23.76
2009-07-10,35,23.22
2009-07-17,46,28.03
2009-07-24,39,29.51
2009-07-31,65,28.33
2009-08-07,65,32.69
2009-08-14,46,31.72
2009-08-21,36,32.85
2009-08-28,36,34.24
2009-09-04,36,32.84
2009-09-11,36,34.17
2009-09-18,36,34.77
2009-09-25,32,33.07
2009-10-02,44,32.49
2009-10-09,45,34.94
2009-10-16,46,34.95
2009-10-23,46,34.58
2009-10-30,40,34.84
2009-11-06,30,37.21
2009-11-13,36,40.35
2009-11-20,66,40.93
2009-11-27,53,40.84
2009-12-04,48,39.3
2009-12-11,48,40.73
2009-12-18,37,40.51
2010-01-08,59,41.95
2010-01-15,51,42.39
2010-01-22,48,38.59
2010-01-29,39,37.66
2010-02-05,39,37.85
2010-02-12,33,38.42
2010-02-19,45,39.06
2010-02-26,60,38.19
2010-03-05,47,40.2
2010-03-12,27,40.76
2010-03-19,49,40.33
2010-03-26,49,41.12
2010-04-09,37,43.88
2010-04-16,52,45.1
2010-04-23,27,48.05
2010-04-30,44,46.12
2010-05-07,34,40.6
2010-05-14,31,40.64
2010-05-21,34,39.82
2010-05-28,28,39.87
2010-06-04,34,38.41
2010-06-11,34,40.13
2010-06-18,34,42.03
2010-06-25,43,42.67
2010-07-02,41,39.42
2010-07-09,41,42.58
2010-07-16,29,41.38
2010-07-23,35,44.79
2010-07-30,45,44.64
2010-08-06,57,43.5
2010-08-13,40,41.73
2010-08-20,35,40.76
2010-08-27,33,40.91
2010-09-03,47,41.8
2010-09-10,48,40.19
2010-09-17,42,41.37
2010-09-24,24,43.13
2010-10-01,52,41.78
2010-10-08,45,37.99
2010-10-15,38,39.09
2010-10-22,28,39.03
2010-10-29,31,41.46
2010-11-05,35,44.07
2010-11-12,53,42.7
2010-11-19,50,42.75
2010-11-26,41,42.27
2010-12-03,31,44.88
2010-12-10,48,46.26
2010-12-17,41,44.01
2010-12-31,59,42.92
2011-01-07,59,44.36
2011-01-14,38,46.25
2011-01-21,34,46
2011-01-28,55,43.86
2011-02-04,40,43.82
2011-02-11,31,46.75
2011-02-18,29,45.53
2011-02-25,37,43.53
2011-03-04,30,43.72
2011-03-11,39,44.28
2011-03-18,27,44.17
2011-03-25,45,45.59
2011-04-01,33,45.36
2011-04-08,27,46.28
2011-04-15,39,46.25
2011-04-29,28,49.08
2011-05-06,35,50.2
2011-05-13,43,49.49
2011-05-20,39,51.19
2011-05-27,41,51.13
2011-06-03,40,49.28
2011-06-10,28,47.74
2011-06-17,31,48.5
2011-06-24,37,48.34
2011-07-01,37,52.34
2011-07-08,33,53.07
2011-07-15,35,51.81
2011-07-22,43,52.24
2011-07-29,39,50.04
2011-08-05,31,47.21
2011-08-12,34,44.89
2011-08-19,36,44.47
2011-08-26,37,48.48
2011-09-02,25,48.51
2011-09-09,32,47.28
2011-09-16,30,50.12
2011-09-23,35,46.45
2011-09-30,33,44.9
2011-10-07,38,43.43
2011-10-14,23,46.1
2011-10-21,37,48.46
2011-10-28,20,52.1
2011-11-04,27,51.18
2011-11-11,43,50.37
2011-11-18,37,46.88
2011-11-25,43,45
2011-12-02,51,48.23
2011-12-09,31,48.8
2011-12-16,37,46.88
2011-12-23,42,47.95
2011-12-30,45,47.17
2012-01-06,44,48.27
2012-01-13,41,49.76
2012-01-20,34,50.04
2012-01-27,24,49.85
2012-02-03,55,52.25
2012-02-10,40,51.81
2012-02-17,36,52.86
2012-02-24,45,53.33
2012-03-02,21,52.99
2012-03-09,21,53.2
2012-03-16,34,56.55
2012-03-23,34,57.25
2012-03-30,49,57.86
2012-04-13,37,57.28
2012-04-20,33,57.45
2012-04-27,40,60.17
2012-05-04,28,60.1
2012-05-11,32,59.64
2012-05-18,16,55.4
2012-05-25,37,55.81
2012-06-01,34,53.43
2012-06-08,43,55.86
2012-06-15,44,56.28
2012-06-22,24,56.79
2012-06-29,26,58.21
2012-07-06,32,58.63
2012-07-13,54,57.93
2012-07-20,46,55.81
2012-07-27,39,58.53
2012-08-03,41,57.61
2012-08-10,39,55.85
2012-08-17,41,57.59
2012-08-24,39,57.49
2012-08-31,39,58.3
