"Date","BBBY","Price"
2005-11-18,32,42.31
2006-01-27,34,37.56
2006-02-03,31,36.65
2006-02-10,31,35.82
2006-02-17,31,35.55
2006-02-24,31,35.72
2006-04-07,29,40.37
2006-06-23,34,34.23
2006-08-11,24,34.74
2006-09-22,29,38.4
2006-11-10,21,39.99
2006-12-22,22,38.04
2006-12-29,26,38.1
2007-01-05,27,38.87
2007-01-12,28,41.59
2007-01-19,17,41.93
2007-01-26,17,40.7
2007-02-02,19,41.82
2007-02-09,21,41.86
2007-02-16,20,42.6
2007-02-23,17,42.57
2007-04-13,23,40.73
2007-04-20,19,41.65
2007-04-27,19,41.33
2007-06-08,19,37.62
2007-06-15,19,37.96
2007-06-22,19,37.14
2007-06-29,19,35.99
2007-07-06,17,36.72
2007-07-13,17,36.26
2007-07-20,17,36.83
2007-07-27,17,34.69
2007-08-03,17,34.23
2007-08-10,17,35.36
2007-08-17,17,34.25
2007-08-24,16,35.26
2007-08-31,16,34.64
2007-09-07,13,32.77
2007-09-14,13,33.43
2007-09-21,15,33.43
2007-09-28,19,34.12
2007-10-05,13,36.06
2007-10-12,13,35.06
2007-10-19,13,33.16
2007-10-26,13,33.52
2007-11-02,13,32.58
2007-11-09,13,30.64
2007-11-16,12,31.41
2007-11-23,13,30.62
2007-11-30,14,31.45
2007-12-07,15,32.34
2007-12-14,16,29.51
2007-12-21,17,29.15
2007-12-28,28,29.11
2008-01-04,39,26.19
2008-01-11,18,26.14
2008-01-18,17,27.05
2008-01-25,12,29.36
2008-02-01,12,32.38
2008-02-08,12,29.88
2008-02-15,13,29.25
2008-02-22,14,28.95
2008-02-29,14,28.34
2008-03-07,14,27.06
2008-03-14,14,28.86
2008-03-28,17,29.11
2008-04-04,20,31.6
2008-04-11,23,30.23
2008-04-18,16,32.39
2008-04-25,11,33.43
2008-05-02,11,33.1
2008-05-09,13,32.19
2008-05-16,10,33.78
2008-05-23,10,30.85
2008-05-30,10,31.86
2008-06-06,10,30.47
2008-06-13,10,30.03
2008-06-20,10,28.81
2008-06-27,11,29.06
2008-07-11,13,27.25
2008-07-18,14,29.26
2008-07-25,15,28.01
2008-08-01,14,27.57
2008-08-08,12,29.42
2008-08-15,12,29.97
2008-08-22,10,30.36
2008-08-29,10,30.66
2008-09-05,9,31.12
2008-09-12,9,32.06
2008-09-19,9,32.76
2008-09-26,12,32.24
2008-10-03,9,29.34
2008-10-10,9,26.19
2008-10-17,10,25.14
2008-10-24,11,23.41
2008-10-31,13,25.77
2008-11-07,14,22.98
2008-11-14,15,20.6
2008-11-21,11,17.54
2008-11-28,11,20.29
2008-12-05,12,24.59
2008-12-12,11,24.56
2008-12-19,9,26.01
2008-12-26,13,24.99
2009-01-02,15,26.49
2009-01-09,17,25.93
2009-01-16,10,25.94
2009-01-23,12,25.53
2009-01-30,10,23.23
2009-02-06,10,24
2009-02-13,10,22.01
2009-02-20,11,21.11
2009-02-27,12,21.3
2009-03-06,8,19.52
2009-03-13,8,22.93
2009-03-20,8,23.18
2009-03-27,10,25
2009-04-03,12,27.62
2009-04-17,11,31.37
2009-04-24,11,30.36
2009-05-01,10,29.3
2009-05-08,10,28.5
2009-05-15,11,27.83
2009-05-22,11,27.11
2009-05-29,11,28.11
2009-06-05,15,29.2
2009-06-12,10,28.36
2009-06-19,10,28.53
2009-06-26,13,31.03
2009-07-10,8,29.81
2009-07-17,8,32.65
2009-07-24,8,34.75
2009-07-31,8,34.75
2009-08-07,10,36.94
2009-09-18,9,39.28
2009-09-25,15,36.8
2009-10-02,41,36.65
2009-10-09,100,37.39
2009-10-16,67,36.34
2009-10-23,61,36.17
2009-10-30,41,35.21
2009-11-06,8,37.14
2009-11-13,7,37.1
2009-11-20,7,37.24
2009-11-27,8,36.99
2009-12-04,6,39.15
2009-12-11,9,38.19
2009-12-18,9,37.49
2010-01-08,15,42.03
2010-01-15,7,40.67
2010-01-22,7,39.07
2010-01-29,10,38.7
2010-02-05,9,38.5
2010-02-12,7,39.78
2010-02-19,6,41.41
2010-02-26,6,41.61
2010-03-05,7,41.65
2010-03-12,8,42.28
2010-03-19,8,43.89
2010-03-26,9,44
2010-04-09,14,45.51
2010-04-16,8,45.33
2010-04-23,8,47.84
2010-04-30,8,45.96
2010-05-07,8,42.91
2010-05-14,7,44.46
2010-05-21,7,44.27
2010-05-28,7,44.87
2010-06-04,7,43.19
2010-06-11,7,44.44
2010-06-18,11,42.49
2010-06-25,15,39.34
2010-07-02,9,36.19
2010-07-09,6,37.45
2010-07-16,6,36.04
2010-07-23,6,38.72
2010-07-30,6,37.88
2010-08-06,7,38.83
2010-08-13,7,37.08
2010-08-20,6,38.34
2010-08-27,7,37
2010-09-03,6,39.02
2010-09-10,7,40.35
2010-09-17,8,41.1
2010-09-24,7,43.72
2010-10-01,6,43.4
2010-10-08,8,42.87
2010-10-15,9,43.64
2010-10-22,8,44.02
2010-10-29,8,43.9
2010-11-05,8,45.13
2010-11-12,8,44.11
2010-11-19,6,43.09
2010-11-26,8,44
2010-12-03,7,45.95
2010-12-10,7,46.76
2010-12-17,7,47.72
2010-12-31,7,49.15
2011-01-07,8,48.63
2011-01-14,6,49.51
2011-01-21,6,48.11
2011-01-28,6,48.6
2011-02-04,4,48.34
2011-02-11,5,50.04
2011-02-18,5,50.82
2011-02-25,8,47.85
2011-03-04,7,48.34
2011-03-11,7,45.82
2011-03-18,5,45.58
2011-03-25,6,47.28
2011-04-01,8,48.71
2011-04-08,19,53.82
2011-04-15,7,55.84
2011-04-29,10,56.13
