"Date","BlackRock","Price"
2004-02-06,11,60.02
2004-02-13,12,58.74
2004-02-20,13,59.26
2004-02-27,18,59.5
2004-03-05,16,61.5
2004-03-12,15,60.26
2004-03-19,11,60.9
2004-03-26,15,60
2004-04-02,12,65
2004-04-16,12,63.5
2004-04-23,10,61.25
2004-04-30,13,62.2
2004-05-07,18,59.88
2004-05-14,14,58.63
2004-05-21,11,59.16
2004-05-28,15,63.1
2004-06-04,13,64.55
2004-06-18,14,62.25
2004-06-25,17,62.5
2004-07-02,13,65.13
2004-07-09,10,64.89
2004-07-16,10,63.49
2004-07-23,14,62.51
2004-07-30,15,61.95
2004-08-06,14,61.54
2004-08-13,17,61.56
2004-08-20,13,63.88
2004-08-27,19,71.31
2004-09-03,12,74.89
2004-09-10,14,73.6
2004-09-17,15,74.55
2004-09-24,13,73.46
2004-10-01,11,74.34
2004-10-08,15,71.8
2004-10-15,11,69.79
2004-10-22,11,70.94
2004-10-29,13,73.5
2004-11-05,12,74.46
2004-11-12,10,76.4
2004-11-19,12,73.9
2004-11-26,14,76.31
2004-12-03,15,76.35
2004-12-10,14,76.95
2004-12-17,17,77
2004-12-31,7,77.26
2005-01-07,14,78.34
2005-01-14,15,80.91
2005-01-21,18,79.31
2005-01-28,20,79.05
2005-02-04,23,80.4
2005-02-11,18,81
2005-02-18,22,80.53
2005-02-25,20,78.17
2005-03-04,22,80.55
2005-03-11,22,79.96
2005-03-18,28,79.64
2005-04-01,28,75.63
2005-04-08,30,73.43
2005-04-15,29,70
2005-04-22,28,75.25
2005-04-29,32,74.96
2005-05-06,30,74.77
2005-05-13,28,75.71
2005-05-20,30,78.21
2005-05-27,28,78.1
2005-06-03,27,77.38
2005-06-10,25,77.48
2005-06-17,31,78.07
2005-06-24,31,76.25
2005-07-01,29,81.2
2005-07-08,29,82.15
2005-07-15,24,83.75
2005-07-22,28,82.3
2005-07-29,23,85
2005-08-05,31,82.46
2005-08-12,26,84.41
2005-08-19,27,85.46
2005-08-26,26,84.15
2005-09-02,24,83.03
2005-09-09,26,83.93
2005-09-16,22,84.25
2005-09-23,23,85.62
2005-09-30,23,88.62
2005-10-07,26,88.2
2005-10-14,18,84.8
2005-10-21,25,89.9
2005-10-28,24,93.22
2005-11-04,22,96.52
2005-11-11,24,101.59
2005-11-18,23,104.67
2005-11-25,25,111
2005-12-02,24,110.04
2005-12-09,25,109.25
2005-12-16,23,112.69
2005-12-23,21,108.78
2005-12-30,22,108.48
2006-01-06,24,110.42
2006-01-13,24,112.65
2006-01-20,30,127
2006-01-27,28,133.12
2006-02-03,29,129.66
2006-02-10,27,131.51
2006-02-17,44,146.58
2006-02-24,31,143.5
2006-03-03,28,141.35
2006-03-10,28,132.25
2006-03-17,23,140.46
2006-03-24,24,139.45
2006-03-31,24,140
2006-04-07,25,147.56
2006-04-21,24,150.8
2006-04-28,25,151.54
2006-05-05,25,150.75
2006-05-12,27,139.89
2006-05-19,24,132.45
2006-05-26,25,137.3
2006-06-02,26,136.05
2006-06-09,23,132.71
2006-06-16,27,127.96
2006-06-23,23,132.05
2006-06-30,21,139.17
2006-07-07,27,138.84
2006-07-14,24,132.98
2006-07-21,26,126.22
2006-07-28,26,129.99
2006-08-04,24,127.15
2006-08-11,21,125.36
2006-08-18,26,133.05
2006-08-25,25,128.4
2006-09-01,22,133.18
2006-09-08,28,133.01
2006-09-15,23,148
2006-09-22,23,144.4
2006-09-29,25,149
2006-10-06,33,149.02
2006-10-13,29,149.5
2006-10-20,33,145.61
2006-10-27,27,149.5
2006-11-03,26,145.35
2006-11-10,26,141.76
2006-11-17,27,147.17
2006-11-24,26,149.75
2006-12-01,26,142.3
2006-12-08,32,147.15
2006-12-15,26,145.86
2006-12-22,25,149.55
2006-12-29,22,151.9
2007-01-05,26,156.75
2007-01-12,28,172.5
2007-01-19,22,169.68
2007-01-26,23,169.17
2007-02-02,27,169.08
2007-02-09,27,173.68
2007-02-16,25,173.54
2007-02-23,26,174.35
2007-03-02,27,155.7
2007-03-09,26,158.62
2007-03-16,25,156.07
2007-03-23,29,160.36
2007-03-30,25,156.31
2007-04-13,29,157.86
2007-04-20,27,154.84
2007-04-27,28,151.49
2007-05-04,24,148.92
2007-05-11,24,149.09
2007-05-18,27,148.2
2007-05-25,23,144.98
2007-06-01,24,154.3
2007-06-08,27,152.02
2007-06-15,30,157.9
2007-06-22,28,155.51
2007-06-29,30,156.59
2007-07-06,24,165.65
2007-07-13,29,168.85
2007-07-20,28,171.51
2007-07-27,30,163.45
2007-08-03,30,151
2007-08-10,28,158
2007-08-17,29,161.25
2007-08-24,25,158.66
2007-08-31,27,155.1
2007-09-07,24,152.59
2007-09-14,26,158.21
2007-09-21,27,170.08
2007-09-28,27,173.41
2007-10-05,28,179.32
2007-10-12,27,184
2007-10-19,29,186.72
2007-10-26,26,198.43
2007-11-02,28,199.3
2007-11-09,31,191.2
2007-11-16,29,192.24
2007-11-23,24,190.6
2007-11-30,28,198.37
2007-12-07,31,213.16
2007-12-14,27,208.95
2007-12-21,27,216.15
2007-12-28,22,219.35
2008-01-04,25,210.98
2008-01-11,31,204.06
2008-01-18,29,201.5
2008-01-25,25,208.05
2008-02-01,31,220.55
2008-02-08,30,204.9
2008-02-15,30,195.78
2008-02-22,29,185.58
2008-02-29,28,193.25
2008-03-07,27,183.56
2008-03-14,29,178.99
2008-03-28,29,199.4
2008-04-04,30,219.98
2008-04-11,30,207.5
2008-04-18,29,204.35
2008-04-25,27,203.34
2008-05-02,29,216.25
2008-05-09,30,212
2008-05-16,31,216.4
2008-05-23,31,208.51
2008-05-30,27,224.99
2008-06-06,27,213.51
2008-06-13,30,210.25
2008-06-20,30,197
2008-06-27,27,177.6
2008-07-11,31,174.71
2008-07-18,35,218
2008-07-25,31,218.3
2008-08-01,31,219.32
2008-08-08,31,222.58
2008-08-15,30,216.7
2008-08-22,26,213.3
2008-08-29,25,217.25
2008-09-05,28,211.55
2008-09-12,29,203
2008-09-19,40,210
2008-09-26,36,201.01
2008-10-03,31,182.5
2008-10-10,33,159
2008-10-17,34,148.72
2008-10-24,33,116.5
2008-10-31,31,131.34
2008-11-07,30,125.59
2008-11-14,28,110.12
2008-11-21,31,108.9
2008-11-28,26,125.71
2008-12-05,38,128.31
2008-12-12,32,120.16
2008-12-19,28,136.41
2008-12-26,23,126.4
2009-01-02,26,139.12
2009-01-09,30,127.3
2009-01-16,30,117.16
2009-01-23,30,111.85
2009-01-30,36,108.8
2009-02-06,29,122.49
2009-02-13,30,111.61
2009-02-20,27,103.07
2009-02-27,30,96.81
2009-03-06,29,92.4
2009-03-13,30,108
2009-03-20,29,113.96
2009-03-27,33,127.49
2009-04-03,29,138
2009-04-17,27,135.92
2009-04-24,27,151.16
2009-05-01,24,148.42
2009-05-08,28,148.35
2009-05-15,27,140.81
2009-05-22,34,147.72
2009-05-29,28,159.5
2009-06-05,32,163.74
2009-06-12,47,176.56
2009-06-19,35,174.96
2009-06-26,29,177.88
2009-07-10,32,166.16
2009-07-17,29,179.79
2009-07-24,33,192.18
2009-07-31,35,190.54
2009-08-07,28,202.46
2009-08-14,33,197.77
2009-08-21,30,207.5
2009-08-28,33,201.55
2009-09-04,28,195.45
2009-09-11,32,201.77
2009-09-18,33,207.19
2009-09-25,37,203.75
2009-10-02,32,206.93
2009-10-09,30,216.55
2009-10-16,33,225.55
2009-10-23,29,231.2
2009-10-30,28,216.49
2009-11-06,26,227.51
2009-11-13,28,233.1
2009-11-20,29,225.66
2009-11-27,28,221.19
2009-12-04,32,223.49
2009-12-11,34,226.01
2009-12-18,30,238.81
2010-01-08,33,238.92
2010-01-15,33,238.09
2010-01-22,33,225
2010-01-29,34,213.82
2010-02-05,36,208.79
2010-02-12,31,207.16
2010-02-19,39,215.51
2010-02-26,35,218.8
2010-03-05,33,219.83
2010-03-12,34,210
2010-03-19,32,224.35
2010-03-26,32,219.27
2010-04-09,29,206.11
2010-04-16,31,200.75
2010-04-23,31,211.02
2010-04-30,33,184
2010-05-07,31,172.12
2010-05-14,34,169.72
2010-05-21,35,166.47
2010-05-28,31,167.88
2010-06-04,30,159.49
2010-06-11,30,159.14
2010-06-18,31,158.77
2010-06-25,30,152.34
2010-07-02,29,142.79
2010-07-09,32,154.97
2010-07-16,31,149.14
2010-07-23,32,154.49
2010-07-30,32,157.49
2010-08-06,34,157.16
2010-08-13,31,151.58
2010-08-20,35,145.4
2010-08-27,31,141.15
2010-09-03,30,151.55
2010-09-10,32,151.16
2010-09-17,34,165.05
2010-09-24,37,167.23
2010-10-01,34,171.34
2010-10-08,36,174.5
2010-10-15,34,175.74
2010-10-22,35,167.56
2010-10-29,34,170.99
2010-11-05,34,173.15
2010-11-12,34,173.07
2010-11-19,33,168.98
2010-11-26,29,164.6
2010-12-03,33,172.35
2010-12-10,100,183.05
2010-12-17,61,187.2
2010-12-31,46,190.58
2011-01-07,47,188.36
2011-01-14,43,199.06
2011-01-21,42,193.07
2011-01-28,46,194.28
2011-02-04,42,194.35
2011-02-11,40,203.42
2011-02-18,35,206.67
2011-02-25,32,203.92
2011-03-04,32,201.89
2011-03-11,30,189.98
2011-03-18,30,184.55
2011-03-25,30,188.24
2011-04-01,32,202.43
2011-04-08,32,196.1
2011-04-15,33,193.24
2011-04-29,28,195.94
2011-05-06,29,195.74
2011-05-13,31,194.24
2011-05-20,31,197.51
2011-05-27,29,200.67
2011-06-03,30,193.63
2011-06-10,28,185.82
2011-06-17,30,187.34
2011-06-24,30,184.39
2011-07-01,30,196.42
2011-07-08,29,195.45
2011-07-15,31,184.54
2011-07-22,32,187.92
2011-07-29,28,178.46
2011-08-05,32,161.58
2011-08-12,31,161.07
2011-08-19,30,151.33
2011-08-26,28,160.99
2011-09-02,27,156.04
2011-09-09,27,151.07
2011-09-16,27,160.88
2011-09-23,28,147.63
2011-09-30,27,148.01
2011-10-07,27,147.78
2011-10-14,26,155.91
2011-10-21,26,154.32
2011-10-28,27,169.78
2011-11-04,25,157.6
2011-11-11,27,164.33
2011-11-18,27,159.26
2011-11-25,24,151.27
2011-12-02,27,169.02
2011-12-09,24,172.68
2011-12-16,24,170.33
2011-12-23,22,178.41
2011-12-30,19,178.24
2012-01-06,24,179.13
2012-01-13,28,186.57
2012-01-20,26,182.82
2012-01-27,28,187.49
2012-02-03,29,188.64
2012-02-10,29,190
2012-02-17,28,196.19
2012-02-24,26,196
2012-03-02,29,198.25
2012-03-09,26,196.91
2012-03-16,26,205.6
2012-03-23,25,201.11
2012-03-30,27,204.9
2012-04-13,26,197.81
2012-04-20,26,190.4
2012-04-27,25,192.5
2012-05-04,27,183.17
2012-05-11,25,179.77
2012-05-18,28,171.91
2012-05-25,29,171.36
2012-06-01,26,166.57
2012-06-08,27,173.91
2012-06-15,27,176.73
2012-06-22,25,172
2012-06-29,26,169.82
2012-07-06,25,171.28
2012-07-13,26,175.78
2012-07-20,29,173.31
2012-07-27,25,170.67
2012-08-03,24,173.19
2012-08-10,25,174.41
2012-08-17,28,178.79
2012-08-24,27,178.27
2012-08-31,25,176.37
2012-09-07,26,182.02
2012-09-14,29,183
2012-09-21,26,183
2012-09-28,27,178.3
2012-10-05,27,187.39
2012-10-12,26,184.31
2012-10-19,27,188.94
2012-10-26,25,186.99
2012-11-02,23,189.52
2012-11-09,24,186.83
2012-11-16,24,186.99
2012-11-23,24,195.54
2012-11-30,24,197.04
2012-12-07,23,194.76
2012-12-14,24,201.53
2012-12-21,22,206.75
2012-12-28,17,204.51
2013-01-04,24,218.03
2013-01-11,27,221.01
2013-01-18,27,233.93
2013-01-25,27,236.42
2013-02-01,29,236.89
2013-02-08,29,238.16
2013-02-15,27,242.95
2013-02-22,25,240.87
2013-03-01,25,236.83
2013-03-08,26,248.27
2013-03-15,27,256.74
2013-03-22,28,253.13
