"Date","CA","Price"
2004-02-06,48,26.59
2004-02-13,49,27.3
2004-02-20,48,26.85
2004-02-27,49,26.56
2004-03-05,50,26.84
2004-03-12,48,26.46
2004-03-19,49,26.01
2004-03-26,48,26.75
2004-04-02,50,28.35
2004-04-16,51,26.33
2004-04-23,50,28.42
2004-04-30,50,26.81
2004-05-07,52,26.3
2004-05-14,49,26.09
2004-05-21,51,25.76
2004-05-28,50,27.06
2004-06-04,52,27.17
2004-06-18,52,27.05
2004-06-25,53,26.73
2004-07-02,52,27.22
2004-07-09,52,25.81
2004-07-16,55,24.63
2004-07-23,56,24.52
2004-07-30,57,25.24
2004-08-06,58,23.76
2004-08-13,56,23
2004-08-20,58,23.85
2004-08-27,55,24.51
2004-09-03,54,24.08
2004-09-10,50,25.09
2004-09-17,52,25.7
2004-09-24,51,27.06
2004-10-01,52,27.18
2004-10-08,52,26.54
2004-10-15,51,26.03
2004-10-22,51,26.74
2004-10-29,47,27.71
2004-11-05,51,28.71
2004-11-12,48,29.7
2004-11-19,48,29.86
2004-11-26,43,30.62
2004-12-03,47,31.51
2004-12-10,49,30.88
2004-12-17,49,30.17
2004-12-31,53,31.06
2005-01-07,55,28.53
2005-01-14,59,28
2005-01-21,52,28.12
2005-01-28,53,26.42
2005-02-04,53,27.84
2005-02-11,54,26.75
2005-02-18,54,26.77
2005-02-25,54,26.95
2005-03-04,55,27.72
2005-03-11,55,27.85
2005-03-18,56,27.69
2005-04-01,56,27.26
2005-04-08,61,27.36
2005-04-15,58,27.2
2005-04-22,57,27.07
2005-04-29,58,26.9
2005-05-06,61,27.82
2005-05-13,59,27.8
2005-05-20,58,28.98
2005-05-27,63,27.3
2005-06-03,59,27
2005-06-10,60,26.94
2005-06-17,65,27.42
2005-06-24,65,27.58
2005-07-01,66,27.36
2005-07-08,61,28.16
2005-07-15,68,29.07
2005-07-22,68,29.23
2005-07-29,69,27.45
2005-08-05,68,27.17
2005-08-12,68,26.92
2005-08-19,68,26.88
2005-08-26,65,26.41
2005-09-02,63,26.84
2005-09-09,58,27.96
2005-09-16,59,27.82
2005-09-23,62,27.69
2005-09-30,60,27.81
2005-10-07,61,26.69
2005-10-14,62,26.87
2005-10-21,60,26.8
2005-10-28,61,27.84
2005-11-04,60,28.96
2005-11-11,61,29.14
2005-11-18,61,28.44
2005-11-25,52,28.82
2005-12-02,58,29.18
2005-12-09,57,28.86
2005-12-16,60,29.03
2005-12-23,62,28.52
2005-12-30,63,28.19
2006-01-06,66,28.64
2006-01-13,65,29.36
2006-01-20,63,29.01
2006-01-27,65,27.45
2006-02-03,65,27.28
2006-02-10,64,27.07
2006-02-17,63,27.08
2006-02-24,64,27.04
2006-03-03,66,27
2006-03-10,65,27.51
2006-03-17,66,27.66
2006-03-24,64,27.21
2006-03-31,64,27.21
2006-04-07,68,26.8
2006-04-21,68,25.76
2006-04-28,66,25.36
2006-05-05,69,25.6
2006-05-12,67,24.43
2006-05-19,66,22.25
2006-05-26,67,22.16
2006-06-02,65,21.63
2006-06-09,71,21.77
2006-06-16,71,21.36
2006-06-23,74,20.89
2006-06-30,74,20.55
