"Date","CERN","Price"
2004-02-06,3,46.09
2004-02-13,2,44.05
2004-02-20,2,43.45
2004-02-27,2,44.76
2004-03-05,2,47.63
2004-03-12,4,45.49
2004-03-19,2,43.64
2004-03-26,2,45.23
2004-04-02,3,44.81
2004-04-16,3,45.05
2004-04-23,3,45.28
2004-04-30,3,42.82
2004-05-07,2,42.1
2004-05-14,3,41.95
2004-05-21,2,39.89
2004-05-28,2,42.78
2004-06-04,2,42.12
2004-06-18,3,44.42
2004-06-25,2,45.03
2004-07-02,3,42.74
2004-07-09,3,43.17
2004-07-16,2,43.18
2004-07-23,2,44.26
2004-07-30,2,45
2004-08-06,2,44.94
2004-08-13,3,43.55
2004-08-20,2,46.05
2004-08-27,2,45.22
2004-09-03,3,43.93
2004-09-10,3,44.08
2004-09-17,3,44.79
2004-09-24,4,42.99
2004-10-01,4,44.61
2004-10-08,4,45.02
2004-10-15,5,46.06
2004-10-22,4,44.37
2004-10-29,3,45.15
2004-11-05,3,46.8
2004-11-12,3,48.92
2004-11-19,3,50.82
2004-11-26,3,52.65
2004-12-03,3,51.73
2004-12-10,3,51.17
2004-12-17,3,52.76
2004-12-31,3,53.17
2005-01-07,3,49.2
2005-01-14,3,48.76
2005-01-21,3,48.44
2005-01-28,3,49.11
2005-02-04,3,52.67
2005-02-11,3,51.43
2005-02-18,3,50.56
2005-02-25,3,52.1
2005-03-04,3,53
2005-03-11,3,50.67
2005-03-18,3,49.89
2005-04-01,3,51.95
2005-04-08,3,55.5
2005-04-15,3,56.18
2005-04-22,3,59.79
2005-04-29,3,58.05
2005-05-06,3,61.47
2005-05-13,3,61.82
2005-05-20,3,63.37
2005-05-27,3,65.8
2005-06-03,3,62.81
2005-06-10,2,63.66
2005-06-17,3,62.81
2005-06-24,3,64.69
2005-07-01,3,67.72
2005-07-08,3,69.75
2005-07-15,3,69.64
2005-07-22,3,75.01
2005-07-29,3,75.42
2005-08-05,2,77.2
2005-08-12,2,78.55
2005-08-19,3,77.16
2005-08-26,3,77.97
2005-09-02,3,78.8
2005-09-09,3,83
2005-09-16,3,82.25
2005-09-23,3,81.59
2005-09-30,3,86.93
2005-10-07,3,83.65
2005-10-14,3,86.51
2005-10-21,3,85.75
2005-10-28,3,83.44
2005-11-04,2,88.12
2005-11-11,2,89.09
