"Date","CMS","Price"
2004-02-06,69,8.75
2004-02-13,77,8.9
2004-02-20,80,8.89
2004-02-27,75,9.2
2004-03-05,77,9.13
2004-03-12,64,9.08
2004-03-19,70,8.87
2004-03-26,61,8.76
2004-04-02,76,9.17
2004-04-16,78,8.83
2004-04-23,74,8.85
2004-04-30,72,8.31
2004-05-07,67,7.95
2004-05-14,72,8.01
2004-05-21,72,8.01
2004-05-28,75,8.62
2004-06-04,73,8.38
2004-06-18,78,8.8
2004-06-25,76,9.18
2004-07-02,76,8.97
2004-07-09,76,8.87
2004-07-16,82,8.84
2004-07-23,79,8.83
2004-07-30,78,9.03
2004-08-06,79,8.75
2004-08-13,75,8.81
2004-08-20,82,9.25
2004-08-27,83,9.44
2004-09-03,84,9.6
2004-09-10,82,9.65
2004-09-17,79,9.56
2004-09-24,76,9.49
2004-10-01,81,9.35
2004-10-08,84,9.36
2004-10-15,82,9.15
2004-10-22,77,9.07
2004-10-29,80,9.36
2004-11-05,82,9.99
2004-11-12,76,10.27
2004-11-19,77,10.02
2004-11-26,75,10.32
2004-12-03,83,10.24
2004-12-10,83,10.09
2004-12-17,79,10.2
2004-12-31,70,10.45
2005-01-07,81,10.02
2005-01-14,83,9.86
2005-01-21,89,9.97
2005-01-28,90,10.35
2005-02-04,85,11.36
2005-02-11,91,11.81
2005-02-18,85,12.3
2005-02-25,90,12.38
2005-03-04,87,13.05
2005-03-11,83,13.02
2005-03-18,86,13.2
2005-04-01,79,12.99
2005-04-08,85,13.13
2005-04-15,92,12.61
2005-04-22,80,12.86
2005-04-29,84,12.92
2005-05-06,83,13
2005-05-13,88,12.77
2005-05-20,79,13.09
2005-05-27,91,13.23
2005-06-03,85,13.74
2005-06-10,87,14.34
2005-06-17,91,14.57
2005-06-24,85,15.04
2005-07-01,86,15.1
2005-07-08,85,15.47
2005-07-15,86,15.5
2005-07-22,92,15.34
2005-07-29,91,15.84
2005-08-05,86,15.73
2005-08-12,91,15.67
2005-08-19,92,16.05
2005-08-26,91,16.01
2005-09-02,88,16.08
2005-09-09,83,16.71
2005-09-16,92,16.58
2005-09-23,95,15.79
2005-09-30,88,16.45
2005-10-07,92,15.59
2005-10-14,93,15
2005-10-21,90,14.49
2005-10-28,87,14.67
2005-11-04,84,13.84
2005-11-11,89,13.68
2005-11-18,93,13.81
2005-11-25,88,13.96
2005-12-02,83,14.04
2005-12-09,87,14.24
2005-12-16,86,14.83
2005-12-23,82,14.75
2005-12-30,72,14.51
2006-01-06,90,14.62
2006-01-13,92,14.8
2006-01-20,88,15
2006-01-27,98,14.8
2006-02-03,95,14.26
2006-02-10,95,14.32
2006-02-17,100,14.56
2006-02-24,92,14.23
2006-03-03,87,14.14
2006-03-10,90,13.69
2006-03-17,89,13.85
2006-03-24,85,13.32
2006-03-31,89,12.95
2006-04-07,92,12.91
2006-04-21,86,13.57
2006-04-28,88,13.32
2006-05-05,84,13.13
2006-05-12,90,12.51
2006-05-19,87,12.92
2006-05-26,85,12.82
2006-06-02,87,13.02
2006-06-09,90,12.91
2006-06-16,86,12.85
2006-06-23,89,12.7
2006-06-30,84,12.94
2006-07-07,86,13.01
2006-07-14,86,13.13
2006-07-21,88,13.73
2006-07-28,90,14.09
2006-08-04,87,14
2006-08-11,90,14.03
2006-08-18,86,14.18
2006-08-25,86,14.29
2006-09-01,85,14.77
2006-09-08,85,14.52
2006-09-15,89,14.44
2006-09-22,88,14.22
2006-09-29,87,14.44
2006-10-06,91,14.72
2006-10-13,89,14.84
2006-10-20,87,15.25
2006-10-27,87,15.12
2006-11-03,90,14.98
2006-11-10,88,15.25
2006-11-17,88,15.25
2006-11-24,81,15.26
2006-12-01,86,16.16
2006-12-08,86,16.12
2006-12-15,81,16.68
2006-12-22,86,16.71
2006-12-29,70,16.7
2007-01-05,79,16.47
2007-01-12,87,16
2007-01-19,90,16.23
2007-01-26,93,16.71
2007-02-02,94,16.9
2007-02-09,91,17.52
2007-02-16,89,17.52
2007-02-23,94,17.9
2007-03-02,85,17.07
2007-03-09,89,17.29
2007-03-16,91,17.03
2007-03-23,86,17.69
2007-03-30,91,17.8
2007-04-13,81,18.31
2007-04-20,87,18.73
2007-04-27,86,18.53
2007-05-04,82,18.81
2007-05-11,87,18.35
2007-05-18,87,18.74
2007-05-25,89,17.89
2007-06-01,83,18.25
2007-06-08,88,17.35
2007-06-15,90,17.65
2007-06-22,83,16.78
2007-06-29,91,17.2
2007-07-06,85,17.5
2007-07-13,87,17.65
2007-07-20,85,17.55
2007-07-27,85,16
2007-08-03,86,15.8
2007-08-10,88,15.51
2007-08-17,83,15.95
2007-08-24,87,16.53
2007-08-31,84,16.32
2007-09-07,83,15.85
2007-09-14,88,16.27
2007-09-21,91,16.61
2007-09-28,88,16.82
2007-10-05,88,16.88
2007-10-12,84,16.58
2007-10-19,87,16.06
2007-10-26,87,16.73
2007-11-02,88,16.67
2007-11-09,84,16.39
2007-11-16,88,16.63
2007-11-23,93,17.17
2007-11-30,96,17.43
2007-12-07,95,17.88
2007-12-14,79,17.54
2007-12-21,81,17.76
2007-12-28,61,17.64
2008-01-04,68,16.97
2008-01-11,82,16.91
2008-01-18,83,15.77
2008-01-25,81,15.22
2008-02-01,86,16.07
2008-02-08,82,15.7
2008-02-15,80,15.7
2008-02-22,83,15.44
2008-02-29,85,14.39
2008-03-07,81,13.76
2008-03-14,81,13.45
2008-03-28,80,13.46
2008-04-04,83,14.29
2008-04-11,85,14.15
2008-04-18,84,14.57
2008-04-25,82,14.4
2008-05-02,78,15.11
2008-05-09,77,15.02
2008-05-16,79,15.23
2008-05-23,79,15.07
2008-05-30,76,15.59
2008-06-06,77,15.37
2008-06-13,80,15.71
2008-06-20,81,15.32
2008-06-27,80,14.58
2008-07-11,81,14.06
2008-07-18,79,13.63
2008-07-25,78,13.52
2008-08-01,79,13.22
2008-08-08,77,13.65
2008-08-15,79,13.25
2008-08-22,81,13.16
2008-08-29,78,13.57
2008-09-05,75,13.34
2008-09-12,84,13.79
2008-09-19,82,12.9
2008-09-26,83,12.92
2008-10-03,75,11.95
2008-10-10,80,9.09
2008-10-17,79,10.14
2008-10-24,79,10.05
2008-10-31,79,10.25
2008-11-07,79,10.26
2008-11-14,80,10.76
2008-11-21,78,9.57
2008-11-28,72,10.16
2008-12-05,77,9.84
2008-12-12,75,9.9
2008-12-19,74,9.72
2008-12-26,58,9.45
2009-01-02,62,10.45
2009-01-09,78,11.18
2009-01-16,81,11.26
2009-01-23,84,12.02
2009-01-30,84,11.75
2009-02-06,84,12.09
2009-02-13,80,11.46
2009-02-20,87,10.41
2009-02-27,83,11.06
2009-03-06,88,10.87
2009-03-13,81,11.28
2009-03-20,81,11.82
2009-03-27,82,11.9
2009-04-03,80,12.2
2009-04-17,80,11.94
2009-04-24,82,11.59
2009-05-01,77,12
2009-05-08,78,11.91
2009-05-15,79,11.24
2009-05-22,78,11
2009-05-29,78,11.34
2009-06-05,78,11.78
2009-06-12,78,12.3
2009-06-19,76,12.05
2009-06-26,76,11.98
2009-07-10,78,11.87
2009-07-17,78,12.29
2009-07-24,75,12.87
2009-07-31,79,12.94
2009-08-07,77,12.91
2009-08-14,80,13.21
2009-08-21,78,13.57
2009-08-28,76,13.64
2009-09-04,78,12.99
2009-09-11,79,12.99
2009-09-18,80,13.43
2009-09-25,79,13.35
2009-10-02,75,13.21
2009-10-09,76,13.47
2009-10-16,78,13.75
2009-10-23,76,13.59
2009-10-30,74,13.3
2009-11-06,78,13.53
2009-11-13,77,14.37
2009-11-20,78,14.05
2009-11-27,71,14.14
2009-12-04,73,14.86
2009-12-11,74,15.46
2009-12-18,72,15.67
2010-01-08,74,15.55
2010-01-15,75,15.69
2010-01-22,78,15.22
2010-01-29,79,15.17
2010-02-05,80,14.81
2010-02-12,74,14.83
2010-02-19,75,15.58
2010-02-26,75,15.27
2010-03-05,79,15.69
2010-03-12,79,15.71
2010-03-19,77,15.82
2010-03-26,75,15.53
2010-04-09,72,15.9
2010-04-16,73,15.72
2010-04-23,79,16.38
2010-04-30,75,16.26
2010-05-07,75,15.07
2010-05-14,74,15.56
2010-05-21,77,14.78
2010-05-28,74,14.68
2010-06-04,73,14.26
2010-06-11,72,14.91
2010-06-18,71,15.54
2010-06-25,71,15.18
2010-07-02,68,14.68
2010-07-09,65,15.67
2010-07-16,71,15.62
2010-07-23,72,16.06
2010-07-30,68,15.92
2010-08-06,71,16.89
2010-08-13,68,17.36
2010-08-20,71,17.04
2010-08-27,70,17.76
2010-09-03,67,17.79
2010-09-10,69,17.7
2010-09-17,72,17.73
2010-09-24,71,18.06
2010-10-01,75,18.22
2010-10-08,74,18.84
2010-10-15,72,18.81
2010-10-22,74,18.69
2010-10-29,72,18.38
2010-11-05,73,18.38
2010-11-12,74,17.84
