"Date","COG","Price"
2004-02-06,74,30.08
2004-02-13,68,32
2004-02-20,62,29.87
2004-02-27,65,30.37
2004-03-05,63,31.52
2004-03-12,55,30.45
2004-03-19,62,30.65
2004-03-26,63,28.93
2004-04-02,59,30.78
2004-04-16,47,34.82
2004-04-23,58,35.26
2004-04-30,78,35.7
2004-05-07,61,36.23
2004-05-14,82,36.25
2004-05-21,76,35.83
2004-05-28,66,36.8
2004-06-04,67,37.82
2004-06-18,77,40.35
2004-06-25,85,41.75
2004-07-02,92,42.31
2004-07-09,64,41.77
2004-07-16,76,42.51
2004-07-23,79,40.73
2004-07-30,59,43.97
2004-08-06,83,40.06
2004-08-13,65,40.43
2004-08-20,70,39.93
2004-08-27,71,39.74
2004-09-03,65,41.61
2004-09-10,63,42.25
2004-09-17,64,43.55
2004-09-24,77,45.07
2004-10-01,59,45.23
2004-10-08,65,46.39
2004-10-15,68,42.95
2004-10-22,70,43.49
2004-10-29,53,42.31
2004-11-05,56,43.3
2004-11-12,41,43.9
2004-11-19,52,43.87
2004-11-26,50,47.81
2004-12-03,66,46.1
2004-12-10,53,43.5
2004-12-17,55,45.6
2004-12-31,49,44.25
2005-01-07,54,41.67
2005-01-14,48,43.21
2005-01-21,60,44.54
2005-01-28,49,46.05
2005-02-04,51,50.05
2005-02-11,57,52.23
2005-02-18,42,53.05
2005-02-25,57,55.78
2005-03-04,63,57.06
2005-03-11,56,53.66
2005-03-18,58,54.7
2005-04-01,54,37.58
2005-04-08,65,36.38
2005-04-15,60,32.22
2005-04-22,62,33.27
2005-04-29,65,29.44
2005-05-06,68,30.44
2005-05-13,82,28.29
2005-05-20,64,29.83
2005-05-27,61,31.4
2005-06-03,63,33.82
2005-06-10,62,34.7
2005-06-17,79,36.1
2005-06-24,83,35.02
2005-07-01,97,36.6
2005-07-08,71,38.13
2005-07-15,74,37.04
2005-07-22,74,39.05
2005-07-29,69,40.52
2005-08-05,81,42.25
2005-08-12,75,43.48
2005-08-19,69,40.73
2005-08-26,57,40.88
2005-09-02,67,42.77
2005-09-09,59,45.8
2005-09-16,68,46.08
2005-09-23,62,46.16
2005-09-30,61,50.51
