"Date","Chesapeake.Energy","Price"
2004-11-05,15,17.03
2005-02-25,15,21.57
2005-03-04,13,23.28
2005-03-11,13,21.96
2005-03-18,15,22.79
2005-04-01,13,22.49
2005-04-08,13,21.22
2005-04-15,13,19.35
2005-04-22,14,20.64
2005-04-29,15,19.24
2005-05-06,16,20
2005-05-13,13,18.4
2005-05-20,13,19.28
2005-05-27,13,20.29
2005-06-03,13,21
2005-07-15,13,24.5
2005-07-22,18,25.53
2005-07-29,22,26.11
2005-08-05,24,28.47
2005-08-12,13,29.09
2005-08-19,13,27.05
2005-08-26,14,28.11
2005-09-02,14,31.78
2005-09-09,13,33.35
2005-09-16,13,33.86
2005-09-23,11,35.22
2005-09-30,16,38.25
2005-10-07,37,34.04
2005-10-14,14,32.6
2005-10-21,12,29.55
2005-10-28,12,31.43
2005-11-04,18,29.04
2005-11-11,12,27.43
2005-11-18,15,28.73
2005-11-25,11,29.4
2005-12-02,16,30.52
2005-12-09,16,31.15
2005-12-16,15,32.06
2005-12-23,16,32.16
2005-12-30,18,31.73
2006-01-06,20,32.25
2006-01-13,14,32.54
2006-01-20,11,33.53
2006-01-27,17,32.34
2006-02-03,18,33.61
2006-02-10,10,29.62
2006-02-17,17,29.73
2006-02-24,11,30
2006-03-03,12,31.51
2006-03-10,11,30
2006-03-17,10,31.5
2006-03-24,9,31.2
2006-03-31,10,31.41
2006-04-07,8,31.28
2006-04-21,12,33.25
2006-04-28,14,31.68
2006-05-05,19,32.85
2006-05-12,9,31.53
2006-05-19,10,29.41
2006-05-26,11,30.02
2006-06-02,12,30.67
2006-06-09,11,28.89
2006-06-16,12,30.01
2006-06-23,12,30.48
2006-06-30,10,30.25
2006-07-07,16,29.4
2006-07-14,17,29.47
2006-07-21,12,28.54
2006-07-28,12,32.2
2006-08-04,12,32.43
2006-08-11,9,31.95
2006-08-18,11,31.2
2006-08-25,11,32.32
2006-09-01,11,32
2006-09-08,11,30.24
2006-09-15,16,29.05
2006-09-22,17,28.84
2006-09-29,18,28.98
2006-10-06,10,28.96
2006-10-13,10,29.76
2006-10-20,14,30.6
2006-10-27,16,32.4
2006-11-03,11,32.15
2006-11-10,14,32.3
2006-11-17,8,32.51
2006-11-24,13,32.55
2006-12-01,12,34.09
2006-12-08,11,32.08
2006-12-15,8,31.15
2006-12-22,12,29.8
2006-12-29,8,29.05
2007-01-05,14,27.95
2007-01-12,12,28.05
2007-01-19,18,28.96
2007-01-26,8,29
