"Date","Cincinnati.Financial","Price"
2004-08-06,100,39.49
2005-01-21,71,43.8
2005-06-17,87,40.93
2005-07-29,70,41.22
2005-08-05,63,41.79
2005-08-12,63,41.78
2005-08-19,76,41.59
2005-09-30,64,41.89
2005-10-07,71,41.01
2005-12-09,69,45.52
2005-12-16,51,45
2005-12-23,51,45.07
2005-12-30,51,44.68
2006-01-06,51,45.5
2006-01-13,52,45.56
2006-01-20,45,44.51
2006-01-27,45,44.95
2006-02-03,72,43.92
2006-02-10,53,43.92
2006-02-17,53,44.26
2006-02-24,53,44.6
2006-03-03,49,43.78
2006-03-10,49,44.08
2006-03-17,49,45.35
2006-03-24,49,43.99
2006-03-31,61,42.07
2006-04-07,53,41.83
2006-04-21,47,42.24
2006-04-28,50,42.64
2006-05-05,54,44.39
2006-05-12,57,44.08
2006-05-19,40,44.74
2006-05-26,43,44.98
2006-06-02,46,46.45
2006-08-04,49,46.66
2006-08-11,64,46.36
2006-08-18,65,46.47
2006-08-25,50,45.93
2006-09-01,41,46.83
2006-09-08,37,46.19
2006-09-15,35,48.44
2006-09-22,35,47.65
2006-09-29,35,48.12
2006-10-06,34,48.61
2006-10-13,34,48.82
2006-10-20,34,48.76
2006-10-27,44,46.06
2006-11-03,54,45.42
2006-11-10,45,45.27
2006-11-17,33,45.39
2006-11-24,33,45.07
2006-12-01,34,44.25
2006-12-08,35,45.78
2006-12-15,35,46.68
2007-01-26,29,44.95
2007-02-02,40,45.87
2007-02-09,34,43.85
2007-02-16,31,44.19
2007-02-23,32,44.01
2007-03-02,27,42.86
2007-03-09,42,43.1
2007-03-16,42,42.66
2007-03-23,44,43.12
2007-03-30,30,42.4
2007-04-13,33,44
2007-04-20,51,46
2007-04-27,35,45.93
2007-05-04,35,45.95
2007-05-11,40,46.95
2007-05-18,42,46.78
2007-05-25,32,45.84
2007-06-01,32,45.79
2007-06-08,32,44.85
2007-06-15,30,45.19
2007-06-22,31,43.56
2007-06-29,32,43.4
2007-07-06,25,44.2
2007-07-13,45,43.7
2007-07-20,41,41.98
2007-07-27,42,40.11
2007-08-03,30,38.28
2007-08-10,40,40.56
2007-08-17,50,42.66
2007-08-24,52,43
2007-08-31,35,42.14
2007-09-07,28,42.35
2007-09-14,29,43
2007-09-21,45,43.3
2007-09-28,28,43.31
2007-10-05,24,44.4
2007-10-12,30,44.74
2007-10-19,34,41.29
2007-10-26,29,39.51
2007-11-02,19,38.8
2007-11-09,19,40.15
2007-11-16,19,40.47
2007-11-23,23,40.61
2007-11-30,24,39.98
2007-12-07,31,40.18
2007-12-14,33,39.32
2007-12-21,35,39.81
2007-12-28,37,39.59
2008-01-04,39,37.79
2008-01-11,31,37.66
2008-01-18,43,35.1
2008-01-25,30,35.49
2008-02-01,38,38.84
2008-02-08,38,37.78
2008-02-15,34,38.11
2008-02-22,39,38.13
2008-02-29,27,37.17
2008-03-07,25,37.12
2008-03-14,25,37.02
2008-03-28,31,37.78
2008-04-04,38,38.81
2008-04-11,41,37.44
2008-04-18,23,37.84
2008-04-25,32,37.79
2008-05-02,30,36.75
2008-05-09,29,35.03
2008-05-16,30,35.51
2008-05-23,26,35.05
2008-05-30,27,35.02
2008-06-06,33,33.3
2008-06-13,28,31.6
2008-06-20,38,28.8
2008-06-27,34,26.09
2008-07-11,34,23.29
2008-07-18,29,25.06
2008-07-25,55,26.84
2008-08-01,50,27.82
2008-08-08,46,28.22
2008-08-15,33,28.69
2008-08-22,23,28.2
2008-08-29,24,29.64
2008-09-05,26,30.56
2008-09-12,23,29.59
2008-09-19,32,33.6
2008-09-26,40,32.54
2008-10-03,29,25.44
2008-10-10,33,19.34
2008-10-17,31,22.37
2008-10-24,27,22.23
2008-10-31,48,25.99
2008-11-07,23,25.65
2008-11-14,30,26.23
2008-11-21,40,24.51
2008-11-28,18,29.24
2008-12-05,23,28.95
2008-12-12,24,30.2
2008-12-19,33,30.14
2008-12-26,22,28.76
2009-01-02,38,28.97
2009-01-09,58,28.08
2009-01-16,24,25.57
2009-01-23,24,23.6
2009-01-30,32,21.93
2009-02-06,26,22.39
2009-02-13,27,22.7
2009-02-20,31,21.2
2009-02-27,42,20.54
2009-03-06,43,18.57
2009-03-13,35,21.09
2009-03-20,35,20.95
2009-03-27,21,22.69
2009-04-03,32,24.65
2009-04-17,23,25.43
2009-04-24,27,24.61
2009-05-01,38,22.98
2009-05-08,21,24.72
2009-05-15,31,22.06
2009-05-22,26,22.13
2009-05-29,17,22.61
2009-06-05,27,24.12
2009-06-12,23,23.84
2009-06-19,27,22.7
2009-06-26,33,22.14
2009-07-10,37,21.54
2009-07-17,32,23.1
2009-07-24,22,24.34
2009-07-31,44,24.15
2009-08-07,36,24.63
2009-08-14,45,24.95
2009-08-21,64,24.9
2009-08-28,24,25.51
2009-09-04,38,24.9
2009-09-11,23,25.53
2009-09-18,30,25.92
2009-09-25,13,25.26
2009-10-02,23,25.51
2009-10-09,27,25.98
2009-10-16,29,25.75
2009-10-23,27,25.69
2009-10-30,27,25.36
2009-11-06,26,25.78
2009-11-13,17,26.1
2009-11-20,23,25.43
2009-11-27,24,25.2
2009-12-04,21,25.49
2009-12-11,27,25.83
2009-12-18,30,25.84
2010-01-08,18,26.58
2010-01-15,36,26.86
2010-01-22,24,26.29
2010-01-29,27,26.39
2010-02-05,21,26.31
2010-02-12,18,25.98
2010-02-19,25,26.71
2010-02-26,24,26.89
2010-03-05,26,28.06
2010-03-12,17,28.5
2010-03-19,29,29.39
2010-03-26,38,29
2010-04-09,36,29.29
2010-04-16,29,29.25
2010-04-23,26,30.21
2010-04-30,32,28.44
2010-05-07,28,26.58
2010-05-14,26,27.4
2010-05-21,22,27
2010-05-28,24,27.19
2010-06-04,29,26.39
2010-06-11,17,27.89
2010-06-18,30,28.29
2010-06-25,33,27.36
2010-07-02,28,25.53
2010-07-09,19,27.08
2010-07-16,22,26.62
2010-07-23,26,27.55
2010-07-30,29,27.55
2010-08-06,36,27.49
2010-08-13,41,26.67
2010-08-20,55,26.92
2010-08-27,29,27.22
2010-09-03,34,28.3
2010-09-10,31,28.26
2010-09-17,25,29.21
2010-09-24,29,28.78
2010-10-01,23,28.85
2010-10-08,27,29.54
2010-10-15,26,29.87
2010-10-22,25,30.49
2010-10-29,22,29.45
2010-11-05,27,30.74
2010-11-12,18,29.77
2010-11-19,23,30.12
2010-11-26,18,29.96
2010-12-03,30,30.69
2010-12-10,23,31.52
2010-12-17,28,31.81
2010-12-31,32,31.69
2011-01-07,33,31.81
2011-01-14,25,32.15
2011-01-21,25,31.77
2011-01-28,31,32.16
2011-02-04,28,33.15
2011-02-11,22,33.58
2011-02-18,20,34.18
2011-02-25,25,33.7
2011-03-04,28,33.25
2011-03-11,29,33.08
2011-03-18,17,32.6
2011-03-25,26,32.47
2011-04-01,28,32.99
2011-04-08,22,32.92
2011-04-15,22,32.18
2011-04-29,25,31.68
2011-05-06,29,30.95
2011-05-13,24,30.91
2011-05-20,27,30.69
2011-05-27,14,30.09
2011-06-03,27,29.44
2011-06-10,18,29.19
2011-06-17,31,28.88
2011-06-24,26,28.13
2011-07-01,24,29.47
2011-07-08,20,29.02
2011-07-15,24,27.82
2011-07-22,33,28.4
2011-07-29,32,27.33
2011-08-05,32,25.97
2011-08-12,25,25.51
2011-08-19,36,25.59
2011-08-26,27,26.58
2011-09-02,20,26.88
2011-09-09,24,26.88
2011-09-16,28,27.83
2011-09-23,25,25.45
2011-09-30,26,26.33
2011-10-07,22,26.29
2011-10-14,16,26.69
2011-10-21,28,28.56
2011-10-28,25,29.4
2011-11-04,20,29.21
2011-11-11,28,29.26
2011-11-18,13,28.72
2011-11-25,15,27.48
2011-12-02,20,28.92
2011-12-09,22,29.67
2011-12-16,18,29.98
2011-12-23,19,30.56
2011-12-30,20,30.46
2012-01-06,19,30.67
2012-01-13,23,31.25
2012-01-20,24,32.55
2012-01-27,22,32.93
2012-02-03,21,33.41
2012-02-10,22,34.45
2012-02-17,18,35.72
2012-02-24,21,35.76
2012-03-02,19,34.5
2012-03-09,27,35.04
2012-03-16,21,35.54
2012-03-23,22,34.78
2012-03-30,18,34.51
2012-04-13,29,33.87
2012-04-20,24,34.63
2012-04-27,21,35.8
2012-05-04,22,36.15
2012-05-11,28,36.08
2012-05-18,28,34.22
2012-05-25,22,35.66
2012-06-01,22,35.15
2012-06-08,22,36.71
2012-06-15,23,36.63
2012-06-22,27,36.9
2012-06-29,17,38.07
2012-07-06,16,38.13
2012-07-13,18,38.12
2012-07-20,24,37.23
2012-07-27,27,38.05
2012-08-03,27,38.24
2012-08-10,27,38.29
2012-08-17,33,39.53
2012-08-24,31,39.1
2012-08-31,16,38.66
2012-09-07,24,38.71
2012-09-14,21,39.89
2012-09-21,24,39.08
2012-09-28,22,37.87
2012-10-05,21,38.71
2012-10-12,19,38.4
2012-10-19,16,39.53
2012-10-26,21,40.61
2012-11-02,19,39.06
2012-11-09,15,39.1
2012-11-16,20,39.12
2012-11-23,16,40.32
2012-11-30,19,40.52
2012-12-07,19,40.5
2012-12-14,23,39.62
2012-12-21,17,39.61
2012-12-28,11,38.56
2013-01-04,22,40.34
2013-01-11,27,41.26
2013-01-18,22,41.62
2013-01-25,21,42.78
2013-02-01,19,43.5
2013-02-08,25,44.61
2013-02-15,20,44.84
2013-02-22,19,45
2013-03-01,19,45.16
2013-03-08,16,46.33
2013-03-15,21,46.98
2013-03-22,20,46.36
2013-04-05,23,47.36
2013-04-12,21,48.8
2013-04-19,19,47.68
2013-04-26,21,48.1
2013-05-03,25,49.26
2013-05-10,22,49.31
2013-05-17,23,49.66
2013-05-24,17,47.93
2013-05-31,17,47.34
2013-06-07,20,46.46
2013-06-14,17,46.18
2013-06-21,18,45.4
2013-06-28,22,45.92
2013-07-05,16,46.64
2013-07-12,26,49.18
2013-07-19,21,49.55
2013-07-26,29,49.12
2013-08-02,23,49.74
2013-08-09,27,48.66
2013-08-16,32,47.76
2013-08-23,22,47.38
2013-08-30,16,45.68
2013-09-06,19,45.59
2013-09-13,17,46.56
2013-09-20,19,47.44
2013-09-27,20,47.46
2013-10-04,20,47.63
2013-10-11,15,48.56
2013-10-18,16,49.99
2013-10-25,20,50.18
2013-11-01,16,50
2013-11-08,15,50.57
2013-11-15,21,51.08
2013-11-22,18,52.41
2013-11-29,18,52.41
2013-12-06,17,52.28
2013-12-13,22,51.22
2013-12-20,21,52.01
2013-12-27,14,51.98
2014-01-03,19,51.13
2014-01-10,20,51.15
2014-01-17,24,50.52
2014-01-24,19,48.81
2014-01-31,20,48.45
2014-02-07,23,45.73
2014-02-14,21,47
2014-02-21,19,46.75
2014-02-28,20,46.88
2014-03-07,21,47.84
2014-03-14,20,47.3
2014-03-21,16,47.92
2014-03-28,18,48.25
2014-04-04,19,48.19
2014-04-11,19,47.11
2014-04-25,22,48
