"Date","DPS","Price"
2008-05-09,29,25.24
2008-05-16,28,26.5
2008-05-23,29,25.42
2008-05-30,30,25.18
2008-06-06,30,24.98
2008-06-13,30,24.67
2008-06-20,28,24
2008-06-27,28,21.6
2008-07-11,29,21.64
2008-07-18,27,20.2
2008-07-25,28,20.29
2008-08-01,30,20.92
2008-08-08,29,21.95
2008-08-15,30,23.82
2008-08-22,28,24.3
2008-08-29,29,24.71
2008-09-05,29,25.16
2008-09-12,29,26.52
2008-09-19,27,25.19
2008-09-26,29,25.39
2008-10-03,26,25.15
2008-10-10,27,22.52
2008-10-17,29,20.92
2008-10-24,27,19.17
2008-10-31,25,22.9
2008-11-07,29,22.68
2008-11-14,28,17.56
2008-11-21,30,15.57
2008-11-28,32,16.14
2008-12-05,37,14.47
2008-12-12,39,15.55
2008-12-19,39,16.96
2008-12-26,40,16.89
2009-01-02,45,16.55
2009-01-09,45,16.29
2009-01-16,45,16.45
2009-01-23,45,15.94
2009-01-30,44,16.45
2009-02-06,43,16.62
2009-02-13,43,16.6
2009-02-20,44,15.48
2009-02-27,44,14.05
2009-03-06,44,12.21
2009-03-13,42,14.56
2009-03-20,43,15.13
2009-03-27,42,17.09
2009-04-03,44,18.5
2009-04-17,54,20.05
2009-04-24,51,19
2009-05-01,40,20.27
2009-05-08,42,20.94
2009-05-15,42,22.07
2009-05-22,43,21.27
2009-05-29,44,21.73
2009-06-05,43,22.96
2009-06-12,40,22.02
2009-06-19,42,22.34
2009-06-26,40,21.27
2009-07-10,44,21.65
2009-07-17,44,23.43
2009-07-24,44,23.95
2009-07-31,44,24.61
2009-08-07,48,23.7
2009-08-14,49,25.54
2009-08-21,47,27.25
2009-08-28,43,26.53
2009-09-04,41,26.85
2009-09-11,43,27.06
2009-09-18,42,27.84
2009-09-25,40,27.37
2009-10-02,41,28.25
2009-10-09,40,30.09
2009-10-16,39,29.1
2009-10-23,37,27.65
2009-10-30,38,27.26
2009-11-06,39,26.62
2009-11-13,38,27.37
2009-11-20,37,27.3
2009-11-27,36,26.27
2009-12-04,36,26.8
2009-12-11,41,28.25
2009-12-18,51,28.17
2010-01-08,48,28.87
2010-01-15,47,28.44
2010-01-22,48,27.36
2010-01-29,47,27.66
2010-02-05,47,27.1
2010-02-12,44,27.08
2010-02-19,44,28.93
2010-02-26,43,31.75
2010-03-05,43,32.35
2010-03-12,42,34.97
2010-03-19,44,36.18
2010-03-26,43,35.8
2010-04-09,42,35.15
2010-04-16,41,34.03
2010-04-23,39,33.59
2010-04-30,39,32.73
2010-05-07,37,35.72
2010-05-14,40,37.25
2010-05-21,42,36.72
2010-05-28,43,37.86
2010-06-04,42,36.49
2010-06-11,42,37.29
