"Date","DTV","Price"
2004-02-06,26,17.03
2004-02-13,32,17.03
2004-02-20,29,17
2004-02-27,28,17.34
2004-03-05,26,16.55
2004-03-12,26,15.78
2004-03-19,27,16.35
2004-03-26,24,15.38
2004-04-02,31,16.3
2004-04-16,46,17.29
2004-04-23,39,17.85
2004-04-30,34,17.9
2004-05-07,30,17.12
2004-05-14,28,16.8
2004-05-21,24,17.14
2004-05-28,22,17.61
2004-06-04,29,17.41
2004-06-18,27,16.85
2004-06-25,24,16.6
2004-07-02,26,17.29
2004-07-09,27,17.25
2004-07-16,26,16.77
2004-07-23,24,16.77
2004-07-30,25,16.21
2004-08-06,25,16.35
2004-08-13,22,16.18
2004-08-20,29,16.86
2004-08-27,29,16.25
2004-09-03,28,16
2004-09-10,26,16.55
2004-09-17,24,16.75
2004-09-24,21,17.32
2004-10-01,28,17.86
2004-10-08,28,17.3
2004-10-15,24,17.9
2004-10-22,22,16.97
2004-10-29,22,16.77
2004-11-05,21,16.07
2004-11-12,28,16.2
2004-11-19,23,16.02
2004-11-26,29,16.08
2004-12-03,24,15.65
2004-12-10,22,16.17
2004-12-17,23,16.6
2004-12-31,27,16.74
2005-01-07,30,16.22
2005-01-14,24,16.4
2005-01-21,27,16.1
2005-01-28,27,15.07
2005-02-04,26,14.74
2005-02-11,27,15.29
2005-02-18,26,15.12
2005-02-25,33,15.1
2005-03-04,24,15.37
2005-03-11,27,15.05
2005-03-18,24,14.54
2005-04-01,25,14.43
2005-04-08,27,14.51
2005-04-15,26,14.64
2005-04-22,23,14.01
2005-04-29,25,14.12
2005-05-06,24,14.63
2005-05-13,23,14.72
2005-05-20,21,14.87
2005-05-27,20,14.87
2005-06-03,32,15
2005-06-10,22,15.27
2005-06-17,22,15.02
2005-06-24,26,15.6
2005-07-01,28,15.51
2005-07-08,24,15.65
2005-07-15,30,15.92
2005-07-22,29,15.42
2005-07-29,27,15.4
2005-08-05,26,15.85
2005-08-12,27,16.17
2005-08-19,26,16.14
2005-08-26,27,16
2005-09-02,26,16
2005-09-09,24,15.88
2005-09-16,31,15.15
2005-09-23,27,14.82
2005-09-30,28,14.98
2005-10-07,26,14.7
2005-10-14,27,14.57
2005-10-21,30,14.05
2005-10-28,25,14.01
2005-11-04,23,14.42
2005-11-11,30,13.86
2005-11-18,27,13.74
2005-11-25,29,13.93
2005-12-02,26,13.6
2005-12-09,32,13.74
2005-12-16,23,13.8
2005-12-23,28,14.33
2005-12-30,29,14.12
2006-01-06,33,14.76
2006-01-13,26,14.52
2006-01-20,28,14.29
2006-01-27,30,13.94
2006-02-03,27,13.5
2006-02-10,31,14.76
2006-02-17,25,15.49
2006-02-24,29,15.68
2006-03-03,21,15.76
2006-03-10,23,15.58
2006-03-17,22,15.84
2006-03-24,23,16.15
2006-03-31,21,16.4
2006-04-07,18,16.58
2006-04-21,22,16.85
2006-04-28,23,17.08
2006-05-05,24,16.58
2006-05-12,22,17.4
2006-05-19,25,17.51
2006-05-26,23,17.46
2006-06-02,25,17.79
2006-06-09,24,17.29
2006-06-16,22,16.39
2006-06-23,23,16.23
2006-06-30,22,16.5
2006-07-07,26,16.55
2006-07-14,19,16.41
2006-07-21,19,16.71
2006-07-28,18,17.38
2006-08-04,20,17.43
2006-08-11,22,17
2006-08-18,25,18.15
2006-08-25,24,18.63
2006-09-01,25,19.2
2006-09-08,24,19.47
2006-09-15,21,18.73
2006-09-22,25,18.99
2006-09-29,22,19.68
2006-10-06,21,19.85
2006-10-13,23,21.61
2006-10-20,23,21.32
2006-10-27,24,21.91
2006-11-03,23,21.69
2006-11-10,23,22
2006-11-17,25,21.76
2006-11-24,25,22.58
2006-12-01,24,22.7
2006-12-08,24,24.28
2006-12-15,26,25.01
2006-12-22,24,24.55
2006-12-29,26,24.94
2007-01-05,25,24.36
2007-01-12,25,24.2
2007-01-19,23,23.99
2007-01-26,25,24.09
2007-02-02,23,23.97
2007-02-09,22,24.82
2007-02-16,24,23.88
2007-02-23,21,22.88
2007-03-02,22,22.5
2007-03-09,24,22.87
2007-03-16,21,22.04
2007-03-23,24,22.72
2007-03-30,23,23.07
2007-04-13,19,24.06
2007-04-20,20,24.1
2007-04-27,20,23.89
2007-05-04,20,24.16
2007-05-11,22,23.82
2007-05-18,21,23.76
2007-05-25,19,23.19
2007-06-01,20,23.63
2007-06-08,22,22.89
2007-06-15,22,23.36
2007-06-22,21,23.99
2007-06-29,21,23.11
2007-07-06,20,23.94
2007-07-13,21,24.94
2007-07-20,19,24.1
2007-07-27,19,22.23
2007-08-03,18,21.16
2007-08-10,22,21.84
2007-08-17,21,22.57
2007-08-24,21,23.12
2007-08-31,25,23.33
2007-09-07,22,23.12
2007-09-14,25,22.08
2007-09-21,23,24.7
2007-09-28,22,24.28
2007-10-05,24,26
2007-10-12,34,26.18
2007-10-19,42,25.46
2007-10-26,36,25.7
2007-11-02,35,25.62
2007-11-09,36,26.78
2007-11-16,32,23.87
2007-11-23,37,24.17
2007-11-30,40,24.87
2007-12-07,42,24.64
2007-12-14,28,23.7
2007-12-21,29,24.36
2007-12-28,33,23.4
2008-01-04,57,21.58
2008-01-11,45,21.72
2008-01-18,35,19.67
2008-01-25,35,21.99
2008-02-01,32,23.98
2008-02-08,34,23.13
2008-02-15,35,25.49
2008-02-22,39,25.87
2008-02-29,33,25.05
2008-03-07,34,24.75
2008-03-14,35,24.75
2008-03-28,36,24.64
2008-04-04,42,26.44
2008-04-11,46,25.74
2008-04-18,41,25.79
2008-04-25,43,25.25
2008-05-02,40,25.83
2008-05-09,37,27.02
2008-05-16,40,27.59
2008-05-23,44,27.39
2008-05-30,42,28.1
2008-06-06,44,27.7
2008-06-13,42,27.92
2008-06-20,41,27.32
2008-06-27,42,25.58
2008-07-11,45,25.47
2008-07-18,40,27.08
2008-07-25,43,26.77
2008-08-01,39,26.92
2008-08-08,42,28.28
2008-08-15,45,27.88
2008-08-22,45,28.64
2008-08-29,40,28.21
2008-09-05,41,26.57
2008-09-12,44,27.59
2008-09-19,39,25.24
2008-09-26,39,26.55
2008-10-03,40,24.76
