"Date","Delphi.Automotive","Price"
2011-11-18,16,21
2011-11-25,8,19.65
2011-12-02,9,21.37
2011-12-09,8,21.75
2011-12-16,6,20.97
2011-12-23,7,21.94
2011-12-30,4,21.54
2012-01-06,8,22.55
2012-01-13,10,24.8
2012-01-20,7,25.1
2012-01-27,10,27.16
2012-02-03,9,30.75
2012-02-10,9,30.04
2012-02-17,10,31.29
2012-02-24,7,31.39
2012-03-02,9,32.33
2012-03-09,7,31.83
2012-03-16,9,32
2012-03-23,9,30.97
2012-03-30,9,31.6
2012-04-13,12,31.85
2012-04-20,9,31.87
2012-04-27,12,31.11
2012-05-04,6,29.37
2012-05-11,8,28.72
2012-05-18,10,27.26
2012-05-25,10,28.45
2012-06-01,8,28.24
2012-06-08,9,28.75
2012-06-15,8,28.54
2012-06-22,9,27.02
2012-06-29,7,25.5
2012-07-06,8,26.4
2012-07-13,10,26.87
2012-07-20,7,26.98
2012-07-27,10,27.78
2012-08-03,9,28.33
2012-08-10,11,28.54
2012-08-17,7,29.5
2012-08-24,8,29.18
2012-08-31,8,30.29
2012-09-07,11,31.15
2012-09-14,10,31.82
2012-09-21,6,31.78
2012-09-28,7,31
2012-10-05,7,32.5
2012-10-12,8,32.08
2012-10-19,8,31.92
2012-10-26,10,30.5
2012-11-02,9,32.86
2012-11-09,8,32.25
2012-11-16,8,32.14
2012-11-23,7,34.05
2012-11-30,8,33.99
2012-12-07,9,33.97
2012-12-14,9,34.26
2012-12-21,8,36.14
2012-12-28,4,37.72
2013-01-04,7,38.51
2013-01-11,10,38.09
2013-01-18,5,38.82
2013-01-25,8,39.27
2013-02-01,6,39.22
2013-02-08,9,38.52
2013-02-15,6,39.98
2013-02-22,6,38.37
2013-03-01,7,42.2
2013-03-08,7,43
2013-03-15,7,43.28
2013-03-22,8,43.21
2013-04-05,7,42.74
2013-04-12,9,44.89
2013-04-19,7,41.84
2013-04-26,8,44.7
2013-05-03,7,45.74
2013-05-10,7,45.4
2013-05-17,8,48.52
2013-05-24,7,48.05
2013-05-31,6,48.81
2013-06-07,6,50.4
2013-06-14,9,51.22
2013-06-21,8,49.69
2013-06-28,8,50.69
2013-07-05,8,52.42
2013-07-12,8,54.93
2013-07-19,7,54.95
2013-07-26,5,55.72
2013-08-02,6,55.85
2013-08-09,6,55.56
2013-08-16,8,54.96
2013-08-23,7,55.56
2013-08-30,7,55.02
2013-09-06,8,56.5
2013-09-13,7,56.9
2013-09-20,6,58
2013-09-27,7,58.44
2013-10-04,6,58.01
2013-10-11,5,57.31
2013-10-18,8,60
2013-10-25,6,58.03
2013-11-01,7,57.51
2013-11-08,7,55.42
2013-11-15,7,58.08
2013-11-22,7,57.88
2013-11-29,6,58.55
2013-12-06,7,58.44
2013-12-13,8,58.6
2013-12-20,8,58.35
2013-12-27,5,59.83
2014-01-03,5,59.27
2014-01-10,9,61.47
2014-01-17,8,62.7
2014-01-24,9,59.92
2014-01-31,9,60.89
2014-02-07,8,62.41
2014-02-14,7,64.12
2014-02-21,6,65.91
2014-02-28,9,66.57
2014-03-07,7,66.63
2014-03-14,7,64.97
2014-03-21,8,66.64
2014-03-28,9,66.74
2014-04-04,10,67.81
2014-04-11,5,64.9
2014-04-25,8,66.48
