"Date","DirecTV","Price"
2004-02-06,32,17.03
2004-02-13,34,17.03
2004-02-20,34,17
2004-02-27,30,17.34
2004-03-05,34,16.55
2004-03-12,38,15.78
2004-03-19,31,16.35
2004-03-26,32,15.38
2004-04-02,27,16.3
2004-04-16,45,17.29
2004-04-23,37,17.85
2004-04-30,37,17.9
2004-05-07,35,17.12
2004-05-14,29,16.8
2004-05-21,30,17.14
2004-05-28,31,17.61
2004-06-04,31,17.41
2004-06-18,31,16.85
2004-06-25,30,16.6
2004-07-02,32,17.29
2004-07-09,35,17.25
2004-07-16,32,16.77
2004-07-23,34,16.77
2004-07-30,34,16.21
2004-08-06,37,16.35
2004-08-13,41,16.18
2004-08-20,38,16.86
2004-08-27,35,16.25
2004-09-03,35,16
2004-09-10,37,16.55
2004-09-17,35,16.75
2004-09-24,32,17.32
2004-10-01,34,17.86
2004-10-08,32,17.3
2004-10-15,33,17.9
2004-10-22,34,16.97
2004-10-29,30,16.77
2004-11-05,30,16.07
2004-11-12,32,16.2
2004-11-19,28,16.02
2004-11-26,26,16.08
2004-12-03,32,15.65
2004-12-10,31,16.17
2004-12-17,29,16.6
2004-12-31,38,16.74
2005-01-07,39,16.22
2005-01-14,34,16.4
2005-01-21,34,16.1
2005-01-28,30,15.07
2005-02-04,30,14.74
2005-02-11,33,15.29
2005-02-18,29,15.12
2005-02-25,31,15.1
2005-03-04,26,15.37
2005-03-11,30,15.05
2005-03-18,29,14.54
2005-04-01,27,14.43
2005-04-08,28,14.51
2005-04-15,26,14.64
2005-04-22,26,14.01
2005-04-29,27,14.12
2005-05-06,28,14.63
2005-05-13,27,14.72
2005-05-20,26,14.87
2005-05-27,28,14.87
2005-06-03,28,15
2005-06-10,27,15.27
2005-06-17,29,15.02
2005-06-24,29,15.6
2005-07-01,31,15.51
2005-07-08,30,15.65
2005-07-15,31,15.92
2005-07-22,27,15.42
2005-07-29,34,15.4
2005-08-05,36,15.85
2005-08-12,36,16.17
2005-08-19,38,16.14
2005-08-26,32,16
2005-09-02,34,16
2005-09-09,35,15.88
2005-09-16,35,15.15
2005-09-23,35,14.82
2005-09-30,31,14.98
2005-10-07,32,14.7
2005-10-14,33,14.57
2005-10-21,30,14.05
2005-10-28,29,14.01
2005-11-04,31,14.42
2005-11-11,31,13.86
2005-11-18,32,13.74
2005-11-25,31,13.93
2005-12-02,34,13.6
2005-12-09,32,13.74
