"Date","Dominion.Resources","Price"
2004-04-23,100,63.57
2004-11-26,70,66.67
2005-01-14,96,69.1
2005-01-21,56,68.26
2005-03-18,51,75.81
2005-04-01,54,75.27
2005-04-08,65,75.27
2005-04-15,76,73.58
2005-04-22,50,74.25
2005-04-29,50,75.4
2005-05-06,57,70.88
2005-05-13,63,69.22
2005-05-20,50,71.4
2005-05-27,50,70.12
2005-06-03,50,71.1
2005-06-10,54,73.05
2005-06-17,57,72.6
2005-06-24,61,73
2005-09-02,46,78.19
2005-09-09,49,80.78
2005-09-16,52,82.56
2005-09-23,54,83.85
2005-09-30,57,86.14
2005-10-07,60,80.5
2005-10-14,42,78.15
2005-10-21,43,75.78
2005-10-28,44,75.34
2005-11-04,45,75.3
2005-11-11,39,75.1
2005-11-18,39,77.48
2005-11-25,39,78.24
2005-12-02,39,75.98
2005-12-09,39,79.06
2005-12-16,43,80.87
2005-12-23,44,78.78
2005-12-30,45,77.2
2006-01-06,47,78.26
2006-01-13,48,78.11
2006-01-20,52,78.64
2006-01-27,57,75.26
2006-02-03,39,75.05
2006-02-10,34,74.44
2006-02-17,38,74.75
2006-02-24,41,74.35
2006-03-03,50,73.85
2006-03-10,33,71.41
2006-03-17,34,73.25
2006-03-24,36,71.55
2006-03-31,40,69.03
2006-04-07,45,70.96
2006-04-21,61,74.29
2006-06-09,35,72.8
2006-07-21,40,77.72
2006-07-28,43,78.6
2006-08-04,41,78.86
2006-08-11,32,79.27
2006-08-18,32,79.27
2006-08-25,32,80.88
2006-09-01,32,79.58
2006-09-08,35,77.71
2006-09-15,37,77.16
2006-09-22,39,76.3
2006-09-29,41,76.49
2006-10-06,28,76.21
2006-10-13,39,77.85
2006-10-20,29,80.16
2006-10-27,27,80.64
2006-11-03,61,80.67
2006-11-10,46,81.22
2006-11-17,25,80.88
2006-11-24,29,81
2006-12-01,29,80.88
2006-12-08,30,81.13
2006-12-15,45,82.9
2006-12-22,33,82.36
2006-12-29,33,83.84
2007-01-05,33,82.24
2007-01-12,33,80
2007-01-19,39,80.76
2007-01-26,46,82.07
2007-02-02,36,86.54
2007-02-09,24,87.46
2007-02-16,36,86.56
2007-02-23,37,85.68
2007-03-02,43,85
2007-03-09,26,84.59
2007-03-16,31,84.97
2007-03-23,30,88.91
2007-03-30,39,88.77
2007-04-13,33,89.14
2007-04-20,32,90.86
2007-04-27,29,91.55
2007-05-04,51,90.82
2007-05-11,27,90.53
2007-05-18,25,91.06
2007-05-25,24,86.57
2007-06-01,24,87.64
2007-06-08,51,82.47
