"Date","EMR","Price"
2004-02-06,96,64.68
2004-02-13,59,63.73
2004-02-20,81,63.27
2004-02-27,70,62.48
2004-03-05,67,63.05
2004-03-12,70,61.07
2004-03-19,57,60.39
2004-03-26,88,59.56
2004-04-02,50,60.79
2004-04-16,74,62.45
2004-04-23,71,62.07
2004-04-30,66,60.22
2004-05-07,87,58.28
2004-05-14,63,57.33
2004-05-21,78,57.67
2004-05-28,70,59.7
2004-06-04,69,60.43
2004-06-18,76,58.77
2004-06-25,72,61.4
2004-07-02,76,62.53
2004-07-09,71,61.56
2004-07-16,74,61.3
2004-07-23,82,59.48
2004-07-30,48,60.7
2004-08-06,80,60.51
2004-08-13,56,60.27
2004-08-20,70,61.6
2004-08-27,72,62.17
2004-09-03,67,62.33
2004-09-10,65,63.68
2004-09-17,64,62.73
2004-09-24,100,61.99
2004-10-01,73,63.9
2004-10-08,77,62.94
2004-10-15,75,62.94
2004-10-22,79,62.12
2004-10-29,82,64.05
2004-11-05,74,67.43
2004-11-12,66,68.62
2004-11-19,71,67.33
2004-11-26,54,67.38
2004-12-03,72,68.06
2004-12-10,68,68.32
2004-12-17,58,70.1
2004-12-31,46,70.1
2005-01-07,71,67.13
2005-01-14,52,67.81
2005-01-21,68,65.19
2005-01-28,68,65.4
2005-02-04,87,68.73
2005-02-11,88,68.24
2005-02-18,71,66.91
2005-02-25,78,66.72
2005-03-04,76,66.86
2005-03-11,66,67.17
2005-03-18,73,66.02
2005-04-01,55,63.96
2005-04-08,53,65.25
2005-04-15,81,62.48
2005-04-22,84,64.18
2005-04-29,81,62.67
2005-05-06,68,66.86
2005-05-13,64,65.4
2005-05-20,66,67.41
2005-05-27,78,67.13
2005-06-03,70,66.23
2005-06-10,58,64.98
2005-06-17,80,66
2005-06-24,80,63.32
2005-07-01,69,62.73
2005-07-08,54,63.84
2005-07-15,73,64.26
2005-07-22,75,65.61
2005-07-29,88,65.8
2005-08-05,76,67.69
2005-08-12,68,68.55
2005-08-19,67,67.46
2005-08-26,74,66.64
2005-09-02,66,67.17
2005-09-09,61,68.15
2005-09-16,71,67.3
2005-09-23,67,69.61
2005-09-30,71,71.8
2005-10-07,73,69.92
2005-10-14,81,69.45
2005-10-21,69,68.65
2005-10-28,87,68.59
2005-11-04,68,70.59
2005-11-11,69,71.55
2005-11-18,80,72.51
2005-11-25,62,73.01
2005-12-02,59,77.3
2005-12-09,61,76.21
2005-12-16,58,75.52
2005-12-23,62,76.75
2005-12-30,53,74.7
2006-01-06,69,76.33
2006-01-13,66,78.72
2006-01-20,55,77.57
2006-01-27,69,77.93
2006-02-03,77,77.35
2006-02-10,74,82.85
2006-02-17,76,81.9
2006-02-24,87,82.8
2006-03-03,70,83.43
2006-03-10,74,84.5
2006-03-17,75,85.67
2006-03-24,60,85.31
2006-03-31,73,83.63
2006-04-07,70,81.61
2006-04-21,60,86.28
2006-04-28,65,84.95
2006-05-05,61,87.47
2006-05-12,76,85.03
2006-05-19,62,79.95
2006-05-26,64,82.54
2006-06-02,72,82.81
2006-06-09,68,80.15
2006-06-16,63,81.85
2006-06-23,64,82.2
2006-06-30,68,83.81
2006-07-07,57,81.82
2006-07-14,73,79
2006-07-21,63,76.15
2006-07-28,64,77.38
2006-08-04,83,80.63
2006-08-11,59,79.37
2006-08-18,68,82.1
2006-08-25,69,80.3
2006-09-01,52,82.69
2006-09-08,61,81.17
2006-09-15,69,82.68
2006-09-22,54,80.15
2006-09-29,67,83.86
2006-10-06,69,84.77
2006-10-13,47,84.85
2006-10-20,67,84.39
2006-10-27,66,84.16
2006-11-03,67,82.21
2006-11-10,73,87.56
2006-11-17,67,88.15
2006-11-24,49,89
2006-12-01,58,85.21
2006-12-08,58,86.11
2006-12-15,62,42.23
2006-12-22,45,44.04
2006-12-29,42,44.09
2007-01-05,50,43.48
2007-01-12,74,44.05
2007-01-19,67,44.41
2007-01-26,60,43.84
2007-02-02,71,45.2
2007-02-09,70,44.31
2007-02-16,68,45.32
2007-02-23,67,45.31
2007-03-02,55,42.54
2007-03-09,63,43.5
2007-03-16,66,42.23
2007-03-23,66,43.9
2007-03-30,66,43.09
2007-04-13,62,43.22
2007-04-20,61,44.96
2007-04-27,73,47.88
2007-05-04,67,46.86
2007-05-11,56,46.15
2007-05-18,63,45.92
2007-05-25,56,47.27
2007-06-01,61,48.8
2007-06-08,62,47.69
2007-06-15,57,48.7
2007-06-22,59,47.74
2007-06-29,56,46.8
2007-07-06,59,48.07
2007-07-13,57,49.81
2007-07-20,60,49.94
2007-07-27,57,47.17
2007-08-03,64,46.57
2007-08-10,61,47.09
2007-08-17,62,46.31
2007-08-24,58,47.78
2007-08-31,59,49.23
2007-09-07,54,47.38
2007-09-14,54,48.66
2007-09-21,59,50.2
2007-09-28,62,53.22
2007-10-05,63,54.27
2007-10-12,54,53.09
2007-10-19,63,50.5
2007-10-26,58,51.4
2007-11-02,64,51.83
2007-11-09,60,54.79
2007-11-16,61,54.97
2007-11-23,62,54.68
2007-11-30,68,57.02
2007-12-07,63,58.32
2007-12-14,55,56.21
2007-12-21,52,55.83
2007-12-28,31,57.03
2008-01-04,46,53.85
2008-01-11,59,51.39
2008-01-18,56,49.19
2008-01-25,62,51.52
2008-02-01,57,52.22
2008-02-08,59,50.84
2008-02-15,60,52.26
2008-02-22,59,51.81
2008-02-29,57,50.96
2008-03-07,67,49.46
2008-03-14,58,48.64
2008-03-28,54,51.18
2008-04-04,61,53.83
2008-04-11,58,50.19
2008-04-18,65,53.2
2008-04-25,61,53.74
2008-05-02,61,53.77
2008-05-09,61,54.18
2008-05-16,65,57.41
2008-05-23,63,56.08
2008-05-30,59,58.18
2008-06-06,55,55.93
2008-06-13,56,55.92
2008-06-20,64,53.91
2008-06-27,63,48.17
2008-07-11,59,49.34
2008-07-18,64,50.5
2008-07-25,60,49.83
2008-08-01,61,48.41
2008-08-08,57,49.03
2008-08-15,65,49.43
2008-08-22,61,48.4
2008-08-29,63,46.8
2008-09-05,56,44.22
2008-09-12,58,44.2
2008-09-19,56,43.84
2008-09-26,61,41.32
2008-10-03,55,38.2
2008-10-10,66,33.38
2008-10-17,63,34.04
2008-10-24,64,30.63
2008-10-31,58,32.73
2008-11-07,60,32.18
2008-11-14,76,33.4
2008-11-21,60,32.18
2008-11-28,54,35.89
2008-12-05,63,31.29
2008-12-12,54,32.36
2008-12-19,53,34.02
2008-12-26,36,34.4
2009-01-02,42,37.95
2009-01-09,59,35.7
2009-01-16,67,33.65
2009-01-23,59,32.79
2009-01-30,68,32.7
2009-02-06,61,33.43
2009-02-13,69,32.02
2009-02-20,69,29.2
2009-02-27,73,26.75
2009-03-06,72,25.17
2009-03-13,76,26.82
2009-03-20,71,26.8
2009-03-27,72,28.96
2009-04-03,67,31.96
2009-04-17,71,33.04
2009-04-24,77,33.6
2009-05-01,72,35.58
2009-05-08,63,36.46
2009-05-15,69,33.75
2009-05-22,69,32.18
2009-05-29,68,32.09
2009-06-05,66,35.2
2009-06-12,67,35.07
2009-06-19,69,32.76
2009-06-26,76,33.09
2009-07-10,68,31
2009-07-17,67,33.97
2009-07-24,71,36.8
2009-07-31,67,36.38
2009-08-07,73,35.64
2009-08-14,74,35.19
2009-08-21,71,36.02
2009-08-28,71,37.2
2009-09-04,68,37.41
2009-09-11,68,39.38
2009-09-18,70,41.12
2009-09-25,71,38.92
2009-10-02,71,38.31
2009-10-09,75,39.1
2009-10-16,72,39.12
2009-10-23,69,39.68
2009-10-30,66,37.75
2009-11-06,73,41.23
2009-11-13,64,41.77
2009-11-20,65,41.68
2009-11-27,58,41.5
2009-12-04,65,42.14
2009-12-11,64,42
2009-12-18,59,41.78
2010-01-08,68,44.06
2010-01-15,73,44.32
2010-01-22,68,42.08
2010-01-29,75,41.54
2010-02-05,72,45.15
2010-02-12,70,46.21
2010-02-19,70,48.08
2010-02-26,75,47.34
2010-03-05,69,48.49
2010-03-12,80,48.09
2010-03-19,70,48.62
2010-03-26,66,49.8
2010-04-09,73,50.8
2010-04-16,72,51.8
2010-04-23,75,52.74
2010-04-30,75,52.23
2010-05-07,77,48.47
2010-05-14,67,49.06
2010-05-21,69,45.93
2010-05-28,68,46.44
2010-06-04,65,44.97
2010-06-11,72,45.77
2010-06-18,74,47.47
2010-06-25,64,44.89
2010-07-02,61,43.42
2010-07-09,60,46.42
2010-07-16,71,45.22
2010-07-23,69,50.57
2010-07-30,68,49.54
2010-08-06,65,50.37
2010-08-13,65,48.23
2010-08-20,67,46.68
2010-08-27,66,46.88
2010-09-03,66,49.76
2010-09-10,58,49.81
2010-09-17,68,51.22
2010-09-24,67,53.46
2010-10-01,75,53.67
2010-10-08,70,53.42
2010-10-15,63,53.67
2010-10-22,67,54.51
2010-10-29,65,54.9
2010-11-05,73,57.28
2010-11-12,65,55.37
2010-11-19,70,55.75
2010-11-26,59,55.6
2010-12-03,67,56.84
2010-12-10,63,57.64
2010-12-17,58,58.33
2010-12-31,50,57.17
2011-01-07,70,56.83
2011-01-14,66,58.16
2011-01-21,69,57.54
2011-01-28,71,56.96
2011-02-04,72,60.59
2011-02-11,71,61.56
2011-02-18,67,61.78
2011-02-25,68,59.97
2011-03-04,73,59.74
2011-03-11,71,59.41
2011-03-18,70,57.14
2011-03-25,72,57.82
2011-04-01,74,59
2011-04-08,65,57.75
2011-04-15,71,57.55
2011-04-29,68,60.77
2011-05-06,70,55.66
2011-05-13,70,53.53
2011-05-20,68,54.09
2011-05-27,60,54.12
2011-06-03,66,51.22
2011-06-10,64,51.37
2011-06-17,66,52.06
2011-06-24,63,53.57
2011-07-01,66,57.09
2011-07-08,62,57.19
2011-07-15,69,55.37
2011-07-22,68,55.1
2011-07-29,70,49.09
2011-08-05,69,45.39
2011-08-12,69,46.3
2011-08-19,60,42.46
2011-08-26,63,45.41
2011-09-02,58,44.03
2011-09-09,58,43.4
2011-09-16,64,45.74
2011-09-23,66,42.33
2011-09-30,74,41.31
