"Date","Ensco.plc","Price"
2011-02-11,100,52.93
2011-06-17,45,51.14
2012-02-10,30,55.8
2012-02-17,31,55.17
2012-02-24,32,59.4
2012-03-02,33,57.12
2012-09-14,42,58.13
2012-11-16,32,54.67
2012-11-23,29,57.26
2012-11-30,29,58.23
2012-12-07,29,57.94
2012-12-14,29,57.38
2012-12-21,29,59.68
2013-02-01,32,64.37
2013-02-08,29,63.72
2013-02-15,24,64.35
2013-02-22,24,61.49
2013-03-01,24,59.71
2013-03-08,24,57.7
2013-03-15,23,59.49
2013-03-22,25,58.52
2013-04-05,29,57.93
2013-04-12,26,56.98
2013-04-19,26,53.39
2013-04-26,26,55.41
2013-05-03,34,60.15
2013-05-10,24,60.74
2013-05-17,26,62.15
2013-05-24,31,61.64
2013-05-31,26,60.17
2013-06-07,40,60.26
2013-06-14,31,58.08
2013-06-21,31,57.35
2013-06-28,31,58.12
2013-07-05,31,57.83
2013-07-12,31,60.25
2013-07-19,25,61.23
2013-07-26,28,58.85
2013-08-02,31,58.45
2013-08-09,33,58.85
2013-08-16,36,56.01
2013-08-23,36,57.33
2013-08-30,28,55.56
2013-09-06,30,56.2
2013-09-13,23,55.48
2013-09-20,24,54.76
2013-09-27,25,54.5
2013-10-04,31,55.32
2013-10-11,36,54.77
2013-10-18,28,55.04
2013-10-25,28,57.02
2013-11-01,31,57.39
2013-11-08,26,61.48
2013-11-15,24,61.88
2013-11-22,32,61.09
2013-11-29,28,59.08
2013-12-06,23,59.05
2013-12-13,26,57.65
2013-12-20,28,54.98
2013-12-27,30,56.59
2014-01-03,32,56.57
2014-01-10,34,56.94
2014-01-17,30,54.6
2014-01-24,31,51.34
2014-01-31,29,50.37
2014-02-07,35,50.45
2014-02-14,41,51.24
2014-02-21,48,52.42
2014-02-28,29,52.66
2014-03-07,31,51.94
2014-03-14,27,48.35
2014-03-21,21,50.99
2014-03-28,39,52.89
2014-04-04,27,51.1
2014-04-11,27,48.59
2014-04-25,21,51.66
