"Date","FLIR","Price"
2004-02-06,45,39.5
2004-02-13,40,39.49
2004-02-20,42,39.46
2004-02-27,50,38.43
2004-03-05,51,39.48
2004-03-12,48,37.33
2004-03-19,48,37.53
2004-03-26,52,37.55
2004-04-02,57,39.46
2004-04-16,42,38.55
2004-04-23,38,45.57
2004-04-30,41,46.84
2004-05-07,38,44.86
2004-05-14,61,46.79
2004-05-21,47,47.91
2004-05-28,53,49.2
2004-06-04,43,52.25
2004-06-18,30,50.29
2004-06-25,44,52.75
2004-07-02,41,52.99
2004-07-09,49,53.71
2004-07-16,34,55.51
2004-07-23,69,60.81
2004-07-30,49,63.63
2004-08-06,23,59.23
2004-08-13,45,60.04
2004-08-20,55,63.1
2004-08-27,34,62.51
2004-09-03,35,59.9
2004-09-10,30,61.45
2004-09-17,37,62.89
2004-09-24,53,62.9
2004-10-01,41,58.04
2004-10-08,41,54.52
2004-10-15,57,54.5
2004-10-22,40,54.61
2004-10-29,38,53.21
2004-11-05,43,57.74
2004-11-12,32,60.7
2004-11-19,41,58.25
2004-11-26,39,58.08
2004-12-03,43,56.58
2004-12-10,36,54.9
2004-12-17,41,60.12
2004-12-31,37,63.79
2005-01-07,40,60.08
2005-01-14,46,58.9
2005-01-21,42,57.74
2005-01-28,48,59.84
2005-02-04,58,31.4
2005-02-11,39,31.86
2005-02-18,36,31.01
2005-02-25,42,31.08
2005-03-04,60,33.35
2005-03-11,33,33.34
2005-03-18,43,32.17
2005-04-01,34,30.6
2005-04-08,44,29.62
2005-04-15,35,24.46
2005-04-22,56,26.85
2005-04-29,40,26.6
2005-05-06,34,27.17
2005-05-13,33,25.83
2005-05-20,37,25.93
2005-05-27,42,26.28
2005-06-03,36,28.03
2005-06-10,43,27.04
2005-06-17,41,29.65
2005-06-24,35,28.51
2005-07-01,35,30.05
2005-07-08,52,30.56
2005-07-15,49,29.22
2005-07-22,48,32.98
2005-07-29,50,32.89
2005-08-05,36,32.69
2005-08-12,28,32.01
2005-08-19,38,32.7
2005-08-26,26,32.51
2005-09-02,30,30.79
2005-09-09,35,30
2005-09-16,35,30.09
2005-09-23,30,29.13
2005-09-30,28,29.57
2005-10-07,36,27.86
2005-10-14,43,23.97
2005-10-21,49,21.88
2005-10-28,41,20.99
2005-11-04,32,23.2
2005-11-11,42,24.1
2005-11-18,35,23.07
2005-11-25,29,24.45
2005-12-02,46,22.98
2005-12-09,43,22.81
2005-12-16,47,23.17
2005-12-23,34,22.8
2005-12-30,34,22.33
2006-01-06,25,23.08
2006-01-13,48,24.83
2006-01-20,35,23.22
2006-01-27,41,23.63
2006-02-03,37,24.06
2006-02-10,52,25.84
2006-02-17,38,25.69
2006-02-24,46,26.06
2006-03-03,40,25.83
2006-03-10,52,27.16
2006-03-17,45,27.15
2006-03-24,33,27.79
2006-03-31,42,28.41
2006-04-07,46,28.59
2006-04-21,39,26.01
2006-04-28,30,24.45
2006-05-05,42,24.35
2006-05-12,42,23.8
2006-05-19,38,24.57
2006-05-26,29,26.4
2006-06-02,39,25.46
2006-06-09,38,24.88
2006-06-16,43,23.68
2006-06-23,38,22.71
2006-06-30,38,22.9
2006-07-07,36,21.71
2006-07-14,44,25.84
2006-07-21,40,23.74
2006-07-28,40,24.42
2006-08-04,36,23.97
2006-08-11,34,23.62
2006-08-18,27,25.68
2006-08-25,51,25.35
2006-09-01,39,27.49
2006-09-08,33,27.29
2006-09-15,45,27.23
2006-09-22,45,26.63
2006-09-29,47,27.16
2006-10-06,38,26.8
2006-10-13,49,28.21
2006-10-20,42,29.13
2006-10-27,37,31.22
2006-11-03,42,31.01
2006-11-10,44,32.25
2006-11-17,38,33
2006-11-24,35,33.53
2006-12-01,45,32.09
2006-12-08,30,31.55
2006-12-15,38,32.65
2006-12-22,33,31.81
2006-12-29,26,31.83
2007-01-05,39,31.58
2007-01-12,40,32.49
2007-01-19,44,31.16
2007-01-26,42,31.91
2007-02-02,58,31.53
2007-02-09,44,34.45
2007-02-16,43,35.32
2007-02-23,48,35.93
2007-03-02,45,33.35
2007-03-09,49,34.6
2007-03-16,44,33.71
2007-03-23,44,34.64
2007-03-30,50,35.67
2007-04-13,39,38.3
2007-04-20,42,39.75
2007-04-27,43,41.94
2007-05-04,37,43.73
2007-05-11,38,41.91
2007-05-18,42,40.8
2007-05-25,41,40.61
2007-06-01,37,41.7
2007-06-08,46,40.15
2007-06-15,44,42.97
2007-06-22,42,43.28
2007-06-29,41,46.25
2007-07-06,31,47.32
2007-07-13,49,47.71
2007-07-20,45,49
2007-07-27,39,44.8
2007-08-03,41,43.46
2007-08-10,40,50.38
2007-08-17,44,51.04
2007-08-24,40,50.4
2007-08-31,35,49.24
2007-09-07,44,48.72
2007-09-14,48,50.91
2007-09-21,47,54.56
2007-09-28,46,55.39
2007-10-05,45,58.31
2007-10-12,38,60.07
2007-10-19,45,57.77
2007-10-26,44,67.92
2007-11-02,47,70.56
2007-11-09,43,63.38
2007-11-16,51,63.83
2007-11-23,48,65.2
2007-11-30,43,68.73
2007-12-07,51,66.7
2007-12-14,46,30.21
2007-12-21,37,31.41
2007-12-28,29,32.59
2008-01-04,46,30.5
2008-01-11,50,30.12
2008-01-18,52,31.34
2008-01-25,43,30.63
2008-02-01,55,32.59
2008-02-08,41,32.67
2008-02-15,49,31.62
2008-02-22,45,29.69
2008-02-29,50,28.46
2008-03-07,53,25.54
2008-03-14,52,26.08
2008-03-28,41,28.99
2008-04-04,41,31.37
2008-04-11,40,29.08
2008-04-18,37,30.63
2008-04-25,55,34.4
2008-05-02,39,34.91
2008-05-09,42,32.88
2008-05-16,39,35.44
2008-05-23,39,38.17
2008-05-30,43,39.42
2008-06-06,46,37.55
2008-06-13,44,38.52
2008-06-20,45,39.2
2008-06-27,50,41.38
2008-07-11,44,42.55
2008-07-18,42,45.1
2008-07-25,48,39.82
2008-08-01,40,39.93
2008-08-08,45,38.87
2008-08-15,42,38.8
2008-08-22,41,37.42
2008-08-29,44,35.7
2008-09-05,47,34.2
2008-09-12,49,34.43
2008-09-19,50,38.01
2008-09-26,48,38.15
2008-10-03,49,34.74
2008-10-10,50,27.9
2008-10-17,54,29.82
2008-10-24,55,27.48
2008-10-31,63,32.1
2008-11-07,51,30.23
2008-11-14,44,29.7
2008-11-21,57,28.5
2008-11-28,58,31
2008-12-05,45,28.72
2008-12-12,63,25.1
2008-12-19,38,26.95
2008-12-26,26,28.13
2009-01-02,34,31.76
2009-01-09,45,30.53
2009-01-16,56,29.4
2009-01-23,51,28.03
2009-01-30,48,24.97
2009-02-06,53,23.13
2009-02-13,57,22.19
2009-02-20,57,20.6
2009-02-27,51,20.41
2009-03-06,60,19.59
2009-03-13,52,20.46
2009-03-20,52,20.61
2009-03-27,42,20.98
2009-04-03,48,21.88
2009-04-17,50,21.84
2009-04-24,48,22
2009-05-01,56,25.21
2009-05-08,45,26.55
2009-05-15,51,24.65
2009-05-22,47,23.77
2009-05-29,39,22.46
2009-06-05,48,24.5
2009-06-12,43,24.64
2009-06-19,50,22.93
2009-06-26,43,22.79
2009-07-10,43,20.84
2009-07-17,46,23.17
2009-07-24,51,22.03
2009-07-31,48,21.49
2009-08-07,42,21.66
2009-08-14,45,22.61
2009-08-21,44,23.05
2009-08-28,50,23.1
2009-09-04,46,23.2
2009-09-11,42,25.85
2009-09-18,52,27.97
2009-09-25,46,27.61
2009-10-02,53,26.96
2009-10-09,54,27.8
2009-10-16,47,28.62
2009-10-23,48,29.33
2009-10-30,50,27.81
2009-11-06,52,28.76
2009-11-13,47,28.97
2009-11-20,49,29.57
2009-11-27,40,28.79
2009-12-04,45,29.8
2009-12-11,53,29.94
2009-12-18,53,30.34
2010-01-08,53,32.93
2010-01-15,52,30.81
2010-01-22,54,30.52
2010-01-29,49,29.58
2010-02-05,49,29.51
2010-02-12,49,26.62
2010-02-19,55,27.15
2010-02-26,47,26.81
2010-03-05,47,26.64
2010-03-12,45,26.68
2010-03-19,50,27.32
2010-03-26,50,27.91
2010-04-09,45,28.91
2010-04-16,44,29.29
2010-04-23,45,31.42
2010-04-30,46,30.59
2010-05-07,42,28.44
2010-05-14,42,29.15
2010-05-21,49,28.08
2010-05-28,40,28.49
2010-06-04,41,27.7
2010-06-11,41,27.65
2010-06-18,41,28.84
2010-06-25,41,29.15
2010-07-02,44,29.43
2010-07-09,34,30.51
2010-07-16,43,30.04
2010-07-23,47,30.16
2010-07-30,38,29.76
2010-08-06,38,29.76
2010-08-13,42,26.96
2010-08-20,49,26.36
2010-08-27,45,25.2
2010-09-03,48,26.76
2010-09-10,42,26.83
2010-09-17,42,27.24
2010-09-24,42,27.11
2010-10-01,47,25.74
2010-10-08,43,24.61
2010-10-15,52,25.79
2010-10-22,49,26.41
2010-10-29,45,27.84
2010-11-05,47,28.61
2010-11-12,50,27.74
2010-11-19,51,27.34
2010-11-26,42,27.4
2010-12-03,51,28.39
2010-12-10,45,27.97
2010-12-17,45,28.45
2010-12-31,33,29.75
2011-01-07,49,29.11
2011-01-14,48,29.49
2011-01-21,46,29.37
2011-01-28,52,30.63
2011-02-04,55,32.13
2011-02-11,51,32.18
2011-02-18,48,32.29
2011-02-25,50,31.99
