"Date","Franklin.Resources","Price"
2004-02-06,100,57.02
2006-07-21,33,84.46
2006-12-01,27,106.79
2006-12-08,25,112.36
2007-04-13,27,126.54
2007-04-20,27,130.29
2007-04-27,36,131.34
2007-06-29,19,132.47
2007-07-06,26,135.42
2007-07-13,26,140.23
2007-07-20,27,137.94
2007-07-27,27,130.15
2007-08-03,23,120.49
2007-08-10,23,122.03
2007-08-17,23,131.5
2007-08-24,26,134.35
2007-08-31,28,131.77
2007-09-07,23,126.14
2007-09-14,23,126.12
2007-09-21,21,130.29
2007-09-28,21,127.5
2007-10-05,18,130.13
2007-10-12,18,140.32
2007-10-19,18,132.84
2007-10-26,16,131.98
2007-11-02,16,124.23
2007-11-09,16,117.23
2007-11-16,17,118.95
2008-01-11,29,102
2008-01-18,22,90.54
2008-01-25,15,98.39
2008-02-01,15,106.65
2008-02-08,15,97.68
2008-02-15,21,96.92
2008-02-22,16,97.14
2008-02-29,16,94.37
2008-03-07,26,89.73
2008-03-14,23,90.45
2008-03-28,19,94.62
2008-04-04,19,101.21
2008-04-11,19,97.8
2008-04-18,20,99.96
2008-04-25,16,93.64
2008-05-02,17,101.84
2008-05-09,16,99.93
2008-05-16,16,103.17
2008-05-23,17,97.77
2008-05-30,18,101.22
2008-06-06,19,99.63
2008-06-13,14,106.78
2008-06-20,17,100.42
2008-06-27,21,95.77
2008-07-11,16,88.4
2008-07-18,17,92.68
2008-07-25,19,96.16
2008-08-01,14,100.38
2008-08-08,14,104.49
2008-08-15,15,105.48
2008-08-22,15,102
2008-08-29,15,104.5
2008-09-05,17,100.67
2008-09-12,19,95.75
2008-09-19,22,108
2008-09-26,18,98.8
2008-10-03,15,82.66
2008-10-10,18,65.01
2008-10-17,16,67.06
2008-10-24,24,55.48
2008-10-31,15,68
2008-11-07,18,64.42
2008-11-14,16,54.43
2008-11-21,12,52.1
2008-11-28,12,60.75
2008-12-05,12,61.81
2008-12-12,12,59.31
2008-12-19,13,62.74
2008-12-26,16,59.64
2009-01-02,15,66.6
2009-01-09,15,62.1
2009-01-16,14,54.8
2009-01-23,16,52.34
2009-01-30,18,48.42
2009-02-06,11,56.48
2009-02-13,27,55.32
2009-02-20,11,50.78
2009-02-27,16,45.8
2009-03-06,17,38.66
2009-03-13,19,49.04
2009-03-20,14,47.09
2009-03-27,10,54.2
2009-04-03,10,60.13
2009-04-17,10,60.94
2009-04-24,10,61.66
2009-05-01,12,61.06
2009-05-08,14,65.15
2009-05-15,14,60.1
2009-05-22,10,61.92
2009-05-29,13,66.85
2009-06-05,15,74.59
2009-06-12,10,75.99
2009-06-19,10,73.37
2009-06-26,10,71.85
2009-07-10,10,66.19
2009-07-17,12,72.57
2009-07-24,15,80.57
2009-07-31,11,88.68
2009-08-07,11,94.37
2009-08-14,11,94.55
2009-08-21,11,94.57
2009-08-28,10,93.71
2009-09-04,10,93.65
2009-09-11,10,97.8
2009-09-18,12,103.46
2009-09-25,13,99.21
2009-10-02,11,98.21
2009-10-09,11,106.44
2009-10-16,13,110.07
2009-10-23,10,112.93
2009-10-30,24,104.63
2009-11-06,15,110.23
2009-11-13,11,112.8
2009-11-20,15,111.36
2009-11-27,9,108.97
2009-12-04,12,108.87
2009-12-11,12,107.97
2009-12-18,9,103.99
2010-01-08,15,108.05
2010-01-15,20,108.31
2010-01-22,10,101.26
2010-01-29,12,99.03
2010-02-05,10,98
2010-02-12,11,97.86
2010-02-19,8,101.61
2010-02-26,8,101.72
2010-03-05,11,109.29
2010-03-12,10,108.34
2010-03-19,11,110.37
2010-03-26,15,110.96
2010-04-09,11,114.82
2010-04-16,11,118.45
2010-04-23,10,119.64
2010-04-30,10,115.64
2010-05-07,10,104.52
2010-05-14,9,106.09
2010-05-21,12,102.73
2010-05-28,9,98.09
2010-06-04,14,91.39
2010-06-11,19,93.5
2010-06-18,10,93.3
2010-06-25,10,91
2010-07-02,9,84.97
2010-07-09,10,92.24
2010-07-16,15,90.14
2010-07-23,10,95.52
2010-07-30,12,100.58
2010-08-06,13,102.7
2010-08-13,14,99.53
2010-08-20,9,98.92
2010-08-27,10,98.32
2010-09-03,12,102.64
2010-09-10,9,104.01
2010-09-17,10,105.76
2010-09-24,17,106.97
2010-10-01,8,107.91
2010-10-08,8,113.38
2010-10-15,13,116.41
2010-10-22,9,115.87
2010-10-29,10,114.7
2010-11-05,11,124.59
2010-11-12,9,118.33
2010-11-19,11,116.22
2010-11-26,11,114.03
2010-12-03,9,120.02
2010-12-10,14,118.06
2010-12-17,12,114.6
2010-12-31,11,111.21
2011-01-07,18,111.69
2011-01-14,17,121.21
2011-01-21,17,118.43
2011-01-28,13,120.84
2011-02-04,10,122.44
2011-02-11,16,128.55
2011-02-18,15,130.4
2011-02-25,14,124.94
2011-03-04,12,125.55
2011-03-11,12,121.01
2011-03-18,12,116.52
2011-03-25,6,121.18
2011-04-01,12,127.2
2011-04-08,12,124.6
2011-04-15,15,123.08
2011-04-29,10,129.12
2011-05-06,12,126.27
2011-05-13,7,127.27
2011-05-20,12,125.83
2011-05-27,8,126.76
2011-06-03,10,124.1
2011-06-10,10,121.9
2011-06-17,7,124.38
2011-06-24,13,123.14
2011-07-01,9,134.26
2011-07-08,14,137.08
2011-07-15,10,130.32
2011-07-22,11,133.51
2011-07-29,11,126.96
2011-08-05,13,117.66
2011-08-12,12,115.68
2011-08-19,9,110.63
2011-08-26,7,115.84
2011-09-02,13,113.71
2011-09-09,9,111.69
2011-09-16,11,119.33
2011-09-23,9,98.76
2011-09-30,10,95.64
2011-10-07,10,94.93
2011-10-14,9,101.12
2011-10-21,11,103.53
2011-10-28,14,110.92
2011-11-04,9,106.93
2011-11-11,9,107.59
2011-11-18,8,99.36
2011-11-25,6,91.63
2011-12-02,10,98.44
2011-12-09,6,99.93
2011-12-16,9,94.09
2011-12-23,7,95.92
2011-12-30,6,96.06
2012-01-06,9,98.26
2012-01-13,6,96.26
2012-01-20,10,102.4
2012-01-27,17,106.46
2012-02-03,15,116.41
2012-02-10,9,116.1
2012-02-17,14,117.04
2012-02-24,7,118.84
2012-03-02,10,118.09
2012-03-09,10,120.41
2012-03-16,11,125.46
2012-03-23,13,122.76
2012-03-30,8,124.03
2012-04-13,10,122.24
2012-04-20,8,122.7
2012-04-27,10,125.85
2012-05-04,9,117.57
2012-05-11,10,114.48
2012-05-18,12,107.46
2012-05-25,9,106.79
2012-06-01,9,102.05
2012-06-08,6,108.1
2012-06-15,8,109.18
2012-06-22,7,104.43
2012-06-29,8,110.99
2012-07-06,6,111.53
2012-07-13,12,113.88
2012-07-20,11,110.35
2012-07-27,10,112.21
2012-08-03,10,113.5
2012-08-10,6,116.23
2012-08-17,7,119.93
2012-08-24,8,119.1
2012-08-31,7,117.4
2012-09-07,9,121.36
2012-09-14,10,128
2012-09-21,12,125.12
2012-09-28,11,125.07
2012-10-05,13,129.32
2012-10-12,11,127.3
2012-10-19,8,130.53
2012-10-26,9,128
2012-11-02,12,131.95
2012-11-09,10,128.9
2012-11-16,8,128.12
2012-11-23,9,133.18
