"Date","GGP","Price"
2004-05-07,28,25.92
2004-05-14,23,26.37
2004-05-21,23,26.75
2004-05-28,23,29.38
2004-11-26,19,34.17
2004-12-03,21,35.45
2004-12-10,22,36.63
2004-12-17,23,35.55
2004-12-31,16,36.16
2005-01-07,16,34.12
2005-01-14,16,33.22
2005-01-21,16,33.25
2005-01-28,16,32
2005-02-04,17,34.17
2005-02-11,17,36.74
2005-02-18,16,36.52
2005-02-25,16,35.57
2005-03-04,16,35.68
2005-03-11,16,33.85
2005-03-18,17,34.32
2005-04-01,16,34
2005-04-08,20,34.05
2005-04-15,24,34.65
2005-04-22,14,36.95
2005-04-29,18,39.11
2005-05-06,19,37.1
2005-05-13,19,37.35
2005-05-20,23,39.71
2005-05-27,20,38.5
2005-06-03,17,39.9
2005-06-10,16,40.63
2005-06-17,26,41.84
2005-06-24,20,40.51
2005-07-01,20,41.81
2005-07-08,20,43.38
2005-07-15,16,43.36
2005-07-22,14,43.86
2005-07-29,14,45.98
2005-08-05,19,43.89
2005-08-12,18,44.26
2005-08-19,14,44.02
2005-08-26,13,43.9
2005-09-02,13,45.54
2005-09-09,15,46.84
2005-09-16,13,45.29
2005-09-23,16,43.16
2005-09-30,20,44.93
2005-10-07,13,42.84
2005-10-14,17,41.3
2005-10-21,20,41
2005-10-28,19,41.8
2005-11-04,20,41.03
2005-11-11,17,43.26
2005-11-18,15,44.6
2005-11-25,26,46.51
2005-12-02,18,46.08
2005-12-09,18,46.15
2005-12-16,22,47.5
2005-12-23,27,47.86
2005-12-30,37,46.99
2006-01-06,30,49.73
2006-01-13,26,49.57
2006-01-20,15,49.44
2006-01-27,15,51.41
2006-02-03,22,50.72
2006-02-10,15,49.34
2006-02-17,13,51.69
2006-02-24,20,50.45
2006-03-03,14,49.22
2006-03-10,22,48.53
2006-03-17,16,51.3
2006-03-24,21,49.64
2006-03-31,23,48.87
2006-04-07,21,46.12
2006-04-21,14,46.62
2006-04-28,19,46.95
2006-05-05,18,47.19
2006-05-12,21,45.28
2006-05-19,14,43.41
2006-05-26,19,44.5
2006-06-02,18,45.78
2006-06-09,17,45.69
2006-06-16,15,44.47
2006-06-23,17,42.85
2006-06-30,13,45.06
2006-07-07,18,45.09
2006-07-14,10,44.29
2006-07-21,20,44.51
2006-07-28,30,46.19
2006-08-04,17,45.71
2006-08-11,16,43.55
2006-08-18,22,44.4
2006-08-25,14,45.19
2006-09-01,16,45
2006-09-08,14,45.79
2006-09-15,17,48.11
2006-09-22,12,47.56
2006-09-29,13,47.65
2006-10-06,12,48.91
2006-10-13,18,51.34
2006-10-20,19,51.5
2006-10-27,16,51.51
2006-11-03,21,49.16
2006-11-10,17,47
2006-11-17,15,48.34
2006-11-24,15,52.65
2006-12-01,18,55.33
2006-12-08,19,54.52
2006-12-15,20,53.12
2006-12-22,25,51.22
2006-12-29,18,52.23
2007-01-05,23,51.51
2007-01-12,17,54.85
2007-01-19,21,56.19
2007-01-26,15,59.62
2007-02-02,14,61.48
2007-02-09,17,62.18
2007-02-16,17,65.65
2007-02-23,19,64.8
2007-03-02,22,60.94
2007-03-09,17,63.68
2007-03-16,19,64.3
2007-03-23,16,67
2007-03-30,21,64.57
2007-04-13,30,63.55
2007-04-20,19,63.82
2007-04-27,22,65.09
2007-05-04,25,61.97
2007-05-11,18,62.31
2007-05-18,18,56.94
2007-05-25,27,55.83
2007-06-01,19,58.71
2007-06-08,25,56.17
2007-06-15,18,56.47
2007-06-22,20,52.75
2007-06-29,19,52.95
2007-07-06,19,54.05
2007-07-13,23,53.4
2007-07-20,21,51.25
2007-07-27,22,46.7
2007-08-03,25,46.82
2007-08-10,17,50.95
2007-08-17,21,50.35
2007-08-24,17,50.02
2007-08-31,16,49.71
2007-09-07,20,49.25
2007-09-14,21,49.56
2007-09-21,19,51.98
2007-09-28,22,53.62
2007-10-05,26,57.31
2007-10-12,23,56.87
2007-10-19,19,52.29
2007-10-26,22,52.79
2007-11-02,16,51.58
2007-11-09,20,47.06
2007-11-16,20,48.79
2007-11-23,21,46.59
2007-11-30,21,46.44
2007-12-07,20,47.97
2007-12-14,21,44.45
2007-12-21,20,41.25
2007-12-28,25,40.55
2008-01-04,27,36.66
2008-01-11,23,34.43
2008-01-18,26,32.86
2008-01-25,24,35.75
2008-02-01,16,40
2008-02-08,20,34.87
2008-02-15,21,36.5
2008-02-22,23,35.04
2008-02-29,18,35.31
2008-03-07,17,33.73
2008-03-14,14,32.31
2008-03-28,24,38.69
2008-04-04,19,42.25
2008-04-11,17,38.1
2008-04-18,24,40.76
2008-04-25,19,42.39
2008-05-02,18,43.1
2008-05-09,25,41.2
2008-05-16,19,43.83
2008-05-23,27,39.33
2008-05-30,19,41.56
2008-06-06,23,39.73
2008-06-13,16,39.63
2008-06-20,20,38.18
2008-06-27,19,35.12
2008-07-11,23,30
2008-07-18,20,30.1
2008-07-25,19,29.37
2008-08-01,18,26.99
2008-08-08,20,27.48
2008-08-15,23,25.15
2008-08-22,24,24.98
2008-08-29,23,25.93
2008-09-05,19,25.82
2008-09-12,17,27.55
2008-09-19,18,21.42
2008-09-26,28,17.05
2008-10-03,34,9.67
2008-10-10,37,4.82
2008-10-17,32,6.12
2008-10-24,30,2.17
2008-10-31,42,4.14
2008-11-07,36,2.07
2008-11-14,69,0.44
2008-11-21,43,0.41
2008-11-28,49,1.38
2008-12-05,55,1.65
2008-12-12,61,1.8
2008-12-19,58,1.75
2008-12-26,35,1.29
2009-01-02,31,1.42
2009-01-09,38,1.83
2009-01-16,32,1.16
2009-01-23,29,1.07
2009-01-30,36,0.65
2009-02-06,41,0.81
2009-02-13,35,0.55
2009-02-20,40,0.46
2009-02-27,38,0.59
2009-03-06,42,0.33
2009-03-13,32,0.64
2009-03-20,50,0.44
2009-03-27,48,0.66
2009-04-03,42,0.72
2009-04-17,100,0.62
2009-04-24,51,0.62
2009-05-01,34,0.62
2009-05-08,29,0.94
2009-05-15,32,1.04
2009-05-22,21,1.17
2009-05-29,26,2.02
2009-06-05,21,2.9
2009-06-12,22,2.07
2009-06-19,22,2.07
2009-06-26,21,2.04
2009-07-10,21,1.4
2009-07-17,24,1.72
2009-07-24,20,1.86
2009-07-31,21,2.02
