"Date","GPC","Price"
2004-02-06,43,33.62
2004-02-13,39,33.91
2004-02-20,34,34.51
2004-02-27,46,34.73
2004-03-05,41,34.63
2004-03-12,29,33.6
2004-03-19,47,33.16
2004-03-26,33,32.69
2004-04-02,49,32.86
2004-04-16,45,35.98
2004-04-23,46,36.72
2004-04-30,43,35.8
2004-05-07,32,35.62
2004-05-14,49,36.25
2004-05-21,52,36.57
2004-05-28,34,37.64
2004-06-04,36,39.46
2004-06-18,41,39.52
2004-06-25,35,39.7
2004-07-02,38,38.67
2004-07-09,43,37.92
2004-07-16,45,37.49
2004-07-23,34,37.51
2004-07-30,35,37.73
2004-08-06,47,36.28
2004-08-13,45,36.81
2004-08-20,36,38.09
2004-08-27,41,38.14
2004-09-03,35,37.99
2004-09-10,38,37.31
2004-09-17,28,38.03
2004-09-24,37,37.44
2004-10-01,36,39.09
2004-10-08,36,38.62
2004-10-15,36,39.8
2004-10-22,35,38.4
2004-10-29,40,39.89
2004-11-05,34,42.17
2004-11-12,42,43.08
2004-11-19,35,42.82
2004-11-26,38,43.2
2004-12-03,29,43.99
2004-12-10,31,42.16
2004-12-17,24,42.54
2004-12-31,24,44.06
2005-01-07,36,42.55
2005-01-14,28,43
2005-01-21,41,42.34
2005-01-28,32,42.09
2005-02-04,34,44.63
2005-02-11,30,43.65
2005-02-18,33,44.26
2005-02-25,27,42.91
2005-03-04,46,43.89
2005-03-11,33,43.42
2005-03-18,40,42.39
2005-04-01,34,43.48
2005-04-08,39,44.05
2005-04-15,35,42.76
2005-04-22,34,43.16
2005-04-29,46,42.9
2005-05-06,30,42.79
2005-05-13,37,42.05
2005-05-20,34,43.08
2005-05-27,29,43.3
2005-06-03,44,42.54
2005-06-10,35,42.45
2005-06-17,38,42.96
2005-06-24,35,41.25
2005-07-01,38,41.46
2005-07-08,30,42.08
2005-07-15,35,42.71
2005-07-22,32,45.76
2005-07-29,32,45.79
2005-08-05,32,45.47
2005-08-12,36,45.2
2005-08-19,35,44.56
2005-08-26,38,44.51
2005-09-02,32,45.12
2005-09-09,32,45.62
2005-09-16,37,45.21
2005-09-23,32,43.04
2005-09-30,39,42.9
2005-10-07,32,42.16
2005-10-14,38,41.97
2005-10-21,36,42.6
2005-10-28,29,43.48
2005-11-04,34,44.5
2005-11-11,48,45.26
2005-11-18,32,44.71
2005-11-25,29,44.52
2005-12-02,34,44.47
2005-12-09,33,43.75
2005-12-16,29,43.82
2005-12-23,32,44.02
2005-12-30,22,43.92
2006-01-06,26,44.35
2006-01-13,35,44.39
2006-01-20,34,42.49
2006-01-27,36,43.22
2006-02-03,38,42.29
2006-02-10,36,42.38
2006-02-17,36,43.83
2006-02-24,44,44.81
2006-03-03,30,44.02
2006-03-10,38,44.75
2006-03-17,38,45.17
2006-03-24,33,44.41
2006-03-31,29,43.83
2006-04-07,31,44.91
2006-04-21,41,44.49
2006-04-28,40,43.65
2006-05-05,34,43.83
2006-05-12,35,43.36
2006-05-19,35,42.87
2006-05-26,30,43.96
2006-06-02,34,43.24
2006-06-09,28,41.53
2006-06-16,27,40.72
2006-06-23,38,41.17
2006-06-30,38,41.66
2006-07-07,29,41.68
2006-07-14,31,41.21
2006-07-21,37,41.16
2006-07-28,28,42.03
2006-08-04,37,41.81
2006-08-11,39,40.26
2006-08-18,36,41.54
2006-08-25,32,40.94
2006-09-01,34,41.69
2006-09-08,29,41.13
2006-09-15,31,43.23
2006-09-22,35,42.88
2006-09-29,42,43.13
2006-10-06,30,44.26
2006-10-13,24,45.08
2006-10-20,37,45.09
2006-10-27,31,45.6
2006-11-03,36,45.09
2006-11-10,32,46.33
2006-11-17,32,47.47
2006-11-24,27,47.2
2006-12-01,32,46.61
2006-12-08,27,47.45
2006-12-15,32,47.25
2006-12-22,25,47.16
2006-12-29,25,47.43
2007-01-05,33,46.86
2007-01-12,36,47.95
2007-01-19,38,47.5
2007-01-26,36,46.37
2007-02-02,34,48.19
2007-02-09,35,48.96
2007-02-16,33,49.77
2007-02-23,37,50.56
2007-03-02,33,48.21
2007-03-09,35,48.67
2007-03-16,39,48.42
2007-03-23,29,49.68
2007-03-30,35,49
2007-04-13,31,49.15
2007-04-20,35,49.86
2007-04-27,31,49.96
2007-05-04,34,49.27
2007-05-11,42,49.39
2007-05-18,33,50.07
2007-05-25,31,49.97
2007-06-01,32,50.89
2007-06-08,33,49.83
2007-06-15,36,49.87
2007-06-22,36,49.37
2007-06-29,29,49.6
2007-07-06,30,50.33
2007-07-13,32,50.41
2007-07-20,50,49.07
2007-07-27,100,47.52
2007-08-03,50,47.59
2007-08-10,40,48.11
2007-08-17,33,49.07
2007-08-24,34,48.45
2007-08-31,29,49.68
2007-09-07,42,48.32
2007-09-14,38,48.56
2007-09-21,33,50.55
2007-09-28,36,50
2007-10-05,37,50.16
2007-10-12,34,49.58
2007-10-19,27,47.09
2007-10-26,28,49.14
2007-11-02,80,49.02
2007-11-09,70,48.47
2007-11-16,58,47.87
2007-11-23,52,47.72
2007-11-30,46,48.05
2007-12-07,43,49.18
2007-12-14,34,47.56
2007-12-21,32,48.67
2007-12-28,29,47.05
2008-01-04,33,43.36
2008-01-11,41,42.28
2008-01-18,38,40.29
2008-01-25,36,40.74
2008-02-01,32,45.2
2008-02-08,34,44.53
2008-02-15,33,45.05
2008-02-22,35,42.29
2008-02-29,36,41.25
2008-03-07,37,40.17
2008-03-14,42,39.15
2008-03-28,30,39.81
2008-04-04,30,42.05
2008-04-11,30,40.68
2008-04-18,31,42.5
2008-04-25,32,42.66
2008-05-02,29,43.62
2008-05-09,40,43.26
2008-05-16,34,45.16
2008-05-23,34,43.95
2008-05-30,32,44.01
2008-06-06,31,41.88
2008-06-13,32,43.16
2008-06-20,28,41.56
2008-06-27,29,39.92
2008-07-11,31,37.87
2008-07-18,32,40.23
2008-07-25,34,40.19
2008-08-01,31,39.94
2008-08-08,37,42.87
2008-08-15,34,42.85
2008-08-22,35,42.71
2008-08-29,28,42.42
2008-09-05,24,41.6
2008-09-12,35,42.19
2008-09-19,32,42.19
2008-09-26,31,41.62
2008-10-03,27,36.61
2008-10-10,32,32.92
2008-10-17,26,33.86
2008-10-24,31,33.15
2008-10-31,29,39.35
2008-11-07,32,37.4
2008-11-14,30,35.95
2008-11-21,31,37.2
2008-11-28,27,39.15
2008-12-05,34,38.44
2008-12-12,30,38.54
2008-12-19,25,37.1
2008-12-26,23,36.14
2009-01-02,18,39.38
2009-01-09,35,37.64
2009-01-16,34,36.92
2009-01-23,30,32.17
2009-01-30,31,32.02
2009-02-06,31,33.65
2009-02-13,28,33.15
2009-02-20,29,28.86
2009-02-27,29,28.14
2009-03-06,31,25.55
2009-03-13,30,27.6
2009-03-20,28,27.81
2009-03-27,32,30.59
2009-04-03,32,32.22
2009-04-17,32,34.36
2009-04-24,30,34.91
2009-05-01,28,33.54
2009-05-08,29,33.53
2009-05-15,32,32.07
2009-05-22,29,32.23
2009-05-29,28,33.48
2009-06-05,32,34.32
2009-06-12,31,33.79
2009-06-19,30,33.07
2009-06-26,30,33.04
2009-07-10,31,32.67
2009-07-17,29,34.73
2009-07-24,32,35.1
2009-07-31,32,35.42
2009-08-07,32,35.97
2009-08-14,33,37.53
2009-08-21,38,38.84
2009-08-28,29,37.51
2009-09-04,33,35.85
2009-09-11,35,35.59
2009-09-18,31,37.64
2009-09-25,31,36.67
2009-10-02,29,36.87
2009-10-09,32,38.36
2009-10-16,31,38.3
2009-10-23,30,37.47
2009-10-30,31,34.99
2009-11-06,27,36.18
2009-11-13,30,36.64
2009-11-20,29,36.4
2009-11-27,26,36.13
2009-12-04,32,37.33
2009-12-11,28,38.3
2009-12-18,25,37.98
2010-01-08,25,38.24
2010-01-15,33,38.79
2010-01-22,29,38.11
2010-01-29,28,37.68
2010-02-05,26,37.7
2010-02-12,26,38.19
2010-02-19,29,41.03
2010-02-26,27,40.36
2010-03-05,29,40.4
2010-03-12,26,40.76
2010-03-19,29,41.6
2010-03-26,26,41.88
2010-04-09,27,43.25
2010-04-16,30,42.68
2010-04-23,31,43.27
2010-04-30,29,42.8
2010-05-07,29,39.69
2010-05-14,28,41.25
2010-05-21,29,39.34
2010-05-28,30,40.61
2010-06-04,30,39.51
2010-06-11,27,40.78
2010-06-18,30,41.68
2010-06-25,29,40.36
2010-07-02,26,39.55
2010-07-09,27,41.12
2010-07-16,31,43.23
2010-07-23,28,43.1
2010-07-30,29,42.83
2010-08-06,28,43.96
2010-08-13,31,42.01
2010-08-20,35,42.96
2010-08-27,31,42.93
2010-09-03,28,43.94
2010-09-10,28,42.66
2010-09-17,31,43.48
2010-09-24,27,44.88
2010-10-01,27,44.55
2010-10-08,28,45.02
2010-10-15,29,47.7
2010-10-22,28,47.49
2010-10-29,32,47.86
2010-11-05,30,48.24
2010-11-12,29,47.1
2010-11-19,29,47.6
2010-11-26,22,48.53
2010-12-03,28,50.06
2010-12-10,31,50.55
2010-12-17,26,51.12
2010-12-31,19,51.34
2011-01-07,30,50.98
2011-01-14,30,51.15
2011-01-21,34,50.49
2011-01-28,33,51.43
2011-02-04,32,52.57
2011-02-11,30,54.04
2011-02-18,29,55.25
2011-02-25,28,52.33
2011-03-04,30,52.73
2011-03-11,27,51.98
2011-03-18,29,51.77
2011-03-25,28,52.78
2011-04-01,31,54.09
2011-04-08,30,53.26
2011-04-15,32,52.14
2011-04-29,30,53.7
2011-05-06,29,53.61
2011-05-13,33,55.48
2011-05-20,33,54.42
2011-05-27,32,53.86
2011-06-03,34,51.67
2011-06-10,31,49.82
2011-06-17,31,51.24
2011-06-24,29,52.2
2011-07-01,32,55.46
2011-07-08,28,57.25
2011-07-15,35,57.1
2011-07-22,32,56.34
2011-07-29,36,53.16
2011-08-05,34,49.71
2011-08-12,30,50.12
2011-08-19,34,48.79
2011-08-26,38,52.79
2011-09-02,32,53.43
2011-09-09,29,52.11
2011-09-16,33,52.87
2011-09-23,29,49.41
2011-09-30,30,50.8
2011-10-07,27,52
2011-10-14,31,55.38
2011-10-21,29,57.52
2011-10-28,27,58.41
2011-11-04,27,58.38
2011-11-11,32,58.78
2011-11-18,31,56.6
2011-11-25,24,54.18
2011-12-02,30,59.52
2011-12-09,29,58.82
2011-12-16,29,58.2
2011-12-23,25,61.57
2011-12-30,19,61.2
2012-01-06,28,61.78
2012-01-13,36,62.7
2012-01-20,29,64.15
2012-01-27,31,64.37
2012-02-03,29,64.17
2012-02-10,28,64.89
2012-02-17,27,65.58
2012-02-24,27,62.23
2012-03-02,28,62.78
2012-03-09,24,62.89
2012-03-16,27,62.95
2012-03-23,29,61.46
2012-03-30,29,62.75
2012-04-13,29,62.94
2012-04-20,29,63.77
2012-04-27,29,65.69
2012-05-04,28,64.99
2012-05-11,31,64.7
2012-05-18,29,60.16
2012-05-25,28,61.91
2012-06-01,30,61.08
2012-06-08,27,61.6
2012-06-15,26,61.45
2012-06-22,30,61.66
2012-06-29,28,60.25
2012-07-06,28,60.97
2012-07-13,31,61.29
2012-07-20,30,63.85
2012-07-27,32,64.58
2012-08-03,28,64.83
2012-08-10,32,64.13
2012-08-17,31,64.89
2012-08-24,39,63.71
2012-08-31,29,63.16
2012-09-07,28,62.24
2012-09-14,34,63.16
2012-09-21,31,62.12
2012-09-28,31,61.03
2012-10-05,28,62.57
2012-10-12,29,61.29
2012-10-19,29,61.55
2012-10-26,28,61.24
2012-11-02,29,62.82
2012-11-09,29,61.78
2012-11-16,28,60.34
2012-11-23,26,62.94
2012-11-30,29,65.09
2012-12-07,26,64.05
2012-12-14,30,62.51
2012-12-21,24,64.11
2012-12-28,18,62.78
2013-01-04,26,65.63
2013-01-11,37,65.04
2013-01-18,31,65.42
2013-01-25,32,66.98
2013-02-01,34,68.94
2013-02-08,28,69.92
2013-02-15,29,71.44
2013-02-22,32,69.57
2013-03-01,30,71
2013-03-08,25,73.93
2013-03-15,29,75.86
2013-03-22,30,77.4
2013-04-05,31,77.06
