"Date","GPS","Price"
2004-02-06,49,20.22
2004-02-13,49,20.2
2004-02-20,49,20.48
2004-02-27,52,20.8
2004-03-05,49,21.62
2004-03-12,49,20.98
2004-03-19,50,20.63
2004-03-26,53,21.08
2004-04-02,52,22.02
2004-04-16,53,22.16
2004-04-23,54,23
2004-04-30,52,22.01
2004-05-07,53,22
2004-05-14,53,21.89
2004-05-21,55,22.58
2004-05-28,57,24.15
2004-06-04,61,24.65
2004-06-18,60,24.46
2004-06-25,60,25.13
2004-07-02,60,23.44
2004-07-09,61,23.74
2004-07-16,62,22.22
2004-07-23,60,21.67
2004-07-30,60,22.7
2004-08-06,59,19.64
2004-08-13,56,19.62
2004-08-20,55,20.62
2004-08-27,55,19.29
2004-09-03,54,20.08
2004-09-10,56,20.02
2004-09-17,53,20.01
2004-09-24,55,19.35
2004-10-01,54,19.04
2004-10-08,52,19.15
2004-10-15,54,19.2
2004-10-22,52,19.9
2004-10-29,52,19.98
2004-11-05,52,22.37
2004-11-12,55,23.24
2004-11-19,56,22.7
2004-11-26,59,23.04
2004-12-03,60,21.48
2004-12-10,61,20.45
2004-12-17,65,20.17
2004-12-31,64,21.12
2005-01-07,58,20.72
2005-01-14,56,20.95
2005-01-21,55,20.86
2005-01-28,52,21.81
2005-02-04,54,21.39
2005-02-11,56,21.69
2005-02-18,57,21.09
2005-02-25,56,21.29
2005-03-04,56,21.59
2005-03-11,57,22.58
2005-03-18,57,21.49
2005-04-01,58,21.51
2005-04-08,56,21.42
2005-04-15,56,21.02
2005-04-22,58,21.29
2005-04-29,56,21.35
2005-05-06,59,20.98
2005-05-13,59,20.6
2005-05-20,63,21.46
2005-05-27,62,21.19
2005-06-03,66,20.84
2005-06-10,67,20.99
2005-06-17,68,20.95
2005-06-24,67,19.91
2005-07-01,67,19.82
2005-07-08,64,20.97
2005-07-15,68,20.72
2005-07-22,67,21.36
2005-07-29,67,21.11
2005-08-05,66,20.62
2005-08-12,64,21.63
2005-08-19,61,19.74
2005-08-26,64,18.98
2005-09-02,59,18.52
2005-09-09,57,18.95
2005-09-16,58,18
2005-09-23,56,17.1
2005-09-30,54,17.43
2005-10-07,54,16.73
2005-10-14,56,16.18
2005-10-21,55,16.34
2005-10-28,55,16.87
2005-11-04,56,17.27
2005-11-11,59,18.45
2005-11-18,58,17.06
2005-11-25,62,17.72
2005-12-02,63,17.79
2005-12-09,66,17.84
2005-12-16,67,18.24
2005-12-23,69,17.64
2005-12-30,75,17.64
2006-01-06,60,17.61
2006-01-13,60,17.42
2006-01-20,58,16.98
2006-01-27,56,17.38
2006-02-03,54,18.63
2006-02-10,55,18.25
2006-02-17,55,18.82
2006-02-24,56,18.43
2006-03-03,55,18.27
2006-03-10,56,18.01
2006-03-17,56,18.22
2006-03-24,56,18.15
2006-03-31,57,18.68
2006-04-07,55,18.21
2006-04-21,60,17.92
2006-04-28,59,18.09
2006-05-05,58,18.37
2006-05-12,60,17.85
2006-05-19,58,18.48
2006-05-26,60,18.34
2006-06-02,63,17.89
2006-06-09,62,17.79
2006-06-16,65,17.6
2006-06-23,64,17.53
2006-06-30,66,17.4
2006-07-07,66,16.62
2006-07-14,63,16.36
2006-07-21,66,16.26
2006-07-28,65,17.12
2006-08-04,67,16.75
