"Date","GT","Price"
2004-02-06,72,9.97
2004-02-13,59,8.71
2004-02-20,57,8.15
2004-02-27,55,8.42
2004-03-05,60,8.48
2004-03-12,57,7.9
2004-03-19,57,7.61
2004-03-26,56,7.54
2004-04-02,57,9.01
2004-04-16,60,8.9
2004-04-23,59,9.23
2004-04-30,56,8.71
2004-05-07,58,8.47
2004-05-14,55,8.02
2004-05-21,57,8.24
2004-05-28,60,8.7
2004-06-04,55,8.66
2004-06-18,53,9.89
2004-06-25,54,9.85
2004-07-02,52,9.33
2004-07-09,50,9.59
2004-07-16,52,9.65
2004-07-23,56,10.14
2004-07-30,59,10.95
2004-08-06,57,10.4
2004-08-13,55,10.49
2004-08-20,55,10.91
2004-08-27,56,10.83
2004-09-03,52,11.67
2004-09-10,57,11.54
2004-09-17,56,10.97
2004-09-24,55,10.63
2004-10-01,53,10.86
2004-10-08,54,10.12
2004-10-15,55,9.61
2004-10-22,54,9.62
2004-10-29,56,10.08
2004-11-05,53,11.8
2004-11-12,57,11.66
2004-11-19,60,12.21
2004-11-26,64,12.5
2004-12-03,62,13.08
2004-12-10,57,12.72
2004-12-17,59,14.24
2004-12-31,68,14.66
2005-01-07,61,14.7
2005-01-14,62,15.32
2005-01-21,59,14.52
2005-01-28,60,15.37
2005-02-04,62,14.42
2005-02-11,62,14
2005-02-18,62,13.79
2005-02-25,59,14.71
2005-03-04,59,14.53
2005-03-11,62,14.76
2005-03-18,62,13.65
2005-04-01,65,13.06
2005-04-08,65,12.8
2005-04-15,60,11.47
2005-04-22,61,11.77
2005-04-29,59,11.87
2005-05-06,65,13.29
2005-05-13,60,13.5
2005-05-20,59,14.19
2005-05-27,58,14.59
2005-06-03,59,14.3
2005-06-10,57,14.25
2005-06-17,61,14.86
2005-06-24,60,14.24
2005-07-01,59,15.12
2005-07-08,59,15.3
2005-07-15,57,15.9
2005-07-22,59,16.12
2005-07-29,57,17.41
2005-08-05,56,18.49
2005-08-12,60,17.54
2005-08-19,60,17.08
2005-08-26,61,16.55
2005-09-02,60,16.57
2005-09-09,56,16.74
2005-09-16,56,16.24
2005-09-23,57,15.5
2005-09-30,54,15.59
2005-10-07,56,14.14
