"Date","General.Electric","Price"
2004-02-06,83,33.18
2004-02-13,84,32.72
2004-02-20,91,32.7
2004-02-27,86,32.52
2004-03-05,86,32.77
2004-03-12,78,30.6
2004-03-19,86,30.14
2004-03-26,78,30.1
2004-04-02,84,31.06
2004-04-16,73,31.23
2004-04-23,83,30.69
2004-04-30,77,29.95
2004-05-07,75,30
2004-05-14,71,30.16
2004-05-21,73,30.65
2004-05-28,76,31.12
2004-06-04,80,31.23
2004-06-18,80,32.58
2004-06-25,81,32.18
2004-07-02,76,31.67
2004-07-09,88,32.17
2004-07-16,81,33.09
2004-07-23,86,32.52
2004-07-30,85,33.25
2004-08-06,82,31.52
2004-08-13,76,31.89
2004-08-20,87,32.65
2004-08-27,77,32.77
2004-09-03,80,32.84
2004-09-10,80,33.88
2004-09-17,83,34.22
2004-09-24,75,33.41
2004-10-01,76,33.97
2004-10-08,75,33.74
2004-10-15,71,33.55
2004-10-22,76,32.95
2004-10-29,85,34.12
2004-11-05,76,35.19
2004-11-12,84,36.25
2004-11-19,87,36.27
2004-11-26,75,35.44
2004-12-03,75,35.83
2004-12-10,72,36.69
2004-12-17,75,36.75
2004-12-31,70,36.5
2005-01-07,74,36
2005-01-14,81,35.52
2005-01-21,75,35.13
2005-01-28,77,35.75
2005-02-04,81,36.25
2005-02-11,78,36.23
2005-02-18,83,35.88
2005-02-25,76,35.62
2005-03-04,72,36.12
2005-03-11,69,35.82
2005-03-18,76,35.88
2005-04-01,68,35.47
2005-04-08,72,35.74
2005-04-15,70,35.75
2005-04-22,74,36.1
2005-04-29,78,36.2
2005-05-06,77,35.85
2005-05-13,67,35.7
2005-05-20,77,37
2005-05-27,73,36.88
2005-06-03,61,36.7
2005-06-10,69,36.63
2005-06-17,68,36.5
2005-06-24,70,34.78
2005-07-01,69,34.74
2005-07-08,65,34.99
2005-07-15,78,35.53
2005-07-22,75,35.07
2005-07-29,79,34.5
2005-08-05,68,33.81
2005-08-12,71,34.25
2005-08-19,70,33.95
2005-08-26,69,33.38
2005-09-02,66,33.33
2005-09-09,64,33.98
2005-09-16,70,34.47
2005-09-23,71,33.4
2005-09-30,68,33.67
2005-10-07,67,34.22
2005-10-14,73,34.34
2005-10-21,69,33.73
2005-10-28,63,34.05
2005-11-04,68,34.02
2005-11-11,67,34.65
2005-11-18,69,35.75
2005-11-25,68,36.2
2005-12-02,67,35.5
2005-12-09,60,35.53
2005-12-16,67,36.06
2005-12-23,57,35.42
2005-12-30,59,35.05
2006-01-06,63,35.47
2006-01-13,58,35.1
2006-01-20,66,33.37
2006-01-27,66,32.95
2006-02-03,61,32.85
2006-02-10,64,33.28
2006-02-17,58,33.61
2006-02-24,59,33.14
2006-03-03,59,33.06
2006-03-10,59,33.65
2006-03-17,61,34.51
2006-03-24,61,33.95
2006-03-31,59,34.78
2006-04-07,61,34.03
2006-04-21,62,33.97
2006-04-28,59,34.59
2006-05-05,57,35.16
