"Date","Google.Inc.","Price"
2005-04-29,43,220
2005-05-06,42,228.02
2005-05-13,42,229.24
2005-05-20,46,241.61
2005-05-27,42,266
2005-06-03,42,280.26
2005-06-10,42,282.5
2005-06-17,42,280.3
2005-06-24,46,297.25
2005-07-01,49,291.25
2005-07-08,53,296.23
2005-07-15,56,301.19
2005-07-22,39,302.4
2005-07-29,46,287.76
2005-08-05,52,292.35
2005-08-12,59,289.72
2005-08-19,65,280
2005-08-26,47,283.58
2005-09-02,47,288.45
2005-09-09,54,299.09
2005-09-16,61,300.2
2005-09-23,45,315.36
2005-09-30,36,316.46
2005-10-07,47,312.99
2005-10-14,46,296.14
2005-10-21,51,339.9
2005-10-28,35,358.17
2005-11-04,55,390.43
2005-11-11,48,390.4
2005-11-18,58,400.21
2005-11-25,35,428.62
2005-12-02,39,417.7
2005-12-09,42,409.2
2005-12-16,43,430.15
2005-12-23,44,430.93
2005-12-30,42,414.86
2006-01-06,66,465.66
2006-01-13,35,466.25
2006-01-20,64,399.46
2006-01-27,47,433.49
2006-02-03,69,381.55
2006-02-10,53,362.61
2006-02-17,48,368.75
2006-02-24,51,377.4
2006-03-03,51,378.18
2006-03-10,39,337.5
2006-03-17,46,339.79
2006-03-24,56,365.8
2006-03-31,71,390
2006-04-07,41,406.16
2006-04-21,55,437.1
2006-04-28,50,417.94
2006-05-05,39,394.3
2006-05-12,53,374.13
2006-05-19,62,370.02
2006-05-26,57,381.35
2006-06-02,51,379.44
2006-06-09,56,386.57
2006-06-16,80,390.7
2006-06-23,48,404.86
2006-06-30,46,419.33
2006-07-07,26,420.45
2006-07-14,48,403.5
2006-07-21,44,390.11
2006-07-28,49,388.12
2006-08-04,50,373.85
2006-08-11,52,368.5
2006-08-18,38,383.36
2006-08-25,38,373.26
2006-09-01,46,378.6
2006-09-08,32,377.85
2006-09-15,52,409.88
2006-09-22,32,403.78
2006-09-29,48,401.9
2006-10-06,44,420.5
2006-10-13,58,427.3
2006-10-20,52,459.67
2006-10-27,50,475.2
2006-11-03,54,471.8
2006-11-10,48,473.55
2006-11-17,43,498.79
2006-11-24,30,505
2006-12-01,33,480.8
2006-12-08,41,484.11
2006-12-15,53,480.3
2006-12-22,51,455.58
2006-12-29,40,460.48
2007-01-05,50,487.19
2007-01-12,62,505
2007-01-19,52,489.75
2007-01-26,45,495.84
2007-02-02,58,481.5
2007-02-09,42,461.89
2007-02-16,65,469.94
2007-02-23,54,470.62
2007-03-02,42,438.68
2007-03-09,50,452.96
2007-03-16,62,440.85
2007-03-23,52,461.83
2007-03-30,46,458.16
2007-04-13,43,466.29
2007-04-20,61,482.48
2007-04-27,74,479.01
2007-05-04,72,471.12
2007-05-11,64,466.74
2007-05-18,57,470.32
2007-05-25,32,483.52
2007-06-01,60,500.4
2007-06-08,91,515.49
2007-06-15,50,505.89
2007-06-22,42,524.98
2007-06-29,51,522.7
2007-07-06,55,539.4
2007-07-13,69,552.16
2007-07-20,55,520.12
2007-07-27,54,511.89
2007-08-03,68,503
2007-08-10,51,515.75
2007-08-17,64,500.04
2007-08-24,44,515
2007-08-31,62,515.25
2007-09-07,50,519.35
2007-09-14,52,528.75
2007-09-21,47,560.1
2007-09-28,58,567.27
2007-10-05,64,594.05
2007-10-12,52,637.39
2007-10-19,69,644.71
2007-10-26,51,674.6
2007-11-02,50,711.25
2007-11-09,64,663.97
2007-11-16,53,633.63
2007-11-23,65,676.7
2007-11-30,75,693
2007-12-07,53,714.87
2007-12-14,54,689.96
2007-12-21,43,696.69
2007-12-28,25,702.53
2008-01-04,28,657
2008-01-11,48,638.25
2008-01-18,73,600.25
2008-01-25,48,566.4
2008-02-01,52,515.9
2008-02-08,66,516.69
2008-02-15,49,529.64
2008-02-22,48,507.8
2008-02-29,61,471.18
2008-03-07,55,433.35
2008-03-14,48,437.92
2008-03-28,46,438.08
2008-04-04,57,471.09
2008-04-11,50,457.45
2008-04-18,57,539.41
2008-04-25,54,544.06
2008-05-02,55,581.29
2008-05-09,51,573.2
2008-05-16,61,580.07
2008-05-23,50,544.62
2008-05-30,48,585.8
2008-06-06,48,567
2008-06-13,47,571.51
2008-06-20,56,546.43
2008-06-27,52,528.07
2008-07-11,56,533.8
2008-07-18,59,481.32
2008-07-25,59,491.98
2008-08-01,58,467.86
2008-08-08,46,495.01
2008-08-15,58,510.15
2008-08-22,43,490.59
2008-08-29,47,463.29
2008-09-05,52,444.25
