"Date","HON","Price"
2004-02-06,12,35.9
2004-02-13,12,36.41
2004-02-20,10,35.58
2004-02-27,9,35.05
2004-03-05,9,34.96
2004-03-12,12,33
2004-03-19,11,32.64
2004-03-26,11,33.1
2004-04-02,11,34.24
2004-04-16,10,35.06
2004-04-23,12,34.88
2004-04-30,10,34.58
2004-05-07,12,33.92
2004-05-14,13,33.48
2004-05-21,12,33.31
2004-05-28,12,33.7
2004-06-04,10,33.74
2004-06-18,9,36.54
2004-06-25,13,36.81
2004-07-02,12,35.88
2004-07-09,10,36.2
2004-07-16,11,36.4
2004-07-23,13,36.26
2004-07-30,11,37.61
2004-08-06,11,34.58
2004-08-13,13,34.8
2004-08-20,13,35.41
2004-08-27,12,36.46
2004-09-03,11,36.38
2004-09-10,11,36.45
2004-09-17,10,36.74
2004-09-24,12,35.34
2004-10-01,10,36.76
2004-10-08,10,35.75
2004-10-15,12,35
2004-10-22,11,32.72
2004-10-29,12,33.68
2004-11-05,13,35.95
2004-11-12,11,36.62
2004-11-19,11,35.46
2004-11-26,13,35.72
2004-12-03,14,35.68
2004-12-10,13,35.31
2004-12-17,13,35.36
2004-12-31,12,35.41
2005-01-07,12,34.21
2005-01-14,10,35.34
2005-01-21,11,34.99
2005-01-28,11,35.69
2005-02-04,12,37.85
2005-02-11,11,39.14
2005-02-18,12,38.09
2005-02-25,11,38.13
2005-03-04,11,38.68
2005-03-11,11,38.52
2005-03-18,12,38.42
2005-04-01,11,37
2005-04-08,10,37.58
2005-04-15,12,35.66
2005-04-22,11,36.05
2005-04-29,11,35.76
2005-05-06,12,36.85
2005-05-13,13,35.93
2005-05-20,12,37.15
2005-05-27,12,36.63
2005-06-03,10,36.34
2005-06-10,10,36.4
2005-06-17,13,38.12
2005-06-24,13,36.7
2005-07-01,11,36.28
2005-07-08,11,36.02
2005-07-15,12,36.57
2005-07-22,11,38.2
2005-07-29,13,39.28
2005-08-05,12,38.48
2005-08-12,13,38.29
2005-08-19,11,38.22
2005-08-26,12,38.02
2005-09-02,9,37.97
2005-09-09,10,38.82
2005-09-16,11,39.29
2005-09-23,11,37.48
2005-09-30,11,37.5
2005-10-07,11,36.55
2005-10-14,10,36.1
2005-10-21,11,33.21
2005-10-28,12,33.6
2005-11-04,12,35.9
2005-11-11,13,36.26
2005-11-18,13,36.38
2005-11-25,11,36.92
2005-12-02,12,36.06
2005-12-09,11,35.71
2005-12-16,13,37.88
2005-12-23,12,37.95
2005-12-30,11,37.25
2006-01-06,12,37.87
2006-01-13,12,37.16
2006-01-20,13,35.84
2006-01-27,12,37.81
2006-02-03,10,39.23
2006-02-10,11,39.63
2006-02-17,12,42.18
2006-02-24,11,41.48
2006-03-03,13,41.72
2006-03-10,13,42.14
2006-03-17,12,42.76
2006-03-24,12,42.45
2006-03-31,11,42.77
2006-04-07,11,42.4
2006-04-21,11,43.55
2006-04-28,12,42.5
2006-05-05,11,44.12
2006-05-12,11,42.91
2006-05-19,12,41.92
2006-05-26,12,41.09
2006-06-02,12,41.2
2006-06-09,13,38.1
2006-06-16,11,38.98
2006-06-23,11,39.31
2006-06-30,11,40.3
2006-07-07,10,38.96
2006-07-14,12,37.01
2006-07-21,12,36.21
2006-07-28,12,38.26
2006-08-04,13,38.17
2006-08-11,11,37.46
2006-08-18,14,39.45
2006-08-25,12,38.65
2006-09-01,11,38.77
2006-09-08,12,38.28
2006-09-15,12,39.75
2006-09-22,11,40.24
2006-09-29,12,40.9
2006-10-06,11,42.31
2006-10-13,12,42.61
2006-10-20,11,41.7
2006-10-27,12,42.3
2006-11-03,13,41.71
2006-11-10,12,42.54
2006-11-17,12,42.94
2006-11-24,12,42.76
2006-12-01,12,42.81
2006-12-08,11,42.48
2006-12-15,11,43.62
2006-12-22,11,44.63
2006-12-29,11,45.24
2007-01-05,12,44.65
2007-01-12,13,45.56
2007-01-19,11,45.29
2007-01-26,13,44.13
2007-02-02,12,46.16
2007-02-09,12,46.24
2007-02-16,12,47.83
2007-02-23,10,47.69
2007-03-02,11,45.91
2007-03-09,13,47.23
2007-03-16,11,46.94
2007-03-23,12,47.71
2007-03-30,11,46.06
2007-04-13,13,47.03
2007-04-20,12,51.4
2007-04-27,13,54.89
2007-05-04,13,56.12
2007-05-11,13,57.79
2007-05-18,13,58.7
2007-05-25,13,56.93
2007-06-01,12,58.8
2007-06-08,15,57.38
2007-06-15,13,58.87
2007-06-22,13,55.68
2007-06-29,13,56.28
2007-07-06,13,59.08
2007-07-13,13,60.14
2007-07-20,14,60.96
2007-07-27,14,58.61
2007-08-03,14,58.18
2007-08-10,15,56.01
2007-08-17,15,54.46
2007-08-24,14,55.8
2007-08-31,14,56.15
2007-09-07,14,54.71
2007-09-14,14,56.44
2007-09-21,15,58.69
2007-09-28,14,59.47
2007-10-05,14,59.82
2007-10-12,16,61.71
2007-10-19,15,58.32
2007-10-26,14,59.44
2007-11-02,14,59.35
2007-11-09,14,57.76
2007-11-16,14,55.88
2007-11-23,15,54.67
2007-11-30,16,56.62
2007-12-07,16,58.51
2007-12-14,15,59.98
2007-12-21,15,60.71
2007-12-28,14,61.2
2008-01-04,15,58.28
2008-01-11,15,56.8
2008-01-18,15,55.3
2008-01-25,16,58.25
2008-02-01,15,60.21
2008-02-08,14,57.83
2008-02-15,15,56.04
2008-02-22,17,56.54
2008-02-29,16,57.54
2008-03-07,16,56.56
2008-03-14,17,56.13
2008-03-28,16,55.85
2008-04-04,17,58.27
2008-04-11,18,56.99
2008-04-18,17,60.99
2008-04-25,17,60.49
2008-05-02,17,60.63
2008-05-09,17,59.59
2008-05-16,17,61.81
2008-05-23,16,58.76
2008-05-30,16,59.62
2008-06-06,17,54.01
2008-06-13,17,56.49
2008-06-20,17,54.2
2008-06-27,17,49.23
2008-07-11,17,49.31
2008-07-18,17,50.66
2008-07-25,17,50.84
2008-08-01,18,51
2008-08-08,17,51.32
2008-08-15,18,50.93
2008-08-22,18,49.8
2008-08-29,17,50.17
2008-09-05,18,47.72
2008-09-12,18,47.55
2008-09-19,18,45.32
2008-09-26,20,44.17
2008-10-03,18,37.84
2008-10-10,19,30.6
2008-10-17,19,29.37
2008-10-24,18,27.16
2008-10-31,18,30.45
2008-11-07,19,29.36
2008-11-14,19,27.35
2008-11-21,19,25.38
2008-11-28,19,27.86
2008-12-05,19,26.54
2008-12-12,20,28.95
2008-12-19,21,32.69
2008-12-26,20,31.97
2009-01-02,21,34.66
2009-01-09,24,34.14
2009-01-16,23,32.94
2009-01-23,21,32.21
2009-01-30,20,32.81
2009-02-06,26,33.44
2009-02-13,25,33.06
2009-02-20,25,28.84
2009-02-27,26,26.83
2009-03-06,25,23.6
2009-03-13,25,26.93
2009-03-20,26,26.95
2009-03-27,27,29.25
2009-04-03,27,30.2
2009-04-17,28,31.49
2009-04-24,27,31.45
2009-05-01,26,31.63
2009-05-08,27,34.72
2009-05-15,26,31.95
2009-05-22,26,32.1
2009-05-29,27,33.16
2009-06-05,26,35.72
2009-06-12,28,35.41
2009-06-19,27,32.81
2009-06-26,25,31.77
2009-07-10,30,30.03
2009-07-17,31,32.43
2009-07-24,33,33.99
2009-07-31,33,34.7
2009-08-07,37,36.38
2009-08-14,38,35.87
2009-08-21,38,36.32
2009-08-28,38,37.23
2009-09-04,40,37.15
2009-09-11,40,38.93
2009-09-18,43,40.17
2009-09-25,45,37.81
2009-10-02,39,35.6
2009-10-09,43,37.17
2009-10-16,42,37.79
2009-10-23,42,38.26
2009-10-30,43,35.89
2009-11-06,43,37.7
2009-11-13,45,39.25
2009-11-20,42,38.04
2009-11-27,46,38.48
2009-12-04,46,40.14
2009-12-11,45,40.87
2009-12-18,49,39.15
2010-01-08,49,42.12
2010-01-15,50,42.63
2010-01-22,48,39.88
2010-01-29,48,38.64
2010-02-05,49,37.47
2010-02-12,46,37.86
2010-02-19,51,40.22
2010-02-26,60,40.16
2010-03-05,57,41.91
2010-03-12,54,42.93
2010-03-19,61,43.82
2010-03-26,75,44.6
2010-04-09,80,45.77
2010-04-16,74,45.82
2010-04-23,69,47.72
2010-04-30,69,47.47
2010-05-07,65,43.52
2010-05-14,76,45.48
2010-05-21,61,42.07
2010-05-28,56,42.77
2010-06-04,56,41.07
2010-06-11,55,41.32
2010-06-18,52,42.92
2010-06-25,56,41.6
2010-07-02,57,38.53
2010-07-09,57,41.27
2010-07-16,57,40.19
2010-07-23,57,43.5
2010-07-30,57,42.86
2010-08-06,63,43.77
2010-08-13,59,41.32
2010-08-20,60,40.64
2010-08-27,58,39.65
2010-09-03,56,42.82
2010-09-10,57,42.81
2010-09-17,57,43.82
2010-09-24,56,44.46
2010-10-01,57,44.15
2010-10-08,56,45.75
2010-10-15,60,46.49
2010-10-22,57,47.26
2010-10-29,59,47.11
2010-11-05,58,49.28
2010-11-12,59,47.52
2010-11-19,60,49.78
2010-11-26,56,50.13
2010-12-03,62,51.45
2010-12-10,60,51.98
2010-12-17,64,52.99
2010-12-31,65,53.16
2011-01-07,60,54.3
2011-01-14,58,55.02
2011-01-21,56,54.49
2011-01-28,55,55.32
2011-02-04,50,57.12
2011-02-11,62,57.98
2011-02-18,65,57.99
2011-02-25,66,57.28
2011-03-04,63,56.51
2011-03-11,62,56.27
2011-03-18,62,55.86
2011-03-25,63,57.39
2011-04-01,66,59.26
2011-04-08,67,58.3
2011-04-15,68,57.75
2011-04-29,67,61.23
2011-05-06,72,60.95
2011-05-13,71,60.51
2011-05-20,76,58.99
2011-05-27,80,59.19
2011-06-03,76,57.25
2011-06-10,72,55.53
2011-06-17,71,55.85
2011-06-24,76,56.35
2011-07-01,69,60.19
2011-07-08,66,59.54
2011-07-15,69,57.25
2011-07-22,73,56.4
2011-07-29,84,53.1
2011-08-05,95,47.98
2011-08-12,85,46.88
2011-08-19,86,42.19
2011-08-26,81,45.48
2011-09-02,73,45.45
2011-09-09,75,44.72
2011-09-16,74,47.13
2011-09-23,72,42.43
2011-09-30,74,43.91
2011-10-07,76,45.49
2011-10-14,71,49.45
2011-10-21,70,51.28
2011-10-28,74,53.88
2011-11-04,75,53.95
2011-11-11,79,54.79
2011-11-18,78,52.75
2011-11-25,86,49.14
2011-12-02,85,54.13
2011-12-09,93,54
2011-12-16,80,53.1
2011-12-23,78,54.98
2011-12-30,77,54.35
2012-01-06,72,55.18
2012-01-13,70,56.7
2012-01-20,64,57.38
2012-01-27,61,58.27
2012-02-03,83,60.74
2012-02-10,97,59.33
2012-02-17,96,60.1
2012-02-24,100,59.27
2012-03-02,82,59.75
2012-03-09,77,59.78
2012-03-16,76,60.37
2012-03-23,77,60.16
2012-03-30,74,61.05
2012-04-13,77,58.07
2012-04-20,74,59.39
2012-04-27,72,61.29
2012-05-04,73,59.31
2012-05-11,73,58.55
2012-05-18,74,55.23
2012-05-25,72,56.75
2012-06-01,72,53.94
2012-06-08,72,55.99
2012-06-15,72,56.04
2012-06-22,73,55.51
2012-06-29,70,55.84
2012-07-06,73,54.89
2012-07-13,73,54.58
2012-07-20,80,57.74
2012-07-27,77,59.01
2012-08-03,76,58.91
2012-08-10,77,59.01
2012-08-17,78,59.5
2012-08-24,73,58.36
2012-08-31,73,58.45
2012-09-07,75,59.9
2012-09-14,74,61.02
2012-09-21,71,60.52
2012-09-28,72,59.75
2012-10-05,73,61.43
2012-10-12,73,60.2
2012-10-19,74,62.49
2012-10-26,77,61.49
2012-11-02,76,62.43
2012-11-09,77,60.83
2012-11-16,78,59.15
2012-11-23,79,61.26
2012-11-30,74,61.33
2012-12-07,75,61.97
2012-12-14,72,61.55
2012-12-21,79,64.21
2012-12-28,80,62.92
2013-01-04,76,66.33
2013-01-11,71,66.31
2013-01-18,71,67.81
2013-01-25,73,68.33
2013-02-01,78,69.15
2013-02-08,67,70.53
2013-02-15,63,70.11
2013-02-22,68,69.89
2013-03-01,68,70.05
2013-03-08,72,73.7
2013-03-15,74,73.46
2013-03-22,73,75.19
2013-04-05,73,72.98
2013-04-12,74,74.25
2013-04-19,74,74.18
2013-04-26,79,73.9
2013-05-03,79,75.24
2013-05-10,80,77.74
2013-05-17,75,80.75
2013-05-24,73,79.29
2013-05-31,73,78.46
2013-06-07,74,79.08
2013-06-14,75,78.18
2013-06-21,77,78.25
2013-06-28,75,79.34
2013-07-05,75,80.06
2013-07-12,75,82.37
2013-07-19,79,83.57
2013-07-26,75,82.88
2013-08-02,76,84.68
2013-08-09,76,83.32
2013-08-16,82,81.96
2013-08-23,76,81.4
2013-08-30,74,79.57
2013-09-06,75,81.66
2013-09-13,70,84.05
2013-09-20,68,85.48
2013-09-27,71,83.58
2013-10-04,67,82.24
2013-10-11,74,86.46
2013-10-18,71,84.58
2013-10-25,68,87.5
2013-11-01,71,86.91
2013-11-08,72,87.44
2013-11-15,70,88.62
2013-11-22,65,88.8
2013-11-29,71,88.51
2013-12-06,67,88.32
2013-12-13,67,86.61
2013-12-20,66,89.55
2013-12-27,69,91.14
2014-01-03,68,90.52
2014-01-10,65,90.16
2014-01-17,63,89.95
2014-01-24,56,88.47
2014-01-31,61,91.23
2014-02-07,64,93.16
2014-02-14,69,94.61
2014-02-21,69,93.93
2014-02-28,71,94.44
2014-03-07,74,95.44
2014-03-14,75,92.01
2014-03-21,72,92.99
2014-03-28,74,90.89
2014-04-04,75,93.33
2014-04-11,70,90.4
2014-04-25,69,92.65
