"Date","HSP","Price"
2004-05-07,73,26.66
2004-05-14,76,26.4
2004-05-21,75,25.65
2004-05-28,68,25.64
2004-06-04,70,26.5
2004-06-18,77,28.13
2004-06-25,74,27.96
2004-07-02,73,27.05
2004-07-09,58,26.85
2004-07-16,78,25.9
2004-07-23,80,25.39
2004-07-30,61,25.91
2004-08-06,100,24.35
2004-08-13,62,27.91
2004-08-20,71,27.85
2004-08-27,61,28.23
2004-09-03,75,28.05
2004-09-10,78,29.11
2004-09-17,66,29.41
2004-09-24,64,31.07
2004-10-01,81,30.55
2004-10-08,57,29.34
2004-10-15,78,30.09
2004-10-22,69,29.81
2004-10-29,63,31.91
2004-11-05,51,32.11
2004-11-12,62,32.15
2004-11-19,60,32.16
2004-11-26,68,32.25
2004-12-03,60,32.54
2004-12-10,67,33.79
2004-12-17,62,32.92
2004-12-31,62,33.5
2005-01-07,62,32.62
2005-01-14,59,32.6
2005-01-21,61,31.18
2005-01-28,63,31.48
2005-02-04,63,28.7
2005-02-11,62,29.28
2005-02-18,58,29.7
2005-02-25,60,30.06
2005-03-04,61,31.71
2005-03-11,58,31.92
2005-03-18,61,31.06
2005-04-01,57,32.11
2005-04-08,72,32.36
2005-04-15,61,33.09
2005-04-22,60,33.7
2005-04-29,54,33.55
2005-05-06,53,32.69
2005-05-13,59,34.69
2005-05-20,55,36.85
2005-05-27,51,37.75
2005-06-03,51,39.1
2005-06-10,54,38.82
2005-06-17,47,38.77
2005-06-24,46,38.8
2005-07-01,57,38.7
2005-07-08,54,38.97
2005-07-15,46,38.94
2005-07-22,48,39.07
2005-07-29,47,38.25
2005-08-05,52,38.25
2005-08-12,53,38.47
2005-08-19,55,37.8
2005-08-26,46,37.47
2005-09-02,45,40.11
2005-09-09,50,41.34
2005-09-16,48,41.03
2005-09-23,51,40.57
2005-09-30,52,40.97
2005-10-07,55,39.81
2005-10-14,55,38.56
2005-10-21,46,38.3
2005-10-28,48,39.64
2005-11-04,46,41.11
2005-11-11,48,43.74
2005-11-18,46,44.47
2005-11-25,49,44.2
2005-12-02,48,44.17
2005-12-09,43,44.24
2005-12-16,43,44.04
2005-12-23,37,43.87
2005-12-30,44,42.78
2006-01-06,39,44.71
2006-01-13,47,45.25
2006-01-20,41,44.65
2006-01-27,40,45.06
2006-02-03,42,45.6
2006-02-10,42,45.56
2006-02-17,49,46.93
