"Date","HSY","Price"
2005-12-16,39,57.86
2006-02-10,40,51.66
2006-02-17,36,53.65
2006-02-24,39,52.45
2006-03-03,42,51.23
2006-03-10,27,52.42
2006-03-17,27,53.86
2006-03-24,27,53.4
2006-03-31,27,52.23
2006-04-07,35,50.52
2006-04-21,36,51.21
2006-04-28,56,53.34
2006-05-05,48,53.74
2006-05-12,51,53.92
2006-05-19,34,55.89
2006-05-26,28,56.82
2006-06-02,28,56.33
2006-06-09,28,55.46
2006-06-16,28,54.77
2006-08-25,38,53.91
2006-09-01,38,54.27
2006-09-08,39,51.34
2006-09-15,36,51.94
2006-09-22,23,51.63
2006-09-29,23,53.45
2006-10-06,23,53.14
2006-10-13,23,53.25
2006-10-20,29,51.05
2006-10-27,27,52.41
2006-11-03,22,53.12
2006-11-10,23,52.92
2006-11-17,23,52.74
2006-11-24,23,53.11
2006-12-01,23,50.89
2006-12-08,25,49.65
2006-12-15,27,51.02
2006-12-22,25,49.9
2006-12-29,25,49.8
2007-01-05,25,50.07
2007-01-12,25,50.58
2007-01-19,25,52.37
2007-01-26,25,50.4
2007-02-02,32,51.88
2007-02-09,25,50.73
2007-02-16,25,52.38
2007-02-23,25,53.09
2007-03-02,36,53.05
2007-03-09,24,54.63
2007-03-16,35,53.48
2007-03-23,34,54.31
2007-03-30,24,54.66
2007-04-13,18,55.38
2007-04-20,30,54.5
2007-04-27,25,54.53
2007-05-04,25,55.55
2007-05-11,50,52.54
2007-05-18,21,51.77
2007-05-25,26,52.29
2007-06-01,28,53.04
2007-06-08,23,51.21
2007-06-15,23,51.07
2007-06-22,23,50.12
2007-06-29,27,50.62
2007-07-06,17,50.82
2007-07-13,23,51.1
2007-07-20,30,47.84
2007-07-27,18,45.9
2007-08-03,21,45.15
2007-08-10,23,47.1
2007-08-17,31,46.28
2007-08-24,19,46.72
2007-08-31,21,46.5
2007-09-07,24,45.19
2007-09-14,24,45.34
2007-09-21,22,46.45
2007-09-28,17,46.41
2007-10-05,30,45.41
2007-10-12,26,45.26
2007-10-19,29,41.72
2007-10-26,26,41.7
2007-11-02,32,41.73
2007-11-09,31,41.04
2007-11-16,30,39.92
2007-11-23,16,38.89
2007-11-30,31,39.91
2007-12-07,36,40.3
2007-12-14,14,38.45
2007-12-21,31,39.43
2007-12-28,34,39.47
2008-01-04,31,38.55
2008-01-11,25,37.46
2008-01-18,25,36.74
2008-01-25,21,34.04
2008-02-01,23,36
2008-02-08,29,34.42
2008-02-15,37,35.99
2008-02-22,28,36.84
2008-02-29,22,37.08
2008-03-07,18,35.05
2008-03-14,27,36.46
2008-03-28,20,37.79
2008-04-04,26,39.03
2008-04-11,31,35.89
2008-04-18,24,35.53
2008-04-25,33,34.74
2008-05-02,36,38.17
2008-05-09,16,36.99
