"Date","Helmerich...Payne","Price"
2005-09-02,93,58.3
2006-02-17,75,64.94
2006-04-28,71,72.74
2006-05-05,67,76.3
2006-05-12,69,74.89
2006-05-19,70,65.4
2006-09-29,72,23.03
2006-10-06,56,22.45
2006-11-17,60,24.94
2007-02-23,51,27.55
2007-03-02,56,26.4
2007-03-09,44,28.09
2007-03-16,44,28.36
2007-03-23,46,30.65
2007-03-30,48,30.34
2007-04-13,53,31.92
2007-04-20,55,31.29
2007-04-27,43,32.74
2007-05-04,43,32.2
2007-05-11,43,32.2
2007-05-18,39,33.32
2007-05-25,39,32.57
2007-06-01,39,33.87
2007-06-08,39,33.05
2007-06-15,39,35.22
2007-06-22,64,36.11
2007-06-29,39,35.42
2007-07-06,40,36.13
2007-07-13,51,36.3
2007-07-20,52,35.59
2007-07-27,53,32.14
2007-08-03,54,32.14
2007-08-10,55,31.55
2007-08-17,56,29.87
2007-08-24,56,31.42
2007-08-31,51,31.49
2007-09-07,51,31.83
2007-09-14,35,33.15
2007-09-21,35,34.54
2007-09-28,76,32.83
2007-10-05,48,33.09
2007-10-12,35,32.98
2007-10-19,35,31.38
2007-10-26,36,30.65
2007-11-02,35,31.84
2007-11-09,35,32.16
2007-11-16,47,34.08
2007-11-23,36,34.83
2007-11-30,35,34.55
2007-12-07,41,36.43
2007-12-14,47,36.36
2007-12-21,43,39.01
2007-12-28,44,40.28
2008-01-04,45,40.11
2008-01-11,46,37.95
2008-01-18,51,35.47
2008-01-25,30,35.77
2008-02-01,56,40.32
2008-02-08,35,41.32
2008-02-15,35,41.95
2008-02-22,44,43.73
2008-02-29,65,44.83
2008-03-07,46,44.15
2008-03-14,34,45.91
2008-03-28,32,46.16
2008-04-04,54,49.41
2008-04-11,39,51.62
2008-04-18,53,56.53
2008-04-25,31,55.84
2008-05-02,29,54.61
2008-05-09,49,57.98
2008-05-16,39,61.26
2008-05-23,39,60.03
2008-05-30,39,62.65
2008-06-06,38,65.23
2008-06-13,34,65.76
2008-06-20,34,72.03
2008-06-27,57,71.89
2008-07-11,33,67.5
2008-07-18,35,60.19
2008-07-25,61,57.94
2008-08-01,54,61.32
2008-08-08,57,53
2008-08-15,61,53.38
2008-08-22,33,56.61
2008-08-29,33,57.12
2008-09-05,34,49.33
2008-09-12,33,47.97
2008-09-19,43,52.66
2008-09-26,25,45.71
2008-10-03,30,36.41
2008-10-10,37,24.11
2008-10-17,32,25.75
2008-10-24,53,27.42
2008-10-31,34,34.31
2008-11-07,25,29.08
2008-11-14,42,26
2008-11-21,47,20.72
2008-11-28,31,25.36
2008-12-05,63,18.85
2008-12-12,43,22.27
2008-12-19,36,21.05
2008-12-26,31,20.53
2009-01-02,31,25.06
2009-01-09,30,24.68
2009-01-16,49,23.34
2009-01-23,26,24.65
2009-01-30,60,22.46
2009-02-06,48,23.22
2009-02-13,30,22.82
2009-02-20,30,22.71
2009-02-27,30,23.66
2009-03-06,38,20.3
2009-03-13,38,22.25
2009-03-20,33,22.95
2009-03-27,33,24.39
2009-04-03,51,28.56
2009-04-17,25,32.92
2009-04-24,25,32.76
2009-05-01,21,31.33
2009-05-08,25,34.72
2009-05-15,21,29.72
2009-05-22,31,31.89
