"Date","IPG","Price"
2004-02-06,73,16.85
2004-02-13,75,16.92
2004-02-20,53,16.53
2004-02-27,71,16.95
2004-03-05,72,16.57
2004-03-12,54,15.69
2004-03-19,54,15.11
2004-03-26,43,15
2004-04-02,74,15.93
2004-04-16,46,16.03
2004-04-23,60,16.37
2004-04-30,62,15.69
2004-05-07,39,15.35
2004-05-14,54,14.3
2004-05-21,55,14.2
2004-05-28,65,14.38
2004-06-04,52,13.97
2004-06-18,75,14.51
2004-06-25,56,14
2004-07-02,64,13.25
2004-07-09,61,13.05
2004-07-16,43,12.82
2004-07-23,71,12.77
2004-07-30,63,12.79
2004-08-06,24,11.68
2004-08-13,59,10.64
2004-08-20,57,10.88
2004-08-27,62,10.78
2004-09-03,69,10.58
2004-09-10,47,11.17
2004-09-17,90,10.94
2004-09-24,54,10.81
2004-10-01,60,11.06
2004-10-08,75,10.95
2004-10-15,67,11.33
2004-10-22,63,11.66
2004-10-29,72,12.26
2004-11-05,60,12.46
2004-11-12,57,12.06
2004-11-19,63,12.2
2004-11-26,70,12.43
2004-12-03,43,12.54
2004-12-10,46,12.84
2004-12-17,79,13.34
2004-12-31,56,13.4
2005-01-07,72,13.16
2005-01-14,74,12.85
2005-01-21,83,13.15
2005-01-28,51,13.05
2005-02-04,61,13.38
2005-02-11,49,13.68
2005-02-18,64,13.17
2005-02-25,67,13.2
2005-03-04,51,13.13
2005-03-11,78,12.51
2005-03-18,58,11.76
2005-04-01,79,12.18
2005-04-08,57,13.12
2005-04-15,64,13
2005-04-22,69,13.07
2005-04-29,59,12.86
2005-05-06,52,12.86
2005-05-13,54,12.41
2005-05-20,53,12.48
2005-05-27,50,12.38
2005-06-03,63,12.6
2005-06-10,48,12.62
2005-06-17,63,12.16
2005-06-24,71,13.06
2005-07-01,76,12.25
2005-07-08,55,12.27
2005-07-15,79,12.6
2005-07-22,63,12.6
2005-07-29,66,12.5
2005-08-05,68,12.14
2005-08-12,66,11.94
2005-08-19,65,12.25
2005-08-26,58,11.9
2005-09-02,49,11.71
2005-09-09,52,11.12
2005-09-16,68,11.27
2005-09-23,76,11.05
2005-09-30,78,11.64
2005-10-07,78,11.26
2005-10-14,68,11.1
2005-10-21,65,10.34
2005-10-28,80,10.35
2005-11-04,38,10.65
2005-11-11,40,9.96
2005-11-18,63,9.85
2005-11-25,58,9.77
2005-12-02,48,9.34
2005-12-09,55,9.45
2005-12-16,42,9.83
2005-12-23,69,9.72
2005-12-30,38,9.65
2006-01-06,61,10.22
2006-01-13,50,10
2006-01-20,55,9.84
