"Date","IVZ","Price"
2005-10-14,33,12.37
2006-01-20,31,17.56
2006-03-03,27,18.42
2006-05-19,27,19.75
2006-05-26,26,19.84
2006-06-02,26,19.81
2006-06-09,26,17.59
2006-06-16,26,17.75
2006-06-23,28,17.17
2006-06-30,25,18.49
2006-07-07,34,17.99
2006-09-29,26,21.92
2006-10-06,24,22.31
2006-10-13,24,23.3
2006-10-20,26,23.32
2006-10-27,29,22.97
2006-11-03,31,22.65
2006-11-10,34,22.83
2006-11-17,23,22.8
2006-11-24,23,21.59
2006-12-01,23,21.49
2006-12-08,21,22.15
2006-12-15,21,22.51
2006-12-22,21,22.59
2006-12-29,25,24.65
2007-01-05,28,22.77
2007-01-12,31,23.58
2007-01-19,22,24.42
2007-01-26,22,24.05
2007-02-02,23,25.08
2007-02-09,24,24.67
2007-02-16,25,24.8
2007-02-23,38,25.92
2007-03-02,24,22.78
2007-03-09,24,23.51
2007-03-16,24,22.97
2007-03-23,20,24.1
2007-03-30,20,22.1
2007-04-13,19,23.36
2007-04-20,28,23.93
2007-04-27,20,23.66
2007-05-04,20,25.35
2007-05-11,20,24.68
2007-05-18,20,24.68
2007-05-25,31,23.72
2007-06-01,50,24.57
2007-06-08,25,23.31
2007-06-15,17,24.66
2007-06-22,53,26.03
2007-06-29,25,25.85
2007-07-06,19,26.6
2007-07-13,19,27.18
2007-07-20,21,26.75
2007-07-27,23,24.43
2007-08-03,26,24.48
2007-08-10,43,24.56
2007-08-17,34,22.92
2007-08-24,40,24.43
2007-08-31,39,24.69
2007-09-07,46,23.76
2007-09-14,26,23.63
2007-09-21,26,25.87
2007-09-28,31,27.3
2007-10-05,36,28.89
2007-10-12,31,29.62
2007-10-19,25,27.72
2007-10-26,30,29.58
2007-11-02,40,29.29
2007-11-09,24,27.05
2007-11-16,24,26.65
2007-11-23,24,26.08
2007-11-30,30,26.25
2007-12-07,36,28.12
2007-12-14,21,28.27
2007-12-21,21,32
2007-12-28,22,31.13
2008-01-04,23,28.88
2008-01-11,26,27.42
2008-01-18,32,24.98
2008-01-25,16,25.95
2008-02-01,29,28.33
2008-02-08,35,25.64
