"Date","International.Paper","Price"
2004-02-06,72,42.22
2004-02-13,70,43.4
2004-02-20,74,43.77
2004-02-27,72,44.26
2004-03-05,70,44.03
2004-03-12,64,41.41
2004-03-19,49,41.47
2004-03-26,40,41.58
2004-04-02,79,42.67
2004-04-16,68,42.74
2004-04-23,66,43.2
2004-04-30,59,40.32
2004-05-07,60,38.41
2004-05-14,55,40.77
2004-05-21,56,40.6
2004-05-28,73,41.93
2004-06-04,49,41.77
2004-06-18,59,43.72
2004-06-25,60,43.49
2004-07-02,52,43.55
2004-07-09,65,42.83
2004-07-16,57,43.52
2004-07-23,70,42.31
2004-07-30,54,43.23
2004-08-06,57,41.35
2004-08-13,59,40.7
2004-08-20,59,41.81
2004-08-27,53,41.15
2004-09-03,50,40.8
2004-09-10,54,40.11
2004-09-17,40,39.9
2004-09-24,45,38.85
2004-10-01,52,40.76
2004-10-08,44,40.62
2004-10-15,67,39.12
2004-10-22,57,38.6
2004-10-29,59,38.51
2004-11-05,62,40.12
2004-11-12,50,40.81
2004-11-19,62,40.5
2004-11-26,52,41.8
2004-12-03,52,40.52
2004-12-10,55,40.75
2004-12-17,58,41.34
2004-12-31,36,42
2005-01-07,48,41.29
2005-01-14,53,40.92
2005-01-21,52,39.1
2005-01-28,54,39.4
2005-02-04,49,39.54
2005-02-11,62,37.27
2005-02-18,57,38.36
2005-02-25,71,38.11
2005-03-04,57,39.6
2005-03-11,51,39.25
2005-03-18,59,38.93
2005-04-01,56,36.35
2005-04-08,42,37.3
2005-04-15,55,34.43
2005-04-22,62,33.85
2005-04-29,52,34.29
2005-05-06,57,33.79
2005-05-13,61,31.65
2005-05-20,45,32.89
2005-05-27,46,32.54
2005-06-03,39,32.87
2005-06-10,57,32.69
2005-06-17,60,33.9
2005-06-24,49,32.45
2005-07-01,51,30.34
2005-07-08,46,30.61
2005-07-15,42,30.86
2005-07-22,100,31.59
2005-07-29,72,31.6
2005-08-05,66,31.19
2005-08-12,55,31.31
2005-08-19,54,31.07
2005-08-26,44,30.53
2005-09-02,36,30.61
2005-09-09,40,31.85
2005-09-16,54,31.57
2005-09-23,50,30.3
2005-09-30,47,29.8
2005-10-07,54,28.39
2005-10-14,58,27.2
2005-10-21,61,28.01
2005-10-28,50,28.86
2005-11-04,54,29.36
2005-11-11,46,29.83
2005-11-18,49,30.89
2005-11-25,40,31.41
2005-12-02,48,33.46
2005-12-09,40,33.83
2005-12-16,50,33.69
2005-12-23,40,34.43
2005-12-30,26,33.61
2006-01-06,40,34.18
2006-01-13,46,33.25
2006-01-20,49,32.26
2006-01-27,44,32.71
2006-02-03,48,32.5
2006-02-10,48,32.66
2006-02-17,53,33.47
2006-02-24,43,33.44
2006-03-03,48,32.6
2006-03-10,52,34.21
2006-03-17,49,35.21
2006-03-24,49,34.43
2006-03-31,53,34.57
2006-04-07,51,34.4
2006-04-21,45,37.18
2006-04-28,39,36.35
2006-05-05,38,37.44
2006-05-12,43,34.6
2006-05-19,48,33.71
2006-05-26,41,33.92
2006-06-02,39,33.81
2006-06-09,46,32.18
2006-06-16,39,31.77
2006-06-23,42,31.76
2006-06-30,46,32.3
2006-07-07,38,32.75
2006-07-14,43,32.36
2006-07-21,41,31.67
2006-07-28,37,33.88
2006-08-04,42,33.64
2006-08-11,45,34.1
2006-08-18,45,34.84
2006-08-25,52,35.07
2006-09-01,45,35.01
2006-09-08,35,35.08
2006-09-15,43,34
2006-09-22,42,34.06
2006-09-29,41,34.63
2006-10-06,40,35.34
2006-10-13,44,35.6
2006-10-20,41,33.81
2006-10-27,43,33.76
2006-11-03,38,31.92
2006-11-10,36,32.23
2006-11-17,39,32.84
2006-11-24,32,32.86
2006-12-01,46,33.17
2006-12-08,36,33.98
2006-12-15,47,34.78
2006-12-22,36,33.8
2006-12-29,21,34.1
2007-01-05,28,33.46
2007-01-12,38,34.29
2007-01-19,41,34.67
2007-01-26,44,32.84
2007-02-02,40,34.88
2007-02-09,36,35.85
2007-02-16,43,37.78
2007-02-23,38,37.18
2007-03-02,34,35.05
2007-03-09,39,35.25
2007-03-16,36,35.3
2007-03-23,35,36.42
2007-03-30,35,36.4
2007-04-13,33,36.92
2007-04-20,34,37.2
2007-04-27,33,37.68
2007-05-04,35,38.1
2007-05-11,34,38.89
2007-05-18,34,39.12
2007-05-25,37,38.95
2007-06-01,28,39.58
2007-06-08,34,38.38
2007-06-15,30,38.33
2007-06-22,35,38.79
2007-06-29,36,39.05
2007-07-06,33,39.33
2007-07-13,33,40.79
2007-07-20,33,40.3
2007-07-27,34,36.72
2007-08-03,36,34.86
2007-08-10,34,33.73
2007-08-17,33,33.07
2007-08-24,36,34.4
2007-08-31,33,35.11
2007-09-07,33,35.06
2007-09-14,28,34.92
2007-09-21,35,35.86
2007-09-28,37,35.87
2007-10-05,40,36.43
2007-10-12,37,35.68
2007-10-19,32,35.1
2007-10-26,35,36.43
2007-11-02,35,35.45
2007-11-09,32,34.17
2007-11-16,32,34.11
2007-11-23,35,32.89
2007-11-30,38,33.75
2007-12-07,40,34.52
2007-12-14,31,32.36
2007-12-21,30,33.09
2007-12-28,22,32.55
2008-01-04,31,31.3
2008-01-11,32,31.02
2008-01-18,30,30.68
2008-01-25,32,31.65
2008-02-01,34,32.68
2008-02-08,31,31.84
2008-02-15,32,32.51
2008-02-22,34,32.4
2008-02-29,32,31.7
2008-03-07,35,31.31
2008-03-14,33,32.26
2008-03-28,39,26.95
2008-04-04,36,28.74
2008-04-11,33,27.18
2008-04-18,35,28.65
2008-04-25,33,28.17
2008-05-02,40,25.73
2008-05-09,48,25.82
2008-05-16,37,28.07
2008-05-23,29,26.49
2008-05-30,26,27.22
2008-06-06,32,25.68
2008-06-13,29,25.14
2008-06-20,29,24.48
2008-06-27,29,23.39
2008-07-11,30,22
2008-07-18,36,23.38
2008-07-25,32,23.41
2008-08-01,36,28.52
2008-08-08,32,28.96
