"Date","JPMorgan.Chase...Co.","Price"
2004-02-06,38,39.73
2004-02-13,37,40.16
2004-02-20,26,40.57
2004-02-27,28,41.02
2004-03-05,27,43.01
2004-03-12,27,41.52
2004-03-19,27,41.33
2004-03-26,37,41.25
2004-04-02,47,41.53
2004-04-16,36,39.26
2004-04-23,24,38.3
2004-04-30,24,37.6
2004-05-07,32,36.48
2004-05-14,25,35.66
2004-05-21,32,36.08
2004-05-28,39,36.84
2004-06-04,24,37.28
2004-06-18,43,37.23
2004-06-25,32,37.99
2004-07-02,24,38.08
2004-07-09,45,36.83
2004-07-16,36,35.87
2004-07-23,83,36.53
2004-07-30,35,37.33
2004-08-06,33,36.09
2004-08-13,34,36.87
2004-08-20,47,38.65
2004-08-27,28,39.72
2004-09-03,24,39.85
2004-09-10,18,39.8
2004-09-17,21,39.65
2004-09-24,44,39.75
2004-10-01,37,40.34
2004-10-08,27,39.65
2004-10-15,29,38.74
2004-10-22,31,37.47
2004-10-29,23,38.6
2004-11-05,28,39.35
2004-11-12,24,39.17
2004-11-19,28,37.42
2004-11-26,20,37.69
2004-12-03,33,38.06
2004-12-10,36,37.63
2004-12-17,21,38.52
2004-12-31,26,39.01
2005-01-07,32,38.4
2005-01-14,32,37.81
2005-01-21,40,36.85
2005-01-28,45,37
2005-02-04,48,37.69
2005-02-11,36,37.48
2005-02-18,35,36.51
2005-02-25,31,36.97
2005-03-04,50,37.51
2005-03-11,20,36.11
2005-03-18,39,36.01
2005-04-01,34,34.25
2005-04-08,24,34.5
2005-04-15,49,33.93
2005-04-22,26,34.87
2005-04-29,49,35.49
2005-05-06,31,35.61
2005-05-13,38,34.46
2005-05-20,35,36.06
2005-05-27,40,35.8
2005-06-03,51,35.55
2005-06-10,63,35.43
2005-06-17,34,36.08
2005-06-24,41,35.57
2005-07-01,45,35.06
2005-07-08,37,34.81
2005-07-15,49,35.86
2005-07-22,61,35.6
2005-07-29,48,35.14
2005-08-05,43,35.25
2005-08-12,71,34.31
2005-08-19,47,34.54
2005-08-26,33,33.65
2005-09-02,40,34.11
2005-09-09,45,34.82
2005-09-16,53,34.99
2005-09-23,48,34.07
2005-09-30,33,33.93
2005-10-07,39,33.9
2005-10-14,38,34.08
2005-10-21,37,35.13
2005-10-28,43,36.44
2005-11-04,39,37.31
2005-11-11,34,38.26
2005-11-18,38,38.03
2005-11-25,32,38.86
2005-12-02,45,38.99
2005-12-09,39,39.12
2005-12-16,39,39.79
2005-12-23,48,40.2
2005-12-30,37,39.69
2006-01-06,54,40.02
2006-01-13,42,39.92
2006-01-20,43,38.05
2006-01-27,47,39.75
2006-02-03,36,39.53
2006-02-10,41,39.92
2006-02-17,48,40.78
2006-02-24,46,41.66
2006-03-03,46,41.59
2006-03-10,51,41.13
2006-03-17,48,41.4
2006-03-24,53,42.1
2006-03-31,56,41.64
2006-04-07,52,41.7
2006-04-21,65,42.5
2006-04-28,49,45.38
2006-05-05,43,46.65
2006-05-12,42,44.32
2006-05-19,44,42.75
2006-05-26,40,43.23
2006-06-02,45,43.81
2006-06-09,46,42.1
2006-06-16,43,40.16
2006-06-23,38,40.87
2006-06-30,38,42
2006-07-07,43,42.41
2006-07-14,52,40.89
2006-07-21,49,43.15
2006-07-28,46,45.48
2006-08-04,45,45.12
2006-08-11,85,43.93
2006-08-18,46,45.71
2006-08-25,36,45.52
2006-09-01,36,45.73
2006-09-08,41,45.26
2006-09-15,44,46.95
2006-09-22,52,46.82
2006-09-29,40,46.96
2006-10-06,42,46.86
2006-10-13,35,48.16
2006-10-20,39,47.12
2006-10-27,39,47.29
2006-11-03,45,46.89
2006-11-10,37,47.61
2006-11-17,37,47.66
2006-11-24,21,47.27
2006-12-01,35,46.01
2006-12-08,42,46.76
2006-12-15,33,48.3
2006-12-22,31,47.89
2006-12-29,35,48.3
2007-01-05,47,47.79
2007-01-12,53,47.99
2007-01-19,40,48.76
2007-01-26,38,49.7
2007-02-02,48,50.93
2007-02-09,52,50.42
2007-02-16,44,51.25
2007-02-23,28,51.03
2007-03-02,33,48.19
2007-03-09,38,48.82
2007-03-16,40,47.03
2007-03-23,34,48.52
2007-03-30,38,48.38
2007-04-13,38,49.09
2007-04-20,51,52.54
2007-04-27,37,52.55
2007-05-04,40,52.63
2007-05-11,38,52.15
2007-05-18,39,52.54
2007-05-25,32,51.64
2007-06-01,34,51.9
2007-06-08,38,50.41
2007-06-15,51,50.56
2007-06-22,39,48.72
2007-06-29,40,48.45
2007-07-06,37,48.97
2007-07-13,38,50.05
2007-07-20,49,47.56
2007-07-27,40,44.23
2007-08-03,40,43.65
2007-08-10,47,44.25
2007-08-17,29,47.01
2007-08-24,42,45.95
2007-08-31,43,44.52
2007-09-07,38,43.52
2007-09-14,38,45.54
2007-09-21,40,47.13
2007-09-28,43,45.82
2007-10-05,37,47.58
2007-10-12,46,46.82
2007-10-19,44,45.02
2007-10-26,45,47.32
2007-11-02,39,43.15
2007-11-09,37,42.31
2007-11-16,42,43.09
2007-11-23,39,41.95
2007-11-30,46,45.62
2007-12-07,43,46.08
2007-12-14,38,45.2
2007-12-21,38,44.11
2007-12-28,28,43.26
2008-01-04,36,40.93
2008-01-11,47,40.86
2008-01-18,57,39.59
2008-01-25,40,43.64
2008-02-01,37,48.25
2008-02-08,39,43.82
2008-02-15,42,43.25
2008-02-22,38,43.93
2008-02-29,42,40.65
2008-03-07,45,37.56
2008-03-14,43,36.54
2008-03-28,50,42.71
2008-04-04,52,45.57
2008-04-11,52,42.53
2008-04-18,61,45.76
2008-04-25,52,47.79
2008-05-02,40,48.66
2008-05-09,44,46.57
2008-05-16,44,46.53
2008-05-23,52,42.32
2008-05-30,39,43
2008-06-06,41,40.09
2008-06-13,58,39.58
2008-06-20,44,37.86
2008-06-27,42,35.05
2008-07-11,45,33.16
2008-07-18,48,40.02
2008-07-25,48,39.52
2008-08-01,46,40.76
