"Date","Johnson.Controls","Price"
2004-02-06,70,60.06
2004-02-13,83,59.06
2004-02-20,61,58.07
2004-02-27,78,58.32
2004-03-05,65,59.67
2004-03-12,69,58.23
2004-03-19,67,57.48
2004-03-26,72,58.9
2004-04-02,75,59.71
2004-04-16,72,56.99
2004-04-23,70,58.67
2004-04-30,63,54.86
2004-05-07,65,52.62
2004-05-14,69,52.73
2004-05-21,67,52
2004-05-28,74,53.92
2004-06-04,76,54.35
2004-06-18,77,55.53
2004-06-25,79,54.7
2004-07-02,58,51.56
2004-07-09,70,53.23
2004-07-16,77,53.44
2004-07-23,68,56.72
2004-07-30,73,56.45
2004-08-06,60,53.55
2004-08-13,57,53.32
2004-08-20,52,54.33
2004-08-27,57,56.14
2004-09-03,72,56.31
2004-09-10,61,56.49
2004-09-17,52,56.04
2004-09-24,65,55.5
2004-10-01,72,57.6
2004-10-08,69,55.97
2004-10-15,59,55.49
2004-10-22,68,53.89
2004-10-29,54,57.35
2004-11-05,65,59.9
2004-11-12,62,61.7
2004-11-19,59,61.24
2004-11-26,52,62.97
2004-12-03,61,61.9
2004-12-10,58,61.75
2004-12-17,53,60.68
2004-12-31,42,63.44
2005-01-07,50,61.1
2005-01-14,59,61.24
2005-01-21,64,59.86
2005-01-28,69,58.31
2005-02-04,66,59.48
2005-02-11,64,58.38
2005-02-18,58,58.61
2005-02-25,71,59.34
2005-03-04,70,57.53
2005-03-11,66,58.5
2005-03-18,63,56.76
2005-04-01,50,55.3
2005-04-08,63,55.66
2005-04-15,61,52.93
2005-04-22,59,54.86
2005-04-29,58,54.87
2005-05-06,62,54.75
2005-05-13,51,53.68
2005-05-20,62,56.7
2005-05-27,54,56.99
2005-06-03,50,56.41
2005-06-10,54,56.43
2005-06-17,78,57.74
2005-06-24,55,55.04
2005-07-01,63,56.4
2005-07-08,54,59
2005-07-15,53,58.87
2005-07-22,62,58.39
2005-07-29,53,57.44
2005-08-05,58,57.26
2005-08-12,50,57.63
2005-08-19,56,56.95
2005-08-26,100,60.19
2005-09-02,69,59.7
2005-09-09,65,61.82
2005-09-16,59,61.79
2005-09-23,55,61.02
2005-09-30,53,62.05
2005-10-07,65,61.49
2005-10-14,69,65.36
2005-10-21,62,65.87
2005-10-28,58,67
2005-11-04,61,68.72
2005-11-11,54,69.13
2005-11-18,53,69.74
2005-11-25,56,69.99
2005-12-02,47,70.46
2005-12-09,59,70.68
2005-12-16,53,73.94
2005-12-23,48,72.93
2005-12-30,37,72.91
2006-01-06,46,75.65
2006-01-13,66,74.01
2006-01-20,60,67.88
2006-01-27,55,69.99
2006-02-03,60,67.91
2006-02-10,50,68.01
2006-02-17,57,68.39
2006-02-24,76,69
2006-03-03,58,70.8
2006-03-10,56,73.62
2006-03-17,54,75.96
2006-03-24,50,76.98
2006-03-31,55,75.93
2006-04-07,55,77.12
