"Date","Juniper.Networks","Price"
2004-02-06,74,29.47
2004-02-13,100,26.65
2004-02-20,24,25.53
2004-02-27,37,25.87
2004-04-16,34,25.17
2004-04-23,36,26.13
2004-04-30,43,21.88
2004-05-07,32,23.09
2004-05-14,23,20.92
2004-05-21,26,20.45
2004-05-28,52,20.95
2004-06-04,35,19.91
2004-06-18,33,20.74
2004-06-25,49,23.89
2004-07-02,24,23.7
2004-07-09,42,23.16
2004-07-16,41,24.08
2004-07-23,35,22.76
2004-07-30,31,22.96
2004-08-06,37,21.06
2004-08-13,22,20.29
2004-08-20,24,21.98
2004-08-27,51,22.96
2004-09-03,43,23.15
2004-09-10,40,24.92
2004-09-17,40,24.14
2004-09-24,27,24.65
2004-10-01,38,23.92
2004-10-08,26,24.35
2004-10-15,47,23.76
2004-10-22,36,24.01
2004-10-29,47,26.61
2004-11-05,33,27.84
2004-11-12,32,28.5
2004-11-19,50,27.93
2004-11-26,43,28.34
2004-12-03,55,28.54
2004-12-10,28,28.14
2004-12-17,46,26.56
2004-12-31,33,27.19
2005-01-07,33,25.46
2005-01-14,28,26.6
2005-01-21,29,25
2005-01-28,43,24.55
2005-02-04,43,22.97
2005-02-11,20,23.64
2005-02-18,44,21.95
2005-02-25,28,21.63
2005-03-04,34,21.26
2005-03-11,39,22.35
2005-03-18,42,21.38
2005-04-01,46,21.53
2005-04-08,22,21.71
2005-04-15,32,19.75
2005-04-22,38,22.62
2005-04-29,41,22.58
2005-05-06,37,22.95
2005-05-13,42,24.28
2005-05-20,37,25.73
2005-05-27,32,25.79
2005-06-03,31,25.22
2005-06-10,40,25.13
2005-06-17,35,26.27
2005-06-24,31,25.6
2005-07-01,40,24.89
2005-07-08,21,25.4
2005-07-15,40,26.08
2005-07-22,41,23.84
2005-07-29,42,23.99
2005-08-05,43,23.63
2005-08-12,47,23.58
2005-08-19,33,23.32
2005-08-26,42,22.97
2005-09-02,40,23.16
2005-09-09,27,24.02
2005-09-16,35,23.53
2005-09-23,31,22.33
2005-09-30,35,23.8
2005-10-07,43,22.43
2005-10-14,30,21.59
2005-10-21,35,23.27
2005-10-28,31,22.67
2005-11-04,39,23.97
2005-11-11,21,23.99
2005-11-18,41,23.36
2005-11-25,34,23.93
2005-12-02,29,22.84
2005-12-09,31,22.55
2005-12-16,34,21.84
2005-12-23,33,22.3
2005-12-30,20,22.3
2006-01-06,33,22.06
2006-01-13,44,21.92
2006-01-20,42,21.61
2006-01-27,38,17.48
2006-02-03,28,18.37
2006-02-10,39,19.21
2006-02-17,38,17.97
2006-02-24,39,17.67
2006-03-03,33,19.6
2006-03-10,34,18.9
2006-03-17,40,19.45
2006-03-24,27,19.25
2006-03-31,27,19.12
2006-04-07,35,19.05
2006-04-21,37,17.87
2006-04-28,26,18.48
2006-05-05,26,17.87
2006-05-12,32,16.87
2006-05-19,33,15.06
2006-05-26,41,15.69
2006-06-02,33,16.95
2006-06-09,41,16.73
2006-06-16,31,16.75
2006-06-23,39,15.82
2006-06-30,24,15.99
2006-07-07,20,15.72
2006-07-14,31,14.09
2006-07-21,39,13.63
2006-07-28,33,13.67
2006-08-04,36,13.13
2006-08-11,34,12.2
2006-08-18,28,13.99
2006-08-25,39,13.76
2006-09-01,32,14.42
2006-09-08,27,14.38
2006-09-15,33,15.32
2006-09-22,20,16.17
2006-09-29,29,17.28
2006-10-06,35,18.1
2006-10-13,31,17.45
2006-10-20,34,17.96
2006-10-27,26,16.93
2006-11-03,28,16.82
2006-11-10,42,19.48
2006-11-17,41,20.31
2006-11-24,28,21.27
2006-12-01,33,20.78
2006-12-08,30,20.02
2006-12-15,30,19.8
2006-12-22,38,18.77
2006-12-29,27,18.94
2007-01-05,35,19.93
2007-01-12,41,20.58
2007-01-19,33,19.51
2007-01-26,27,18.96
2007-02-02,37,18.2
2007-02-09,33,19.21
2007-02-16,28,19.69
2007-02-23,32,19.78
2007-03-02,27,18.4
2007-03-09,31,18.31
2007-03-16,33,18.01
2007-03-23,22,18.95
2007-03-30,31,19.68
2007-04-13,30,20.59
2007-04-20,29,20.52
2007-04-27,31,22.7
2007-05-04,26,22.95
2007-05-11,24,23.91
2007-05-18,31,23.29
2007-05-25,22,23.19
2007-06-01,32,24.65
2007-06-08,33,24.5
2007-06-15,34,25.49
2007-06-22,34,25.08
2007-06-29,26,25.17
2007-07-06,24,27.04
2007-07-13,32,27.85
2007-07-20,38,30.4
2007-07-27,32,29.97
2007-08-03,32,31.23
2007-08-10,36,32.09
2007-08-17,34,31.64
2007-08-24,25,32.59
2007-08-31,31,32.92
2007-09-07,29,34.58
2007-09-14,26,35.61
2007-09-21,32,35.91
2007-09-28,34,36.61
2007-10-05,27,37.04
2007-10-12,35,37.12
2007-10-19,30,35.62
2007-10-26,36,33.95
2007-11-02,25,35.38
2007-11-09,33,31.21
2007-11-16,28,30.56
2007-11-23,22,29.49
2007-11-30,29,29.72
2007-12-07,36,30.9
2007-12-14,29,33.11
2007-12-21,31,34.7
2007-12-28,16,33.92
2008-01-04,22,31.12
2008-01-11,28,26.6
2008-01-18,22,26.5
2008-01-25,34,25.95
2008-02-01,39,27.25
2008-02-08,33,25.46
2008-02-15,34,26.12
2008-02-22,31,26.19
2008-02-29,29,26.82
2008-03-07,34,24.95
2008-03-14,31,24.68
2008-03-28,27,24.3
2008-04-04,28,24.03
2008-04-11,26,22.83
2008-04-18,29,24.48
2008-04-25,22,26.71
2008-05-02,21,28.79
2008-05-09,28,27.32
2008-05-16,24,28.89
2008-05-23,24,27.28
2008-05-30,24,27.52
2008-06-06,23,26.65
2008-06-13,25,24.19
2008-06-20,26,22.74
2008-06-27,29,22.64
2008-07-11,33,21.76
2008-07-18,27,22.55
2008-07-25,47,26.57
2008-08-01,39,26.17
2008-08-08,31,26.8
2008-08-15,23,26.97
2008-08-22,29,25.88
2008-08-29,32,25.7
2008-09-05,22,24.15
2008-09-12,30,25.81
2008-09-19,28,26.9
2008-09-26,28,23.02
2008-10-03,30,18.56
2008-10-10,32,16.46
2008-10-17,30,17.99
2008-10-24,36,16.5
2008-10-31,28,18.74
2008-11-07,28,17.36
2008-11-14,26,15.03
2008-11-21,30,14.91
2008-11-28,22,17.38
2008-12-05,25,16.3
2008-12-12,28,17.46
2008-12-19,28,16.86
2008-12-26,23,16.93
2009-01-02,13,18.39
2009-01-09,30,17.64
2009-01-16,33,16.39
2009-01-23,26,17.68
2009-01-30,32,14.16
2009-02-06,25,16.35
2009-02-13,29,15.41
2009-02-20,29,14.68
2009-02-27,33,14.21
2009-03-06,29,12.67
2009-03-13,31,14.74
2009-03-20,30,15.09
2009-03-27,24,15.82
2009-04-03,31,17.03
2009-04-17,25,18.49
2009-04-24,34,22.33
2009-05-01,33,22.16
2009-05-08,32,21.85
2009-05-15,32,21.56
2009-05-22,29,23.19
2009-05-29,30,24.73
2009-06-05,34,24.1
2009-06-12,33,23.87
2009-06-19,30,22.42
2009-06-26,33,22.63
2009-07-10,32,23.2
2009-07-17,30,25.19
2009-07-24,33,26.86
2009-07-31,30,26.13
2009-08-07,27,25.4
2009-08-14,30,24.62
2009-08-21,33,24.61
2009-08-28,32,23.58
2009-09-04,30,23.77
2009-09-11,29,26.42
2009-09-18,34,27.62
2009-09-25,31,26.32
2009-10-02,28,25.85
2009-10-09,38,27.53
2009-10-16,35,26.5
2009-10-23,29,27.31
2009-10-30,40,25.51
2009-11-06,40,25.33
2009-11-13,34,26.15
2009-11-20,34,25.2
2009-11-27,33,25.67
2009-12-04,30,27.33
2009-12-11,29,26.78
2009-12-18,35,26.1
2010-01-08,34,26.25
2010-01-15,35,26.58
2010-01-22,35,24.95
2010-01-29,31,24.83
2010-02-05,35,25
2010-02-12,34,24.76
2010-02-19,37,27.44
2010-02-26,30,27.98
2010-03-05,34,29.1
2010-03-12,34,29.94
2010-03-19,28,29.89
2010-03-26,30,30.49
2010-04-09,30,31.65
2010-04-16,26,31.21
2010-04-23,31,30.07
2010-04-30,29,28.41
2010-05-07,30,26.73
2010-05-14,31,27.5
2010-05-21,28,26.39
2010-05-28,26,26.62
2010-06-04,22,24.67
2010-06-11,29,24.99
2010-06-18,26,25.5
2010-06-25,30,23.72
2010-07-02,30,24.08
2010-07-09,25,25.77
2010-07-16,27,25.9
2010-07-23,26,28.09
2010-07-30,32,27.78
2010-08-06,28,27.99
2010-08-13,27,25.63
2010-08-20,25,27.24
2010-08-27,27,27.24
2010-09-03,32,28.99
2010-09-10,27,28.28
2010-09-17,30,30.01
2010-09-24,28,29.78
2010-10-01,30,30.3
2010-10-08,29,31.47
2010-10-15,30,31.94
2010-10-22,27,31.94
2010-10-29,28,32.39
2010-11-05,27,34.39
2010-11-12,28,35.81
2010-11-19,27,34.73
2010-11-26,26,34.13
2010-12-03,31,34.32
2010-12-10,30,35.88
2010-12-17,27,36.49
2010-12-31,21,36.92
2011-01-07,25,37.59
2011-01-14,27,38.73
2011-01-21,31,34.87
2011-01-28,31,36.28
2011-02-04,27,40.06
2011-02-11,29,43.41
2011-02-18,31,44
2011-02-25,35,43.9
2011-03-04,28,44.11
2011-03-11,31,42.89
2011-03-18,21,40.26
2011-03-25,27,40.9
2011-04-01,25,41.26
2011-04-08,25,38.32
2011-04-15,22,38.38
2011-04-29,23,38.33
2011-05-06,19,37.14
2011-05-13,24,39.63
2011-05-20,27,38.86
2011-05-27,25,37.05
2011-06-03,20,32.33
2011-06-10,24,30.77
2011-06-17,26,29.33
2011-06-24,25,30.02
2011-07-01,25,31.97
2011-07-08,23,32.06
2011-07-15,28,30.63
2011-07-22,28,31.27
2011-07-29,31,23.39
2011-08-05,28,22.23
2011-08-12,26,22.18
2011-08-19,24,19.73
2011-08-26,26,20.9
2011-09-02,24,20.2
2011-09-09,26,21.46
2011-09-16,26,20.15
2011-09-23,23,18.95
2011-09-30,26,17.26
2011-10-07,21,19.05
2011-10-14,27,21.56
2011-10-21,26,21.12
2011-10-28,22,24.81
2011-11-04,23,23.98
2011-11-11,25,24.88
2011-11-18,26,22.56
2011-11-25,18,20.17
2011-12-02,22,22.6
2011-12-09,24,19.9
2011-12-16,22,18.35
2011-12-23,20,20.83
2011-12-30,13,20.41
2012-01-06,20,20.43
2012-01-13,22,21.05
2012-01-20,21,22.99
2012-01-27,21,21.69
2012-02-03,19,22.55
2012-02-10,23,22.72
2012-02-17,19,24.2
2012-02-24,21,23.72
2012-03-02,25,21.99
2012-03-09,22,21.42
2012-03-16,20,21.43
2012-03-23,20,21.11
2012-03-30,23,22.88
2012-04-13,20,21.2
2012-04-20,21,20.6
2012-04-27,22,21.26
2012-05-04,19,19.71
2012-05-11,22,17.95
2012-05-18,22,17.53
2012-05-25,22,17.15
2012-06-01,17,16.82
2012-06-08,19,16.89
2012-06-15,21,16.43
2012-06-22,22,16.04
2012-06-29,22,16.31
2012-07-06,18,15.58
2012-07-13,18,14.5
2012-07-20,22,15.65
2012-07-27,22,17.79
2012-08-03,23,18.08
2012-08-10,26,19.24
2012-08-17,20,18.45
2012-08-24,20,17.74
2012-08-31,23,17.44
2012-09-07,20,18.71
2012-09-14,20,19.33
2012-09-21,20,18.49
2012-09-28,20,17.11
2012-10-05,22,16.65
2012-10-12,22,16.35
2012-10-19,24,17.79
2012-10-26,22,16.58
2012-11-02,20,17.12
2012-11-09,20,17.65
2012-11-16,18,16.32
2012-11-23,18,16.7
2012-11-30,23,17.98
2012-12-07,18,19.29
2012-12-14,20,19.59
2012-12-21,17,20.17
2012-12-28,12,19.38
2013-01-04,15,20.38
2013-01-11,20,20.66
2013-01-18,19,21.49
2013-01-25,19,22.57
2013-02-01,20,22.32
2013-02-08,21,21.84
2013-02-15,19,21.86
2013-02-22,21,21.45
2013-03-01,18,20.49
2013-03-08,23,20.69
2013-03-15,22,20.17
2013-03-22,20,18.72
2013-04-05,26,17.55
2013-04-12,22,18.72
2013-04-19,18,17.1
2013-04-26,21,15.79
2013-05-03,21,16.48
2013-05-10,23,17.36
2013-05-17,18,17.61
