"Date","MA","Price"
2006-05-26,64,44.93
2006-06-02,62,46.99
2006-06-09,67,47.78
2006-06-16,64,45.02
2006-06-23,65,46.95
2006-06-30,66,48
2006-07-07,64,46.12
2006-07-14,64,43.95
2006-07-21,66,45.28
2006-07-28,67,46.3
2006-08-04,65,50.05
2006-08-11,65,53.68
2006-08-18,67,53.45
2006-08-25,64,55
2006-09-01,64,56.55
2006-09-08,61,59.75
2006-09-15,65,64.97
2006-09-22,64,65.93
2006-09-29,62,70.35
2006-10-06,63,75.15
2006-10-13,61,70.09
2006-10-20,63,71.22
2006-10-27,63,72.64
2006-11-03,61,89.51
2006-11-10,61,89.2
2006-11-17,59,94.79
2006-11-24,52,105.48
2006-12-01,57,101.17
2006-12-08,60,100.1
2006-12-15,61,96.19
2006-12-22,61,96.35
2006-12-29,59,98.49
2007-01-05,63,101.06
2007-01-12,61,105.25
2007-01-19,58,105.03
2007-01-26,61,108.52
2007-02-02,61,110.96
2007-02-09,62,103.6
2007-02-16,64,108.32
2007-02-23,62,104.57
2007-03-02,61,103.06
2007-03-09,66,102.36
2007-03-16,63,105.27
2007-03-23,63,109.86
2007-03-30,65,106.24
2007-04-13,66,109.4
2007-04-20,66,110.1
2007-04-27,67,114.1
2007-05-04,70,134.66
2007-05-11,67,138.83
2007-05-18,68,138.05
2007-05-25,67,139.07
2007-06-01,69,151.1
2007-06-08,72,143.58
2007-06-15,68,157.65
2007-06-22,64,168.43
2007-06-29,73,165.87
2007-07-06,71,161.9
2007-07-13,74,169.21
2007-07-20,75,165.28
2007-07-27,71,154.03
2007-08-03,71,131.26
2007-08-10,70,138.4
2007-08-17,72,137
2007-08-24,71,139.83
2007-08-31,71,136.99
2007-09-07,66,130.21
2007-09-14,68,137.85
2007-09-21,67,146.56
2007-09-28,68,147.97
2007-10-05,65,162.46
2007-10-12,70,163.21
2007-10-19,67,151.6
2007-10-26,65,157.03
2007-11-02,69,190.04
2007-11-09,70,193
2007-11-16,71,184.87
2007-11-23,75,181.1
2007-11-30,78,200.65
2007-12-07,79,209.6
2007-12-14,73,216.56
2007-12-21,75,212.35
2007-12-28,74,210
2008-01-04,79,201.19
2008-01-11,74,179.17
2008-01-18,73,174.62
2008-01-25,75,193.43
2008-02-01,78,215.42
2008-02-08,78,205.61
2008-02-15,77,206
2008-02-22,74,203.48
2008-02-29,74,190
2008-03-07,75,192.51
2008-03-14,75,208.65
2008-03-28,78,217.6
2008-04-04,78,226.57
2008-04-11,78,228.6
2008-04-18,76,233.71
2008-04-25,76,237.39
2008-05-02,79,285.04
2008-05-09,79,286.85
2008-05-16,78,283.4
2008-05-23,79,273.22
2008-05-30,75,308.65
2008-06-06,78,295.73
2008-06-13,79,292.46
2008-06-20,81,284.01
2008-06-27,83,271.72
2008-07-11,81,257.35
2008-07-18,82,280.86
2008-07-25,84,263.55
2008-08-01,83,237.27
2008-08-08,84,232.13
2008-08-15,84,238.95
2008-08-22,80,241.64
2008-08-29,82,242.55
2008-09-05,77,221.44
2008-09-12,80,223.82
2008-09-19,81,225.18
2008-09-26,80,185.07
2008-10-03,80,160.2
2008-10-10,78,151.71
2008-10-17,79,156.75
2008-10-24,79,130.62
2008-10-31,80,147.82
2008-11-07,81,147.73
2008-11-14,79,143.68
2008-11-21,78,126.54
2008-11-28,71,145.3
2008-12-05,77,140.12
2008-12-12,81,138.81
2008-12-19,83,152.34
2008-12-26,85,140.93
2009-01-02,89,149.78
2009-01-09,84,150.04
2009-01-16,82,128.22
2009-01-23,80,125.45
2009-01-30,84,135.78
2009-02-06,81,162.5
2009-02-13,82,161.9
2009-02-20,80,158.01
2009-02-27,83,158.03
2009-03-06,84,142.44
2009-03-13,80,158.31
2009-03-20,87,155.53
2009-03-27,84,167.47
2009-04-03,85,174.05
2009-04-17,86,163.06
2009-04-24,82,173.09
2009-05-01,84,172.9
