"Date","MDLZ","Price"
2012-07-27,12,39.42
2012-08-03,13,40.51
2012-08-10,15,40.92
2012-08-17,14,40.5
2012-08-24,14,41.87
2012-08-31,11,41.51
2012-09-07,20,39.99
2012-09-14,10,39.93
2012-09-21,12,41.78
2012-09-28,23,41.35
2012-10-05,100,27.81
2012-10-12,46,27.22
2012-10-19,46,27.01
2012-10-26,29,26.6
2012-11-02,23,26.28
2012-11-09,34,26.02
2012-11-16,24,25.56
2012-11-23,24,25.62
2012-11-30,35,25.89
2012-12-07,16,25.58
2012-12-14,22,26.04
2012-12-21,19,25.76
2012-12-28,12,25.26
2013-01-04,27,26.74
2013-01-11,25,27.42
2013-01-18,23,28.08
2013-01-25,24,27.78
2013-02-01,19,28.22
2013-02-08,19,27.76
2013-02-15,30,26.72
2013-02-22,27,26.77
2013-03-01,24,27.81
2013-03-08,28,28.58
2013-03-15,23,28.41
2013-03-22,29,29.73
2013-04-05,25,30.03
2013-04-12,21,30.55
2013-04-19,20,31.69
2013-04-26,28,31.56
2013-05-03,16,31.73
2013-05-10,20,30.63
2013-05-17,19,31.5
2013-05-24,22,30.95
2013-05-31,19,29.48
2013-06-07,19,29.86
2013-06-14,19,29.81
2013-06-21,25,28.85
2013-06-28,15,28.53
2013-07-05,14,28.78
2013-07-12,24,30.36
2013-07-19,26,30.69
2013-07-26,23,31.58
2013-08-02,18,31.94
2013-08-09,24,32.16
2013-08-16,29,30.96
2013-08-23,22,31.32
2013-08-30,23,30.67
2013-09-06,22,30.94
2013-09-13,22,31.55
2013-09-20,21,32.3
2013-09-27,24,31.8
2013-10-04,15,30.86
2013-10-11,20,30.85
2013-10-18,20,32.45
2013-10-25,22,33.48
2013-11-01,18,33.59
2013-11-08,27,32.68
2013-11-15,33,34.05
2013-11-22,16,33.89
2013-11-29,16,33.53
2013-12-06,20,35.09
2013-12-13,14,33.85
2013-12-20,15,34.67
2013-12-27,16,34.91
2014-01-03,17,34.75
2014-01-10,15,35.8
2014-01-17,23,35.25
2014-01-24,32,33.65
2014-01-31,21,32.76
2014-02-07,24,32.93
2014-02-14,25,34.12
2014-02-21,21,34.3
2014-02-28,22,34.03
2014-03-07,19,35.08
2014-03-14,19,34.25
2014-03-21,22,34.13
2014-03-28,14,34.4
2014-04-04,17,34.54
2014-04-11,16,34.31
2014-04-25,14,35.34
