"Date","MHFI","Price"
2013-05-17,93,55.7
2013-06-28,54,53.19
2013-07-05,65,54.87
2013-07-12,75,57.44
2013-07-19,67,58.49
2013-07-26,95,60.5
2013-08-02,55,62.76
2013-08-09,60,62.76
2013-08-16,64,60.66
2013-08-23,69,60
2013-08-30,58,58.37
2013-10-18,89,68.93
2013-10-25,100,71.35
2013-11-01,65,71.08
2013-11-08,50,71.42
2013-11-15,69,72.12
2013-11-22,89,74.28
2013-11-29,64,74.5
2013-12-06,50,74.73
2013-12-13,50,72.2
2013-12-20,60,76
2013-12-27,62,77.47
2014-01-03,63,77.54
2014-01-10,52,78.04
2014-01-17,52,76.75
2014-01-24,47,73.27
2014-01-31,47,76.04
2014-02-07,90,79.97
2014-02-14,43,81.53
2014-02-21,43,80.22
2014-02-28,51,79.66
2014-03-07,53,81.7
2014-03-14,55,79.55
2014-03-21,68,76.87
2014-03-28,46,75.01
2014-04-04,46,75.17
2014-04-11,54,71.98
2014-04-25,48,75.05
