"Date","MMC","Price"
2004-02-06,62,47.23
2004-02-13,64,48.96
2004-02-20,66,48.45
2004-02-27,63,47.99
2004-03-05,57,48.52
2004-03-12,56,47.01
2004-03-19,64,46.44
2004-03-26,59,47.13
2004-04-02,56,45.88
2004-04-16,67,45.62
2004-04-23,73,45.01
2004-04-30,67,45.1
2004-05-07,66,44.07
2004-05-14,64,42.85
2004-05-21,68,43.3
2004-05-28,70,44.12
2004-06-04,77,43.66
2004-06-18,74,43.48
2004-06-25,72,44.75
2004-07-02,76,45.2
2004-07-09,72,44.68
2004-07-16,68,44.29
2004-07-23,71,43.44
2004-07-30,75,44.38
2004-08-06,72,42.47
2004-08-13,72,42.61
2004-08-20,73,44.23
2004-08-27,69,44.64
2004-09-03,66,45.54
2004-09-10,65,46.01
2004-09-17,69,46.61
2004-09-24,69,45.67
2004-10-01,59,46.36
2004-10-08,69,45.98
2004-10-15,73,29.2
2004-10-22,75,26.79
2004-10-29,73,27.66
2004-11-05,68,27.6
2004-11-12,73,27.68
2004-11-19,67,27.27
2004-11-26,77,28.6
2004-12-03,76,29.12
2004-12-10,76,31.26
2004-12-17,80,32.03
2004-12-31,100,32.9
2005-01-07,86,31.26
2005-01-14,78,31.51
2005-01-21,85,31.01
2005-01-28,81,31.09
2005-02-04,74,32.32
2005-02-11,72,32.99
2005-02-18,76,31.58
2005-02-25,79,31.63
2005-03-04,73,31.8
2005-03-11,76,30.23
2005-03-18,74,30
2005-04-01,68,29.89
2005-04-08,67,29.89
2005-04-15,68,28.14
2005-04-22,69,27.9
2005-04-29,70,28.03
2005-05-06,71,29.84
2005-05-13,71,28.67
2005-05-20,69,29.94
2005-05-27,73,29.01
2005-06-03,76,28.99
2005-06-10,69,28.58
2005-06-17,72,27.89
2005-06-24,69,27.41
2005-07-01,73,27.7
2005-07-08,74,29.4
2005-07-15,72,30.01
2005-07-22,74,29.49
2005-07-29,71,28.97
2005-08-05,71,27.47
2005-08-12,68,26.94
2005-08-19,66,27.71
2005-08-26,69,26.97
2005-09-02,67,28.15
2005-09-09,63,29
2005-09-16,64,28.99
2005-09-23,67,29.4
2005-09-30,68,30.39
2005-10-07,66,29.67
2005-10-14,68,28.87
2005-10-21,62,28.35
2005-10-28,61,29
2005-11-04,63,28.9
2005-11-11,64,29.23
2005-11-18,61,29.68
2005-11-25,68,32.07
2005-12-02,67,32.42
2005-12-09,69,32.64
2005-12-16,69,32.2
2005-12-23,79,33.06
2005-12-30,82,31.76
2006-01-06,68,32.39
2006-01-13,73,32.09
2006-01-20,65,30.65
2006-01-27,62,30.88
2006-02-03,61,30.28
2006-02-10,59,31.52
2006-02-17,58,29.8
2006-02-24,61,30
2006-03-03,60,31.25
2006-03-10,54,30.44
2006-03-17,60,30.05
2006-03-24,60,30.03
2006-03-31,59,29.36
2006-04-07,56,29.28
2006-04-21,53,30.96
2006-04-28,57,30.67
2006-05-05,54,30.01
2006-05-12,51,28.9
2006-05-19,57,28.54
2006-05-26,53,28.27
2006-06-02,54,28.31
2006-06-09,56,27.84
2006-06-16,51,27.54
2006-06-23,56,26.6
2006-06-30,52,26.89
2006-07-07,55,26.66
2006-07-14,52,25.95
2006-07-21,50,25.87
2006-07-28,54,27.56
2006-08-04,57,25
2006-08-11,51,24.99
2006-08-18,55,25.6
2006-08-25,55,25.65
2006-09-01,51,26.3
2006-09-08,50,26.24
2006-09-15,51,27.69
2006-09-22,51,28.35
2006-09-29,50,28.15
2006-10-06,49,27.98
2006-10-13,48,27.34
2006-10-20,48,28.28
2006-10-27,50,29.4
2006-11-03,46,30.47
2006-11-10,47,31.93
2006-11-17,47,32.09
2006-11-24,54,31.86
2006-12-01,49,31.17
2006-12-08,52,31.45
2006-12-15,53,30.67
2006-12-22,59,30.49
2006-12-29,58,30.66
2007-01-05,57,31.34
2007-01-12,56,31.36
2007-01-19,60,30.64
2007-01-26,59,29.76
2007-02-02,54,29.31
2007-02-09,47,29.49
2007-02-16,50,30.15
2007-02-23,49,29.82
2007-03-02,50,29.34
2007-03-09,48,29.05
2007-03-16,51,28.85
2007-03-23,47,29.91
2007-03-30,48,29.29
2007-04-13,44,29.95
2007-04-20,46,32.09
2007-04-27,48,32.41
2007-05-04,46,32.12
2007-05-11,49,30.86
2007-05-18,50,31.28
2007-05-25,54,33.13
2007-06-01,47,32.45
2007-06-08,51,31.45
2007-06-15,52,31.67
2007-06-22,49,31.46
2007-06-29,49,30.88
2007-07-06,46,31.44
2007-07-13,45,31.25
2007-07-20,45,30.2
2007-07-27,43,27.48
2007-08-03,41,26.87
2007-08-10,43,26.7
2007-08-17,40,26.45
2007-08-24,42,26.51
2007-08-31,40,26.65
2007-09-07,38,26.26
2007-09-14,40,26.18
2007-09-21,37,24.83
2007-09-28,37,25.5
2007-10-05,39,26.77
2007-10-12,39,25.98
2007-10-19,37,24.3
2007-10-26,38,26.04
2007-11-02,37,25.4
2007-11-09,36,24.51
2007-11-16,39,25.37
2007-11-23,40,24.92
2007-11-30,44,25.12
2007-12-07,41,25.69
2007-12-14,41,24.76
2007-12-21,41,26.21
2007-12-28,41,26.41
2008-01-04,47,27
2008-01-11,51,26.39
2008-01-18,50,27.17
2008-01-25,40,27.12
2008-02-01,38,27.95
2008-02-08,33,26.23
2008-02-15,38,25.87
2008-02-22,39,26.03
2008-02-29,39,25.47
2008-03-07,37,25.1
2008-03-14,37,24.71
2008-03-28,36,24.06
2008-04-04,36,25.26
2008-04-11,37,25.64
2008-04-18,35,27.85
2008-04-25,35,28.14
2008-05-02,32,28.49
2008-05-09,35,27.2
2008-05-16,34,28.73
2008-05-23,34,26.82
2008-05-30,32,27.23
2008-06-06,31,26.24
2008-06-13,33,26.62
2008-06-20,33,26.32
2008-06-27,34,26.77
2008-07-11,33,28.49
2008-07-18,33,28.67
2008-07-25,34,27.2
2008-08-01,30,27.98
2008-08-08,33,30.93
2008-08-15,32,31.9
2008-08-22,33,32.36
2008-08-29,33,31.93
2008-09-05,31,32.43
2008-09-12,29,32.96
2008-09-19,32,33.58
2008-09-26,31,33.57
2008-10-03,29,30.37
2008-10-10,29,27
2008-10-17,30,25.63
2008-10-24,30,25.46
2008-10-31,31,29.28
2008-11-07,29,25.53
2008-11-14,30,23.85
2008-11-21,32,23.93
2008-11-28,30,25.5
2008-12-05,30,24.63
2008-12-12,31,22.65
2008-12-19,31,23.11
2008-12-26,30,23.32
2009-01-02,28,24.94
2009-01-09,35,23.41
2009-01-16,35,21.85
2009-01-23,32,19.81
2009-01-30,33,19.33
2009-02-06,32,19.89
2009-02-13,32,20.52
2009-02-20,30,18.95
2009-02-27,31,17.93
2009-03-06,31,18.33
2009-03-13,31,19.38
2009-03-20,32,19.75
2009-03-27,30,20.23
2009-04-03,31,20.95
2009-04-17,31,20.66
2009-04-24,32,20.38
2009-05-01,31,20.06
2009-05-08,30,20.5
2009-05-15,29,19.13
2009-05-22,29,18.83
2009-05-29,30,18.92
2009-06-05,28,19.79
2009-06-12,26,20.64
2009-06-19,27,20.68
2009-06-26,27,20.32
2009-07-10,25,18.65
2009-07-17,28,19.52
2009-07-24,27,19.62
2009-07-31,27,20.42
2009-08-07,27,23.22
2009-08-14,27,23.49
2009-08-21,27,23.81
2009-08-28,26,23.51
2009-09-04,29,23.12
2009-09-11,27,23.32
2009-09-18,28,23.88
2009-09-25,28,23.72
2009-10-02,25,24
2009-10-09,27,24.96
2009-10-16,26,25
2009-10-23,28,24.89
2009-10-30,27,23.46
2009-11-06,27,23.32
2009-11-13,27,23.94
2009-11-20,28,22.57
2009-11-27,27,22.26
2009-12-04,28,22.21
2009-12-11,28,21.91
2009-12-18,28,21.69
2010-01-08,26,22.16
2010-01-15,27,21.87
2010-01-22,27,21.9
2010-01-29,27,21.56
2010-02-05,26,22.2
2010-02-12,26,22.05
2010-02-19,27,22.79
2010-02-26,27,23.22
2010-03-05,29,23.79
2010-03-12,28,24.02
2010-03-19,28,24.59
2010-03-26,29,24.58
2010-04-09,27,24.34
2010-04-16,29,24.66
2010-04-23,28,24.72
2010-04-30,26,24.22
2010-05-07,25,22.29
2010-05-14,25,22.79
2010-05-21,25,21.72
2010-05-28,27,21.81
2010-06-04,25,20.99
2010-06-11,26,22.08
2010-06-18,27,23.14
2010-06-25,27,23.25
2010-07-02,26,22.38
2010-07-09,25,23.11
2010-07-16,25,22.47
2010-07-23,24,23.22
2010-07-30,25,23.52
2010-08-06,26,23.99
2010-08-13,26,23.49
2010-08-20,25,23.14
2010-08-27,25,23.96
2010-09-03,24,24.58
2010-09-10,24,24.12
2010-09-17,25,24.27
2010-09-24,24,24.34
2010-10-01,25,23.92
2010-10-08,24,23.72
2010-10-15,24,23.92
2010-10-22,24,25.19
2010-10-29,25,24.98
2010-11-05,23,25.97
2010-11-12,26,25.42
2010-11-19,25,25.21
2010-11-26,23,25.07
2010-12-03,24,26.09
2010-12-10,24,26.91
2010-12-17,24,27.09
2010-12-31,21,27.34
2011-01-07,23,27.07
2011-01-14,23,27.71
2011-01-21,24,27.6
2011-01-28,23,27.78
2011-02-04,23,28.39
2011-02-11,24,28.8
2011-02-18,26,30.78
2011-02-25,24,30.2
2011-03-04,25,30.24
2011-03-11,22,30.27
2011-03-18,25,29.19
2011-03-25,24,29.8
2011-04-01,24,30
2011-04-08,25,30.07
2011-04-15,25,29.52
2011-04-29,23,30.28
2011-05-06,24,29.74
2011-05-13,25,29.74
2011-05-20,24,30.43
2011-05-27,23,30.76
2011-06-03,23,30.27
2011-06-10,24,29.61
2011-06-17,24,29.79
2011-06-24,24,29.92
2011-07-01,23,31.54
2011-07-08,21,31.25
2011-07-15,23,29.87
2011-07-22,22,29.79
2011-07-29,22,29.49
2011-08-05,24,28.27
2011-08-12,23,28.02
2011-08-19,23,27.3
2011-08-26,23,29.06
2011-09-02,22,28.99
2011-09-09,23,28.57
2011-09-16,23,28.57
2011-09-23,23,26.68
2011-09-30,22,26.55
2011-10-07,23,26.66
2011-10-14,22,28.2
2011-10-21,24,30.36
2011-10-28,23,30.95
2011-11-04,23,30.58
2011-11-11,22,31.02
2011-11-18,21,29.24
2011-11-25,23,28.47
2011-12-02,22,30.37
2011-12-09,23,31.06
2011-12-16,22,30.42
2011-12-23,21,31.74
2011-12-30,20,31.62
2012-01-06,21,30.72
2012-01-13,23,31.37
2012-01-20,23,31.63
2012-01-27,23,31.77
2012-02-03,23,32.53
2012-02-10,23,32.04
2012-02-17,24,32.22
2012-02-24,23,31.77
2012-03-02,24,31.7
2012-03-09,23,32.25
2012-03-16,23,32.96
2012-03-23,23,32.5
2012-03-30,22,32.79
2012-04-13,22,31.92
2012-04-20,23,32.38
2012-04-27,21,33.2
2012-05-04,20,34.09
2012-05-11,21,33.05
2012-05-18,21,31.63
2012-05-25,21,32.3
