"Date","Marathon.Petroleum","Price"
2011-06-24,19,37.25
2011-07-01,66,42.2
2011-07-08,57,41.41
2011-07-15,45,39.16
2011-07-22,43,40.57
2011-07-29,36,43.79
2011-08-05,45,37.31
2011-08-12,32,37.41
2011-08-19,44,34.99
2011-08-26,39,34.87
2011-09-02,36,35.42
2011-09-09,28,36.35
2011-09-16,31,35.1
2011-09-23,29,29.53
2011-09-30,27,27.06
2011-10-07,40,31.6
2011-10-14,42,36.14
2011-10-21,25,37.35
2011-10-28,32,37.32
2011-11-04,43,38.62
2011-11-11,40,37.77
2011-11-18,41,32.82
2011-11-25,28,32.27
2011-12-02,45,33.31
2011-12-09,22,34.88
2011-12-16,25,31.96
2011-12-23,22,33.53
2011-12-30,26,33.29
2012-01-06,35,31.66
2012-01-13,40,33.03
2012-01-20,38,37.17
2012-01-27,49,37.53
2012-02-03,59,43.98
2012-02-10,42,44.08
2012-02-17,34,43.44
2012-02-24,40,42.86
2012-03-02,38,42.18
2012-03-09,36,43.9
2012-03-16,39,44.19
2012-03-23,30,44
2012-03-30,40,43.36
2012-04-13,41,41.62
2012-04-20,32,39.9
2012-04-27,30,41.29
2012-05-04,36,39.74
2012-05-11,36,37.21
2012-05-18,30,34.92
2012-05-25,35,36.88
2012-06-01,34,35.24
2012-06-08,37,37.36
2012-06-15,27,40.15
2012-06-22,36,41.79
2012-06-29,29,44.92
2012-07-06,38,44.51
2012-07-13,27,44.95
2012-07-20,28,45.56
2012-07-27,51,47.04
2012-08-03,38,49.39
2012-08-10,31,49.56
2012-08-17,30,49.25
2012-08-24,28,48.75
2012-08-31,26,51.75
2012-09-07,38,51.89
2012-09-14,40,55.61
2012-09-21,51,53.72
2012-09-28,52,54.59
2012-10-05,41,54.87
2012-10-12,80,54.3
2012-10-19,41,54.94
2012-10-26,37,55.61
2012-11-02,46,53.05
2012-11-09,38,53.12
2012-11-16,43,54.34
2012-11-23,34,58.98
2012-11-30,32,59.54
2012-12-07,46,60.7
2012-12-14,36,62.83
2012-12-21,36,62.14
2012-12-28,20,61.11
2013-01-04,23,62.55
2013-01-11,45,61.99
2013-01-18,46,65.2
2013-01-25,51,68.67
2013-02-01,55,76.21
2013-02-08,51,81.43
2013-02-15,54,82.56
2013-02-22,33,81.53
2013-03-01,46,85.01
2013-03-08,48,89.02
2013-03-15,45,87.93
2013-03-22,50,90.91
2013-04-05,61,82.37
2013-04-12,47,80.29
2013-04-19,55,78.75
2013-04-26,40,81.35
2013-05-03,48,78.1
2013-05-10,59,77.38
2013-05-17,48,82.68
2013-05-24,41,82.06
2013-05-31,40,82.5
2013-06-07,46,83.63
2013-06-14,33,79.61
2013-06-21,38,72.81
2013-06-28,40,71.06
2013-07-05,42,68.99
2013-07-12,44,73.24
2013-07-19,53,69.6
2013-07-26,48,71.91
2013-08-02,55,71.93
2013-08-09,48,73.24
2013-08-16,44,70
2013-08-23,35,75.06
2013-08-30,39,72.51
2013-09-06,45,70.85
2013-09-13,46,67.89
2013-09-20,42,64.51
2013-09-27,46,64.94
2013-10-04,41,65.23
2013-10-11,37,67.25
2013-10-18,49,70.74
2013-10-25,49,69.89
2013-11-01,43,70.86
2013-11-08,46,71.65
2013-11-15,37,78.84
2013-11-22,38,80.25
2013-11-29,31,82.74
2013-12-06,48,87.2
2013-12-13,32,85.21
2013-12-20,38,87.26
2013-12-27,26,89.13
2014-01-03,32,88.26
2014-01-10,44,90.97
2014-01-17,51,85.28
2014-01-24,41,82.98
2014-01-31,47,87.05
2014-02-07,55,84.47
2014-02-14,39,87.71
2014-02-21,46,87.31
2014-02-28,44,84
2014-03-07,41,90
2014-03-14,34,93.98
2014-03-21,39,90.69
2014-03-28,42,87.67
2014-04-04,48,87.1
2014-04-11,32,83.29
2014-04-25,40,90.73
