"Date","McCormick...Co.","Price"
2004-02-06,55,30.9
2004-02-13,52,30.67
2004-02-20,56,30.48
2004-02-27,45,31.27
2004-03-05,47,31.95
2004-03-12,37,31.58
2004-03-19,46,31.38
2004-03-26,47,32.4
2004-04-02,43,33.41
2004-04-16,43,33.33
2004-04-23,42,33.96
2004-04-30,48,34.16
2004-05-07,40,34.84
2004-05-14,43,34.79
2004-05-21,47,35.56
2004-05-28,40,35.45
2004-06-04,39,35.15
2004-06-18,49,34.35
2004-06-25,40,34.15
2004-07-02,38,34.22
2004-07-09,40,35.12
2004-07-16,38,35.72
2004-07-23,43,35.75
2004-07-30,44,35.77
2004-08-06,45,33.03
2004-08-13,40,32.25
2004-08-20,40,32.7
2004-08-27,45,33.48
2004-09-03,43,34.08
2004-09-10,40,34.4
2004-09-17,39,35.08
2004-09-24,43,33.72
2004-10-01,51,34.78
2004-10-08,45,34.34
2004-10-15,40,35.19
2004-10-22,40,35.01
2004-10-29,42,35.43
2004-11-05,42,37.41
2004-11-12,45,37.33
2004-11-19,45,36.3
2004-11-26,39,37.27
2004-12-03,44,36.98
2004-12-10,40,36.94
2004-12-17,43,38.61
2004-12-31,40,38.6
2005-01-07,43,38.06
2005-01-14,46,38.03
2005-01-21,46,38.83
2005-01-28,46,37.1
2005-02-04,55,37.85
2005-02-11,54,37.52
2005-02-18,52,37.82
2005-02-25,43,38
2005-03-04,42,38.25
2005-03-11,44,37.65
2005-03-18,41,36.75
2005-04-01,40,34.24
2005-04-08,42,34.74
2005-04-15,42,34.29
2005-04-22,45,34.67
2005-04-29,43,34.59
2005-05-06,42,34.1
2005-05-13,44,33.56
2005-05-20,48,34.74
2005-05-27,43,34.15
2005-06-03,42,33.43
2005-06-10,43,33
2005-06-17,41,33.55
2005-06-24,46,33.26
2005-07-01,39,32.75
2005-07-08,34,32.43
2005-07-15,42,33.52
2005-07-22,37,34.45
2005-07-29,43,34.78
2005-08-05,62,33.46
2005-08-12,41,33.79
2005-08-19,42,34.3
2005-08-26,39,33.77
2005-09-02,41,33.53
2005-09-09,34,29.39
2005-09-16,45,31.06
2005-09-23,39,31.11
2005-09-30,42,32.63
2005-10-07,44,31.9
2005-10-14,40,30.81
2005-10-21,44,30.43
2005-10-28,49,30.11
2005-11-04,43,30.02
2005-11-11,42,30.8
2005-11-18,44,30.63
2005-11-25,40,31.2
2005-12-02,41,31.8
2005-12-09,44,30.14
2005-12-16,44,30.28
2005-12-23,44,30.57
2005-12-30,39,30.92
2006-01-06,42,31.6
2006-01-13,47,30.85
2006-01-20,40,30.49
2006-01-27,46,31.16
2006-02-03,44,30.61
2006-02-10,39,31.91
2006-02-17,47,32.9
2006-02-24,44,33.37
2006-03-03,43,32.85
2006-03-10,46,33.75
2006-03-17,41,34.37
2006-03-24,41,35.04
2006-03-31,43,33.86
2006-04-07,38,33.84
2006-04-21,43,34.31
2006-04-28,41,34.83
2006-05-05,46,35.02
2006-05-12,44,34.62
2006-05-19,44,35.02
2006-05-26,39,34.95
2006-06-02,37,34.14
2006-06-09,40,33.23
2006-06-16,41,32.97
2006-06-23,42,32.55
2006-06-30,39,33.55
2006-07-07,35,34.1
2006-07-14,41,34.25
2006-07-21,44,34.82
2006-07-28,46,34.83
2006-08-04,40,35.33
2006-08-11,36,35.65
2006-08-18,37,35.52
2006-08-25,36,35.7
2006-09-01,32,36.7
2006-09-08,36,36.64
2006-09-15,42,36.92
2006-09-22,39,36.65
2006-09-29,38,37.98
2006-10-06,39,37.32
2006-10-13,37,36.74
2006-10-20,42,37.01
2006-10-27,39,36.7
2006-11-03,39,36.9
2006-11-10,38,37.57
2006-11-17,37,38.67
2006-11-24,32,38.61
2006-12-01,38,38.85
2006-12-08,39,39.13
2006-12-15,38,39.41
2006-12-22,40,39.03
2006-12-29,37,38.56
2007-01-05,40,37.99
2007-01-12,37,37.98
2007-01-19,40,38.13
2007-01-26,39,38.5
2007-02-02,34,39.18
2007-02-09,40,39.03
2007-02-16,40,39.28
2007-02-23,40,39.36
2007-03-02,37,37.48
2007-03-09,35,37.53
2007-03-16,33,37.64
2007-03-23,38,39.18
2007-03-30,35,38.52
2007-04-13,37,38.46
2007-04-20,36,38.1
2007-04-27,41,37.3
2007-05-04,37,37.27
2007-05-11,35,36.97
2007-05-18,35,37.41
2007-05-25,37,37.32
2007-06-01,33,37.32
2007-06-08,34,37.36
2007-06-15,32,37.62
2007-06-22,33,36.93
2007-06-29,34,38.18
2007-07-06,30,37.44
2007-07-13,34,37.2
2007-07-20,34,36.63
2007-07-27,35,34.84
2007-08-03,36,34.85
2007-08-10,34,35.91
2007-08-17,33,37.51
2007-08-24,33,36.93
2007-08-31,32,35.84
2007-09-07,31,34.99
2007-09-14,36,35.4
2007-09-21,43,36.71
2007-09-28,52,35.97
2007-10-05,38,35.49
2007-10-12,38,35.52
2007-10-19,36,35.57
2007-10-26,32,34.88
2007-11-02,33,34.41
2007-11-09,38,34.9
2007-11-16,36,38.03
2007-11-23,34,37.88
2007-11-30,38,38.21
2007-12-07,37,38.36
2007-12-14,34,37.06
2007-12-21,37,38.9
2007-12-28,34,38.21
2008-01-04,36,36.65
2008-01-11,37,36.98
2008-01-18,38,35.98
2008-01-25,37,34.02
2008-02-01,37,34.46
2008-02-08,39,33.55
2008-02-15,42,35.22
2008-02-22,40,35.61
2008-02-29,35,34.45
2008-03-07,36,34.58
2008-03-14,33,34.77
2008-03-28,34,36.87
2008-04-04,34,37.79
2008-04-11,37,36.96
2008-04-18,35,38
2008-04-25,37,38
2008-05-02,35,37.2
2008-05-09,34,36.9
2008-05-16,32,37.21
2008-05-23,30,36.31
2008-05-30,29,37.58
2008-06-06,36,37.76
2008-06-13,40,37.99
2008-06-20,34,37.12
2008-06-27,33,35.88
2008-07-11,32,36.53
2008-07-18,32,38.82
2008-07-25,32,39.32
2008-08-01,32,39.83
2008-08-08,32,41.55
2008-08-15,30,41.53
2008-08-22,30,40.61
2008-08-29,29,40.45
2008-09-05,26,40.05
2008-09-12,29,41.57
