"Date","Mondelez.International","Price"
2012-03-23,6,38.25
2012-08-17,6,40.5
2012-08-24,5,41.87
2012-08-31,5,41.51
2012-09-07,6,39.99
2012-09-14,8,39.93
2012-09-21,8,41.78
2012-09-28,9,41.35
2012-10-05,100,27.81
2012-10-12,70,27.22
2012-10-19,56,27.01
2012-10-26,54,26.6
2012-11-02,44,26.28
2012-11-09,55,26.02
2012-11-16,51,25.56
2012-11-23,42,25.62
2012-11-30,44,25.89
2012-12-07,46,25.58
2012-12-14,33,26.04
2012-12-21,36,25.76
2012-12-28,33,25.26
2013-01-04,42,26.74
2013-01-11,42,27.42
2013-01-18,50,28.08
2013-01-25,44,27.78
2013-02-01,36,28.22
2013-02-08,47,27.76
2013-02-15,51,26.72
2013-02-22,54,26.77
2013-03-01,41,27.81
2013-03-08,53,28.58
2013-03-15,55,28.41
2013-03-22,64,29.73
2013-04-05,60,30.03
2013-04-12,55,30.55
2013-04-19,53,31.69
2013-04-26,56,31.56
2013-05-03,58,31.73
2013-05-10,68,30.63
2013-05-17,64,31.5
2013-05-24,59,30.95
2013-05-31,68,29.48
2013-06-07,69,29.86
2013-06-14,67,29.81
2013-06-21,57,28.85
2013-06-28,66,28.53
2013-07-05,65,28.78
2013-07-12,71,30.36
2013-07-19,80,30.69
2013-07-26,77,31.58
2013-08-02,57,31.94
2013-08-09,66,32.16
2013-08-16,68,30.96
2013-08-23,71,31.32
2013-08-30,65,30.67
2013-09-06,67,30.94
2013-09-13,68,31.55
2013-09-20,67,32.3
2013-09-27,69,31.8
2013-10-04,77,30.86
2013-10-11,78,30.85
2013-10-18,80,32.45
2013-10-25,74,33.48
2013-11-01,70,33.59
2013-11-08,87,32.68
2013-11-15,98,34.05
2013-11-22,66,33.89
2013-11-29,54,33.53
2013-12-06,71,35.09
2013-12-13,69,33.85
2013-12-20,54,34.67
2013-12-27,37,34.91
2014-01-03,55,34.75
2014-01-10,68,35.8
2014-01-17,70,35.25
2014-01-24,78,33.65
2014-01-31,69,32.76
2014-02-07,67,32.93
2014-02-14,73,34.12
2014-02-21,73,34.3
2014-02-28,78,34.03
2014-03-07,71,35.08
2014-03-14,66,34.25
2014-03-21,71,34.13
2014-03-28,64,34.4
2014-04-04,77,34.54
2014-04-11,67,34.31
2014-04-25,67,35.34
