"Date","Morgan.Stanley","Price"
2004-02-06,31,57.36
2004-02-13,34,59.75
2004-02-20,32,61.19
2004-02-27,33,59.76
2004-03-05,29,62.22
2004-03-12,25,60.66
2004-03-19,34,59.61
2004-03-26,24,56.73
2004-04-02,29,56.75
2004-04-16,29,54.53
2004-04-23,32,53.03
2004-04-30,43,51.39
2004-05-07,32,51.94
2004-05-14,29,52.08
2004-05-21,25,52.53
2004-05-28,27,53.51
2004-06-04,26,53.03
2004-06-18,31,51.65
2004-06-25,34,52.44
2004-07-02,32,51.67
2004-07-09,30,50
2004-07-16,36,47.07
2004-07-23,33,48
2004-07-30,34,49.33
2004-08-06,34,46.8
2004-08-13,29,47.27
2004-08-20,31,50.3
2004-08-27,29,51.57
2004-09-03,27,51
2004-09-10,31,52.95
2004-09-17,31,51.45
2004-09-24,33,50.03
2004-10-01,27,50.56
2004-10-08,33,48.3
2004-10-15,30,48.24
2004-10-22,30,48.32
2004-10-29,32,51.09
2004-11-05,28,53.75
2004-11-12,30,53.13
2004-11-19,30,52.26
2004-11-26,25,51.12
2004-12-03,33,53.07
2004-12-10,31,53.7
2004-12-17,32,54.11
2004-12-31,24,55.52
2005-01-07,31,56.06
2005-01-14,32,56.07
2005-01-21,29,54.48
2005-01-28,31,54.37
2005-02-04,32,58.68
2005-02-11,32,60.32
2005-02-18,30,57.65
2005-02-25,26,57.66
2005-03-04,29,58.39
2005-03-11,28,58.49
2005-03-18,30,57.78
2005-04-01,38,56.87
2005-04-08,38,55.67
2005-04-15,36,51.49
2005-04-22,33,50.25
2005-04-29,32,52.62
2005-05-06,35,50.05
2005-05-13,34,48.22
2005-05-20,36,50
2005-05-27,32,49.26
2005-06-03,30,48.91
2005-06-10,31,49.88
2005-06-17,41,51.38
2005-06-24,36,53.12
2005-07-01,38,53.03
2005-07-08,30,53.12
2005-07-15,39,53.64
2005-07-22,35,54
2005-07-29,34,53.05
2005-08-05,35,52.65
2005-08-12,33,52.85
2005-08-19,35,52.04
2005-08-26,28,51.56
2005-09-02,30,50.83
2005-09-09,30,52.52
2005-09-16,32,52
2005-09-23,32,51.94
2005-09-30,31,53.94
2005-10-07,32,53.45
2005-10-14,34,52.2
2005-10-21,30,52.1
2005-10-28,32,53.93
2005-11-04,30,52.41
2005-11-11,28,55.28
2005-11-18,28,55.5
2005-11-25,26,57.77
2005-12-02,34,57.28
2005-12-09,32,55.96
2005-12-16,29,56.88
2005-12-23,27,58.41
2005-12-30,25,56.74
2006-01-06,36,58.57
2006-01-13,34,59.38
2006-01-20,36,57.85
2006-01-27,38,60.78
2006-02-03,34,61.44
2006-02-10,35,60.31
2006-02-17,33,60.81
2006-02-24,28,60.83
2006-03-03,31,59.72
2006-03-10,29,59.12
2006-03-17,29,60.26
2006-03-24,31,61.47
2006-03-31,30,62.82
2006-04-07,30,63.77
2006-04-21,29,65.03
2006-04-28,27,64.3
2006-05-05,27,65.53
2006-05-12,31,63.29
2006-05-19,25,59.94
2006-05-26,26,60.57
2006-06-02,26,60.59
2006-06-09,26,59.19
2006-06-16,28,56.99
2006-06-23,28,59.7
2006-06-30,26,63.21
2006-07-07,26,63.95
2006-07-14,26,60.69
2006-07-21,27,62.51
2006-07-28,28,66.23
2006-08-04,27,67.69
2006-08-11,26,65.36
2006-08-18,26,67.14
2006-08-25,24,66.98
2006-09-01,22,66.83
2006-09-08,24,66.69
2006-09-15,27,70.95
2006-09-22,29,71.78
2006-09-29,27,72.91
2006-10-06,28,74.41
2006-10-13,28,76.57
2006-10-20,29,76.4
2006-10-27,26,76.44
2006-11-03,29,74.28
2006-11-10,30,76.68
2006-11-17,29,79.12
2006-11-24,25,78.95
2006-12-01,30,75.27
2006-12-08,27,78.61
2006-12-15,27,79.26
2006-12-22,30,79.7
2006-12-29,22,81.43
2007-01-05,30,80.86
2007-01-12,30,82.86
2007-01-19,29,81.5
2007-01-26,31,82.12
2007-02-02,30,84.04
2007-02-09,28,81.78
2007-02-16,29,82.36
2007-02-23,27,80.97
2007-03-02,27,73.4
2007-03-09,29,76
2007-03-16,28,74.41
2007-03-23,31,81.1
2007-03-30,28,78.76
2007-04-13,32,79.99
2007-04-20,27,82.91
2007-04-27,26,85.01
2007-05-04,27,86.57
2007-05-11,27,85.15
2007-05-18,26,85.05
2007-05-25,25,84.26
2007-06-01,26,86.07
2007-06-08,28,87.1
2007-06-15,29,88.48
2007-06-22,28,84.6
2007-06-29,27,83.88
2007-07-06,27,73.09
2007-07-13,28,73.26
2007-07-20,28,67.57
2007-07-27,26,64.37
2007-08-03,26,60.62
2007-08-10,28,60.03
2007-08-17,26,62.23
2007-08-24,26,64.54
2007-08-31,23,62.37
2007-09-07,23,62.5
2007-09-14,27,66.11
2007-09-21,30,64.44
2007-09-28,28,63
2007-10-05,28,68.9
2007-10-12,29,67.25
2007-10-19,29,61.95
2007-10-26,26,64.78
2007-11-02,28,58.9
2007-11-09,31,54.2
2007-11-16,27,52.9
2007-11-23,24,49.89
2007-11-30,28,52.72
2007-12-07,31,51.69
2007-12-14,27,50.3
2007-12-21,30,54.37
2007-12-28,21,53.22
2008-01-04,24,49.3
2008-01-11,27,48.39
2008-01-18,25,45.11
2008-01-25,26,48.89
2008-02-01,27,48.25
2008-02-08,26,43.19
2008-02-15,26,42.32
2008-02-22,21,44.19
2008-02-29,22,42.12
2008-03-07,21,39.86
2008-03-14,23,39.55
2008-03-28,20,44.74
2008-04-04,22,47.6
2008-04-11,23,43.63
2008-04-18,22,47.77
2008-04-25,21,50.65
2008-05-02,22,50.31
2008-05-09,20,45.96
2008-05-16,21,47.21
2008-05-23,20,41.83
2008-05-30,18,44.23
2008-06-06,21,40.81
2008-06-13,20,41.04
2008-06-20,23,38.68
2008-06-27,20,36.71
2008-07-11,22,33.44
2008-07-18,21,38.57
2008-07-25,20,36.75
2008-08-01,20,41.11
2008-08-08,20,45.04
2008-08-15,19,40.88
2008-08-22,17,38.89
2008-08-29,18,40.83
2008-09-05,18,41.36
2008-09-12,20,37.23
2008-09-19,100,27.21
2008-09-26,55,24.75
2008-10-03,37,23.92
2008-10-10,49,9.68
2008-10-17,49,19.24
2008-10-24,25,16.52
2008-10-31,25,17.47
2008-11-07,20,15.98
2008-11-14,22,12.03
2008-11-21,24,10.05
2008-11-28,18,14.75
2008-12-05,20,15.72
2008-12-12,19,13.85
2008-12-19,19,15.45
2008-12-26,13,14.65
2009-01-02,13,16.99
2009-01-09,19,19.06
2009-01-16,26,15.59
2009-01-23,17,18.71
2009-01-30,17,20.23
2009-02-06,19,22.87
2009-02-13,19,22.93
2009-02-20,17,19.43
2009-02-27,17,19.54
2009-03-06,17,17.18
2009-03-13,16,25.43
2009-03-20,16,20.24
2009-03-27,17,24.35
2009-04-03,16,24.06
2009-04-17,16,25
2009-04-24,18,21.96
2009-05-01,15,25.82
2009-05-08,16,28.2
2009-05-15,14,26.13
2009-05-22,15,28.23
2009-05-29,14,30.32
2009-06-05,17,30.97
2009-06-12,16,29.7
2009-06-19,16,28.27
2009-06-26,15,28.62
2009-07-10,15,25.94
2009-07-17,22,27.99
2009-07-24,20,28.25
2009-07-31,18,28.5
2009-08-07,18,31.22
2009-08-14,16,29.79
2009-08-21,17,29.69
2009-08-28,17,29.51
2009-09-04,16,27.65
2009-09-11,20,28.82
2009-09-18,19,31.38
2009-09-25,17,30.55
2009-10-02,17,29.46
2009-10-09,18,32.09
2009-10-16,18,32.99
2009-10-23,21,35
2009-10-30,18,32.12
2009-11-06,16,32.6
2009-11-13,18,33.09
2009-11-20,17,32.1
2009-11-27,15,30.51
2009-12-04,18,30.97
2009-12-11,16,29.78
2009-12-18,16,29.21
2010-01-08,18,32.25
2010-01-15,18,30.38
2010-01-22,19,27.8
2010-01-29,18,26.78
2010-02-05,19,27.26
2010-02-12,17,27.16
2010-02-19,16,27.41
2010-02-26,17,28.18
2010-03-05,17,29.41
2010-03-12,18,29.91
2010-03-19,18,29.63
2010-03-26,18,28.85
2010-04-09,18,30.98
2010-04-16,20,29.16
2010-04-23,19,31.94
2010-04-30,17,30.22
2010-05-07,16,27.75
2010-05-14,18,27.08
2010-05-21,16,27.11
2010-05-28,15,27.11
2010-06-04,16,25.99
2010-06-11,16,26
2010-06-18,15,25.7
2010-06-25,14,25.01
2010-07-02,14,22.83
2010-07-09,15,24.7
2010-07-16,16,24.74
2010-07-23,17,26.89
2010-07-30,16,26.99
2010-08-06,16,27.65
2010-08-13,16,25.9
2010-08-20,16,25.92
2010-08-27,15,25.03
2010-09-03,14,26.66
2010-09-10,16,27.19
2010-09-17,17,26.47
2010-09-24,17,25.15
2010-10-01,18,25.02
2010-10-08,18,25.32
2010-10-15,18,25.02
2010-10-22,19,24.52
2010-10-29,17,24.87
2010-11-05,18,27.28
2010-11-12,17,25.57
2010-11-19,18,25.62
2010-11-26,13,24.7
2010-12-03,16,25.64
2010-12-10,16,26.95
2010-12-17,15,26.24
2010-12-31,13,27.21
2011-01-07,17,28.2
2011-01-14,18,28.98
2011-01-21,20,30.01
2011-01-28,19,29.04
2011-02-04,18,29.85
2011-02-11,17,30.16
2011-02-18,17,30.99
2011-02-25,15,29.87
2011-03-04,16,28.44
2011-03-11,16,28.34
2011-03-18,15,27.43
2011-03-25,17,27.13
2011-04-01,17,27.26
2011-04-08,17,27.25
2011-04-15,17,26.98
2011-04-29,16,26.15
2011-05-06,15,25.24
2011-05-13,16,24.13
2011-05-20,16,23.83
2011-05-27,15,24.07
2011-06-03,14,23.12
2011-06-10,16,22.69
2011-06-17,15,22.83
2011-06-24,15,22.21
2011-07-01,15,23.76
2011-07-08,15,22.3
2011-07-15,15,21.09
2011-07-22,18,23.9
2011-07-29,15,22.25
2011-08-05,16,20.02
2011-08-12,17,16.89
2011-08-19,18,16
2011-08-26,15,16.61
2011-09-02,14,15.96
2011-09-09,13,15.28
2011-09-16,16,16.45
2011-09-23,16,13.72
2011-09-30,16,13.51
2011-10-07,20,14.24
2011-10-14,16,15.22
2011-10-21,18,17.02
2011-10-28,17,19.31
2011-11-04,15,16.72
2011-11-11,15,16.36
2011-11-18,15,14.21
2011-11-25,13,13.26
2011-12-02,15,15.52
2011-12-09,15,16.38
2011-12-16,15,14.98
2011-12-23,13,15.76
2011-12-30,11,15.13
2012-01-06,14,15.9
2012-01-13,16,16.63
2012-01-20,18,18.39
2012-01-27,16,18.56
2012-02-03,18,20.31
2012-02-10,16,19.66
2012-02-17,15,19.16
2012-02-24,15,18.49
2012-03-02,15,18.87
2012-03-09,15,18.37
2012-03-16,15,19.53
2012-03-23,14,20.33
2012-03-30,14,19.64
2012-04-13,14,17.28
2012-04-20,14,17.48
2012-04-27,13,16.95
2012-05-04,13,16
2012-05-11,14,14.95
2012-05-18,16,13.35
2012-05-25,19,13.25
2012-06-01,14,12.73
2012-06-08,14,13.71
2012-06-15,14,14.3
2012-06-22,15,14.14
2012-06-29,14,14.59
2012-07-06,11,14.14
2012-07-13,14,14.05
2012-07-20,15,12.78
2012-07-27,14,13.49
2012-08-03,13,13.78
2012-08-10,14,14.61
2012-08-17,13,14.59
2012-08-24,13,14.56
2012-08-31,13,15
2012-09-07,15,17.08
2012-09-14,16,18.24
2012-09-21,15,17.08
2012-09-28,15,16.74
2012-10-05,15,17.5
2012-10-12,14,17.31
2012-10-19,16,17.53
2012-10-26,13,17.04
2012-11-02,12,17.78
2012-11-09,13,16.61
2012-11-16,13,16.18
2012-11-23,11,16.43
2012-11-30,13,16.87
2012-12-07,14,16.97
2012-12-14,13,18.05
2012-12-21,12,18.92
2012-12-28,8,18.62
2013-01-04,13,20.19
2013-01-11,16,20.17
2013-01-18,17,22.38
2013-01-25,15,22.7
2013-02-01,15,23.51
2013-02-08,15,23.32
2013-02-15,15,23.87
2013-02-22,14,23.58
2013-03-01,14,22.43
2013-03-08,16,23.03
2013-03-15,15,23.59
2013-03-22,14,22.18
2013-04-05,14,21.56
2013-04-12,15,21.82
2013-04-19,14,20.58
2013-04-26,13,21.4
2013-05-03,14,22.76
2013-05-10,14,23.94
2013-05-17,14,25.19
