"Date","NFLX","Price"
2004-10-15,15,10.3
2004-10-22,9,9.8
2005-05-20,15,15.93
2005-05-27,9,14.55
2005-06-03,7,14.67
2005-06-10,8,16.91
2005-06-17,8,17.22
2005-06-24,9,15.77
2005-07-01,11,16.55
2005-07-08,14,16.71
2005-07-15,16,16.4
2005-07-22,19,16.4
2005-07-29,21,18.56
2005-08-05,10,20.97
2005-08-12,13,22.1
2005-08-19,7,21.38
2005-08-26,7,21.19
2005-09-02,7,21.54
2005-09-09,7,24.97
2005-09-16,8,24.2
2005-09-23,8,24.17
2005-09-30,10,25.99
2005-10-07,10,27.25
2005-10-14,9,28.76
2005-10-21,10,26.15
2005-10-28,12,26.28
2005-11-04,9,27.59
2005-11-11,10,30.07
2005-11-18,10,28.42
2005-11-25,5,29.25
2005-12-02,6,27.69
2005-12-09,10,25.74
2005-12-16,11,26.3
2005-12-23,7,27.73
2005-12-30,9,27.06
2006-01-06,9,25.03
2006-01-13,9,25.56
2006-01-20,7,23.47
2006-01-27,17,27.82
2006-02-03,10,26.11
2006-02-10,7,25.43
2006-02-17,8,24.98
2006-02-24,4,25.98
2006-03-03,4,26.76
2006-03-10,4,25.55
2006-03-17,5,26.17
2006-03-24,6,28.67
2006-03-31,6,28.99
2006-04-07,5,27.94
2006-04-21,9,30.8
2006-04-28,12,29.64
2006-05-05,8,30.3
2006-05-12,8,29.59
2006-05-19,6,27.87
2006-05-26,6,28.83
2006-06-02,4,27.95
2006-06-09,4,27.53
2006-06-16,5,27.12
2006-06-23,4,27.34
2006-06-30,4,27.21
2006-07-07,4,26.65
2006-07-14,4,24.19
2006-07-21,5,23.05
2006-07-28,13,20.85
2006-08-04,7,20.96
2006-08-11,5,19.88
2006-08-18,5,19.85
2006-08-25,4,18.72
2006-09-01,4,20.02
2006-09-08,5,20.24
2006-09-15,5,22.72
2006-09-22,6,23.01
2006-09-29,4,22.78
2006-10-06,4,24.11
2006-10-13,4,23.2
2006-10-20,8,22.24
2006-10-27,12,27.59
2006-11-03,7,26.7
2006-11-10,4,29.38
2006-11-17,9,28.92
2006-11-24,8,29.36
2006-12-01,6,29.46
2006-12-08,4,27.65
2006-12-15,3,27.6
2006-12-22,4,26.2
2006-12-29,4,25.86
2007-01-05,4,24.81
2007-01-12,6,22.71
2007-01-19,8,22.56
2007-01-26,8,23.15
2007-02-02,6,22.84
2007-02-09,7,23.11
2007-02-16,7,22.87
2007-02-23,3,23.53
2007-03-02,6,22.29
2007-03-09,5,21.06
2007-03-16,3,21.02
2007-03-23,5,23.73
2007-03-30,4,23.19
2007-04-13,6,24.6
2007-04-20,6,22.1
2007-04-27,4,22.21
2007-05-04,3,22.16
2007-05-11,4,22.06
2007-05-18,3,21.94
2007-05-25,3,22.52
2007-06-01,3,21.57
2007-06-08,9,23.43
2007-06-15,9,19.71
2007-06-22,4,19.68
2007-06-29,5,19.39
2007-07-06,4,20.39
2007-07-13,4,20.14
2007-07-20,4,19.63
2007-07-27,15,17.1
2007-08-03,5,16.57
2007-08-10,7,17.89
2007-08-17,7,17.24
2007-08-24,4,17.8
2007-08-31,5,17.52
2007-09-07,4,18.04
2007-09-14,4,17.72
2007-09-21,5,19.19
2007-09-28,4,20.75
2007-10-05,4,22
2007-10-12,4,23
2007-10-19,5,23.24
2007-10-26,8,25.22
2007-11-02,4,26.26
2007-11-09,4,25.25
2007-11-16,2,23.8
2007-11-23,4,21.75
2007-11-30,4,23.1
2007-12-07,4,23.57
2007-12-14,3,23.52
2007-12-21,4,28.1
2007-12-28,4,26.93
2008-01-04,6,24.61
2008-01-11,3,23.41
2008-01-18,5,21.85
2008-01-25,6,21.77
2008-02-01,5,25.39
2008-02-08,3,26.88
2008-02-15,3,26.6
2008-02-22,3,27.8
2008-02-29,6,31.58
2008-03-07,4,31.26
2008-03-14,3,33.26
2008-03-28,7,35.59
2008-04-04,6,36.21
2008-04-11,2,35.51
2008-04-18,4,38.56
2008-04-25,12,33.96
2008-05-02,5,31.1
2008-05-09,4,30.72
2008-05-16,4,31.66
2008-05-23,7,31.21
2008-05-30,3,30.36
2008-06-06,3,31.82
2008-06-13,2,32.22
2008-06-20,2,31.4
2008-06-27,3,26.74
2008-07-11,2,27.21
2008-07-18,5,27.1
2008-07-25,5,27.85
2008-08-01,5,29.22
2008-08-08,2,31.05
2008-08-15,5,31.26
2008-08-22,2,30.65
2008-08-29,2,30.84
2008-09-05,2,29.66
2008-09-12,2,29.45
2008-09-19,4,31.94
2008-09-26,3,32.87
2008-10-03,3,28.97
2008-10-10,4,24.29
2008-10-17,2,23.3
2008-10-24,4,18.95
2008-10-31,3,24.76
2008-11-07,2,21.86
2008-11-14,2,22.03
2008-11-21,2,19.99
2008-11-28,2,22.98
2008-12-05,1,25.27
2008-12-12,1,28.51
2008-12-19,2,27.69
2008-12-26,3,28.46
2009-01-02,3,29.87
2009-01-09,3,32.26
2009-01-16,3,31.26
2009-01-23,2,30.44
2009-01-30,10,36.14
2009-02-06,4,37
2009-02-13,3,38.54
2009-02-20,2,36.8
2009-02-27,3,36.24
2009-03-06,4,38.18
2009-03-13,2,39.37
2009-03-20,3,41.65
2009-03-27,2,39.68
2009-04-03,4,43.07
2009-04-17,4,48.83
2009-04-24,5,42.73
2009-05-01,5,44.48
2009-05-08,4,40.22
2009-05-15,4,38.5
2009-05-22,3,38.8
2009-05-29,3,39.42
2009-06-05,1,39.19
2009-06-12,2,37.84
2009-06-19,2,41.59
2009-06-26,2,40.37
2009-07-10,3,40.07
2009-07-17,5,44.14
2009-07-24,5,42.2
2009-07-31,2,43.94
2009-08-07,2,45
2009-08-14,3,44.49
2009-08-21,2,45.1
2009-08-28,1,44.22
2009-09-04,3,40.95
2009-09-11,2,42.66
2009-09-18,4,47.4
2009-09-25,2,46.26
2009-10-02,1,44.72
2009-10-09,1,46.91
2009-10-16,3,48.99
2009-10-23,3,54.89
2009-10-30,5,53.45
2009-11-06,3,55.86
2009-11-13,3,59.33
2009-11-20,3,59.97
2009-11-27,2,57.85
2009-12-04,3,56.23
2009-12-11,2,55.7
2009-12-18,2,53.27
2010-01-08,4,53.3
2010-01-15,3,50.95
2010-01-22,2,50.89
2010-01-29,8,62.25
2010-02-05,4,60.84
2010-02-12,3,63.18
2010-02-19,2,66.65
2010-02-26,3,66.05
2010-03-05,3,67.65
2010-03-12,2,69.98
2010-03-19,2,70.45
2010-03-26,2,74.3
2010-04-09,6,82.42
2010-04-16,4,85.31
2010-04-23,11,99.73
2010-04-30,12,98.9
2010-05-07,7,91.09
2010-05-14,7,100.56
2010-05-21,6,99.47
2010-05-28,5,111.15
2010-06-04,3,109.78
2010-06-11,5,120.69
2010-06-18,7,126.42
2010-06-25,6,117.98
2010-07-02,4,107.08
2010-07-09,6,117.53
2010-07-16,5,118.39
2010-07-23,14,107.7
2010-07-30,8,102.55
2010-08-06,9,118.32
2010-08-13,13,132.26
2010-08-20,15,129.96
2010-08-27,8,126.1
2010-09-03,10,138.48
2010-09-10,6,146.16
2010-09-17,6,140.46
2010-09-24,15,162.21
2010-10-01,15,154.66
2010-10-08,13,149.64
2010-10-15,12,155.72
2010-10-22,21,168.1
2010-10-29,15,173.57
2010-11-05,13,168.1
2010-11-12,12,173
2010-11-19,10,173.04
2010-11-26,14,191.9
2010-12-03,22,185.45
2010-12-10,21,194.63
2010-12-17,17,180.02
2010-12-31,13,175.7
2011-01-07,13,179.3
2011-01-14,14,191.48
2011-01-21,10,182.09
2011-01-28,28,217.98
2011-02-04,16,220.07
2011-02-11,14,231.07
2011-02-18,21,235.51
2011-02-25,18,212.44
2011-03-04,14,210.72
2011-03-11,19,204.54
2011-03-18,15,209.4
2011-03-25,13,230.01
2011-04-01,13,242.09
2011-04-08,12,234.86
2011-04-15,12,235.49
2011-04-29,32,232.67
2011-05-06,13,229.47
2011-05-13,12,246.52
2011-05-20,10,245.9
2011-05-27,13,264.51
2011-06-03,11,273.7
2011-06-10,12,258.62
2011-06-17,11,245.67
2011-06-24,9,256.96
2011-07-01,7,267.99
2011-07-08,18,295.14
2011-07-15,29,286.93
2011-07-22,17,276.58
2011-07-29,32,265.99
2011-08-05,14,241.11
2011-08-12,14,244
2011-08-19,9,205.21
2011-08-26,8,221.89
2011-09-02,18,213.11
2011-09-09,8,203.97
2011-09-16,30,155.19
2011-09-23,57,129.36
2011-09-30,31,113.27
2011-10-07,17,117.21
2011-10-14,30,116.04
2011-10-21,16,117.04
2011-10-28,100,84.14
2011-11-04,29,90.02
2011-11-11,21,87.75
2011-11-18,14,78.06
2011-11-25,19,63.86
2011-12-02,19,66.37
2011-12-09,14,70.89
2011-12-16,13,69.82
2011-12-23,11,72.62
2011-12-30,8,69.29
2012-01-06,16,86.29
2012-01-13,27,94.38
2012-01-20,15,100.24
2012-01-27,40,123.79
2012-02-03,24,126.43
2012-02-10,17,123.93
2012-02-17,12,121.85
2012-02-24,13,111.67
2012-03-02,13,115.1
2012-03-09,11,109.13
2012-03-16,11,109.96
2012-03-23,10,120.19
2012-03-30,9,115.04
2012-04-13,10,104.17
2012-04-20,8,106.11
2012-04-27,25,83.74
2012-05-04,10,73.14
2012-05-11,9,77.38
2012-05-18,8,69.96
2012-05-25,8,70.22
2012-06-01,7,62.95
2012-06-08,8,65.64
2012-06-15,5,65.79
2012-06-22,6,67.86
2012-06-29,5,68.49
2012-07-06,9,81.89
2012-07-13,8,84.9
2012-07-20,7,81.82
2012-07-27,22,58.92
2012-08-03,10,53.91
2012-08-10,8,59.9
2012-08-17,7,63.69
2012-08-24,8,63.16
2012-08-31,6,59.72
2012-09-07,8,56.66
2012-09-14,6,60.52
2012-09-21,6,57.79
2012-09-28,6,54.44
2012-10-05,8,66.56
2012-10-12,12,64.33
2012-10-19,6,64.98
2012-10-26,17,69.58
2012-11-02,15,76.9
2012-11-09,10,77.9
2012-11-16,7,80.9
2012-11-23,5,82.95
2012-11-30,6,81.71
2012-12-07,15,85.98
2012-12-14,10,93.3
2012-12-21,8,91.34
2012-12-28,5,89.33
2013-01-04,6,95.98
2013-01-11,9,101.29
2013-01-18,8,99.17
2013-01-25,48,169.56
2013-02-01,28,164.8
2013-02-08,20,180.97
2013-02-15,16,189.51
2013-02-22,13,179.86
2013-03-01,13,189.37
2013-03-08,14,184.7
2013-03-15,12,184.85
2013-03-22,10,181.3
2013-04-05,13,164.66
2013-04-12,15,173.2
2013-04-19,12,163.37
2013-04-26,47,215.55
2013-05-03,14,213.45
2013-05-10,12,217.69
2013-05-17,16,239
2013-05-24,11,228.74
2013-05-31,14,226.25
2013-06-07,10,220.22
2013-06-14,9,213.99
2013-06-21,13,216.9
2013-06-28,8,211.09
2013-07-05,7,225.1
2013-07-12,14,257.26
2013-07-19,16,264.58
2013-07-26,33,246.31
2013-08-02,11,246.18
2013-08-09,10,252.75
2013-08-16,9,258.87
2013-08-23,11,278.36
2013-08-30,12,283.91
2013-09-06,10,291.54
2013-09-13,14,305.65
2013-09-20,11,313.83
2013-09-27,12,312.4
2013-10-04,13,327.26
2013-10-11,16,300.85
2013-10-18,20,333.5
2013-10-25,58,328.03
2013-11-01,18,329.27
2013-11-08,14,334.9
2013-11-15,12,349.76
2013-11-22,10,347.85
2013-11-29,9,365.8
2013-12-06,10,354.44
2013-12-13,9,368.97
2013-12-20,10,375.67
2013-12-27,8,367.5
2014-01-03,11,363.1
2014-01-10,15,332.14
2014-01-17,13,330.04
2014-01-24,37,386.08
2014-01-31,17,409.33
2014-02-07,14,429.98
2014-02-14,12,435.51
