"Date","NTAP","Price"
2005-08-19,76,24.63
2005-11-18,89,28.86
2005-11-25,72,29.27
2005-12-02,72,29.41
2005-12-09,72,29.53
2005-12-16,72,29.86
2005-12-23,78,28.02
2005-12-30,83,27
2006-01-06,88,28.98
2006-01-13,94,32.12
2006-01-20,80,31.14
2006-01-27,62,31.63
2006-02-03,62,31.14
2006-02-10,62,31.33
2006-02-17,62,33.04
2006-02-24,51,32.57
2006-03-03,51,33.86
2006-03-10,51,33.18
2006-03-17,51,35.05
2006-03-24,55,34.98
2006-03-31,59,36.03
2006-04-07,59,36.7
2006-04-21,71,36.91
2006-04-28,67,37.07
2006-05-05,67,37.58
2006-05-12,67,33.78
2006-05-19,67,33.79
2006-05-26,86,33.84
2006-06-02,60,32.35
2006-06-09,64,31.79
2006-06-16,46,34.53
2006-06-23,51,34.86
2006-06-30,55,35.3
2006-07-07,55,33.16
2006-07-14,56,26.92
2006-07-21,56,28.83
2006-07-28,65,29.83
2006-08-04,44,30.09
2006-08-11,44,29.33
2006-08-18,73,33.91
2006-08-25,41,33.87
2006-09-01,41,34.38
2006-09-08,41,33.98
2006-09-15,46,33.77
2006-09-22,51,35.98
2006-09-29,43,37.01
2006-10-06,39,36.88
2006-10-13,46,39.57
2006-10-20,49,37.49
2006-10-27,38,35.78
2006-11-03,38,36
2006-11-10,44,36.9
2006-11-17,64,39.96
2006-11-24,40,40.96
2006-12-01,70,38.52
2006-12-08,38,39.49
2006-12-15,71,41
2007-01-26,36,36.73
2007-02-02,32,37.33
2007-02-09,41,37.7
2007-02-16,60,40.01
2007-02-23,55,40.09
2007-03-02,42,37.32
2007-03-09,41,37.69
2007-03-16,50,36.72
2007-03-23,39,38.13
2007-03-30,46,36.52
2007-04-13,33,35.91
2007-04-20,33,34.93
2007-04-27,39,37.81
2007-05-04,42,38.16
2007-05-11,33,39.05
2007-05-18,47,37.99
2007-05-25,80,31.8
2007-06-01,56,30.74
2007-06-08,58,31.47
2007-06-15,47,31.89
2007-06-22,48,31.2
2007-06-29,28,29.19
2007-07-06,40,29.62
2007-07-13,36,29.86
2007-07-20,57,31.84
2007-07-27,56,29.24
2007-08-03,100,22.97
2007-08-10,69,23.46
2007-08-17,72,25.98
2007-08-24,37,28.09
2007-08-31,45,27.86
2007-09-07,57,27.12
2007-09-14,37,26.98
2007-09-21,32,26.94
2007-09-28,39,26.91
2007-10-05,51,26.69
2007-10-12,44,28.7
2007-10-19,38,29.38
2007-10-26,39,31.49
2007-11-02,38,30.14
2007-11-09,39,26.88
2007-11-16,76,25.92
2007-11-23,44,24.81
2007-11-30,44,24.71
2007-12-07,57,26.51
2007-12-14,31,25.57
2007-12-21,52,25.64
2007-12-28,28,25.32
2008-01-04,28,24.39
2008-01-11,42,22.88
2008-01-18,25,22.05
2008-01-25,25,22.23
2008-02-01,21,23.78
2008-02-08,36,22.47
2008-02-15,46,21.4
2008-02-22,32,22.1
2008-02-29,32,21.62
2008-03-07,22,22.5
2008-03-14,26,21.08
2008-03-28,36,20.12
2008-04-04,26,22.43
2008-04-11,24,21.7
2008-04-18,24,22.89
2008-04-25,24,23.44
2008-05-02,27,24.87
2008-05-09,32,26.3
2008-05-16,20,27.31
2008-05-23,41,23.77
2008-05-30,25,24.38
2008-06-06,38,23.74
2008-06-13,22,24.12
2008-06-20,25,23.3
2008-06-27,28,22.11
2008-07-11,24,21.94
2008-07-18,27,23.19
2008-07-25,30,24.6
2008-08-01,33,25.25
2008-08-08,36,26.31
2008-08-15,50,24.68
