"Date","NWSA","Price"
2013-06-21,23,15.62
2013-06-28,22,15.25
2013-07-05,40,15.66
2013-07-12,33,14.93
2013-07-19,18,15.97
2013-07-26,20,15.89
2013-08-02,9,16.34
2013-08-09,15,15.98
2013-08-16,18,15.98
2013-08-23,26,15.75
2013-08-30,32,15.7
2013-09-06,21,16.19
2013-09-13,27,16.89
2013-09-20,21,16.64
2013-09-27,29,16.17
2013-10-04,26,15.84
2013-10-11,13,16.41
2013-10-18,28,16.85
2013-10-25,26,17.15
2013-11-01,30,17.77
2013-11-08,40,17.6
2013-11-15,25,17.76
2013-11-22,18,17.55
2013-11-29,12,17.96
2013-12-06,29,17.78
2013-12-13,20,17.66
2013-12-20,16,17.75
2013-12-27,11,17.73
2014-01-03,11,17.82
2014-01-10,19,17.4
2014-01-17,29,17.08
2014-01-24,25,16.17
2014-01-31,29,15.96
2014-02-07,21,17.41
2014-02-14,28,17.68
2014-02-21,36,17.68
2014-02-28,31,18.33
2014-03-07,19,17.91
2014-03-14,24,17.43
2014-03-21,20,17.58
2014-03-28,23,17.03
2014-04-04,19,17.12
2014-04-11,17,16.54
2014-04-25,20,17.13
