"Date","News.Corporation","Price"
2013-06-21,27,15.62
2013-06-28,31,15.25
2013-07-05,31,15.66
2013-07-12,35,14.93
2013-07-19,26,15.97
2013-07-26,29,15.89
2013-08-02,30,16.34
2013-08-09,30,15.98
2013-08-16,30,15.98
2013-08-23,30,15.75
2013-08-30,26,15.7
2013-09-06,27,16.19
2013-09-13,26,16.89
2013-09-20,29,16.64
2013-09-27,35,16.17
2013-10-04,28,15.84
2013-10-11,29,16.41
2013-10-18,28,16.85
2013-10-25,26,17.15
2013-11-01,23,17.77
2013-11-08,25,17.6
2013-11-15,29,17.76
2013-11-22,27,17.55
2013-11-29,28,17.96
2013-12-06,26,17.78
2013-12-13,25,17.66
2013-12-20,28,17.75
2013-12-27,18,17.73
2014-01-03,24,17.82
2014-01-10,32,17.4
2014-01-17,27,17.08
2014-01-24,24,16.17
2014-01-31,28,15.96
2014-02-07,28,17.41
2014-02-14,28,17.68
2014-02-21,28,17.68
2014-02-28,30,18.33
2014-03-07,28,17.91
2014-03-14,29,17.43
2014-03-21,30,17.58
2014-03-28,27,17.03
2014-04-04,29,17.12
2014-04-11,23,16.54
2014-04-25,26,17.13
